Ticker,Name,Sector,Cap,NameCln
MSFT,Microsoft Corporation,Technology,3198270.0,Microsoft
AAPL,Apple Inc,Technology,2913322.0,Apple
NVDA,NVIDIA Corp,Technology,2801776.0,NVIDIA
GOOGL,Alphabet Inc,Communication Services,2224228.0,Alphabet
AMZN,Amazon.com Inc.,Consumer Cyclical,1895567.0,Amazon
LLY,Lilly(Eli) & Co,Healthcare,767794.0,Eli Lilly
AVGO,Broadcom Inc,Technology,654559.0,Broadcom
JPM,JPMorgan Chase & Co.,Financial Services,572898.0,JPMorgan Chase
FB,Meta Platforms Inc,Communication Services,561211.0,Meta
TSLA,Tesla Inc,Consumer Cyclical,553841.0,Tesla
WMT,Walmart Inc,Consumer Defensive,523572.0,Walmart
V,Visa Inc,Financial Services,512265.0,Visa Inc
UNH,Unitedhealth Group Inc,Healthcare,463580.0,Unitedhealth Group
XOM,Exxon Mobil Corp.,Energy,452894.0,Exxon Mobil
MA,Mastercard Incorporated,Financial Services,410573.0,Mastercard
PG,Procter & Gamble Co.,Consumer Defensive,384962.0,Procter & Gamble
COST,Costco Wholesale Corp,Consumer Defensive,360644.0,Costco Wholesale
JNJ,Johnson & Johnson,Healthcare,347476.0,Johnson & Johnson
ORCL,Oracle Corp.,Technology,342161.0,Oracle
HD,"Home Depot, Inc.",Consumer Cyclical,325944.0,Home Depot
MRK,Merck & Co Inc,Healthcare,319362.0,Merck
BAC,Bank Of America Corp.,Financial Services,307497.0,Bank Of America
CVX,Chevron Corp.,Energy,293105.0,Chevron
NFLX,Netflix Inc.,Communication Services,286725.0,Netflix
AMD,Advanced Micro Devices Inc.,Technology,277376.0,Advanced Micro Devices
ABBV,Abbvie Inc,Healthcare,274310.0,Abbvie
KO,Coca-Cola Co,Consumer Defensive,266318.0,Coca-Cola
CRM,Salesforce Inc,Technology,261195.0,Salesforce
PEP,PepsiCo Inc,Consumer Defensive,238360.0,PepsiCo
QCOM,"Qualcomm, Inc.",Technology,237797.0,Qualcomm
TMO,Thermo Fisher Scientific Inc.,Healthcare,218559.0,Thermo Fisher Scientific
WFC,Wells Fargo & Co.,Financial Services,217624.0,Wells Fargo
ADBE,Adobe Inc,Technology,214337.0,Adobe
LIN,Linde Plc.,Basic Materials,206652.0,Linde
ACN,Accenture plc,Technology,199605.0,Accenture
TMUS,T-Mobile US Inc,Communication Services,196063.0,T-Mobile US
DHR,Danaher Corp.,Healthcare,191623.0,Danaher
DIS,Walt Disney Co (The),Communication Services,186753.0,Walt Disney
CSCO,"Cisco Systems, Inc.",Technology,186454.0,Cisco Systems
GE,GE Aerospace,Industrials,184507.0,GE Aerospace
AMAT,Applied Materials Inc.,Technology,183247.0,Applied Materials
MCD,McDonald`s Corp,Consumer Cyclical,182722.0,McDonald's
TXN,Texas Instruments Inc.,Technology,181732.0,Texas Instruments
