Ticker,Name,Sector,Cap,NameCln
AMZN,Amazon.com Inc.,Consumer Cyclical,1895567.0,Amazon
TSLA,Tesla Inc,Consumer Cyclical,553841.0,Tesla
WMT,Walmart Inc,Consumer Defensive,523572.0,Walmart
PG,Procter & Gamble Co.,Consumer Defensive,384962.0,Procter & Gamble
COST,Costco Wholesale Corp,Consumer Defensive,360644.0,Costco Wholesale
HD,"Home Depot, Inc.",Consumer Cyclical,325944.0,Home Depot
KO,Coca-Cola Co,Consumer Defensive,266318.0,Coca-Cola
PEP,PepsiCo Inc,Consumer Defensive,238360.0,PepsiCo
MCD,McDonald`s Corp,Consumer Cyclical,182722.0,McDonald's
PM,Philip Morris International Inc,Consumer Defensive,155533.0,Philip Morris International
NKE,"Nike, Inc.",Consumer Cyclical,143520.0,Nike
BKNG,Booking Holdings Inc,Consumer Cyclical,128589.0,Booking
LOW,"Lowe`s Cos., Inc.",Consumer Cyclical,123233.0,Lowe's
TJX,"TJX Companies, Inc.",Consumer Cyclical,114906.0,TJX
MDLZ,Mondelez International Inc.,Consumer Defensive,90636.0,Mondelez International
SBUX,Starbucks Corp.,Consumer Cyclical,87762.0,Starbucks
CMG,Chipotle Mexican Grill,Consumer Cyclical,86627.0,Chipotle
MO,Altria Group Inc.,Consumer Defensive,78118.0,Altria Group
CL,Colgate-Palmolive Co.,Consumer Defensive,75431.0,Colgate-Palmolive
TGT,Target Corp,Consumer Defensive,68053.0,Target
MAR,"Marriott International, Inc.",Consumer Cyclical,66876.0,Marriott International
ORLY,"O`Reilly Automotive, Inc.",Consumer Cyclical,56392.0,O'Reilly Automotive
MNST,Monster Beverage Corp.,Consumer Defensive,53805.0,Monster Beverage
HLT,Hilton Worldwide Holdings Inc,Consumer Cyclical,50009.0,Hilton Worldwide
GM,General Motors Company,Consumer Cyclical,49164.0,General Motors
AZO,Autozone Inc.,Consumer Cyclical,48493.0,Autozone
DHI,D.R. Horton Inc.,Consumer Cyclical,47042.0,DR Horton
ROST,"Ross Stores, Inc.",Consumer Cyclical,46343.0,Ross Stores
F,Ford Motor Co.,Consumer Cyclical,45803.0,Ford Motor
KDP,Keurig Dr Pepper Inc,Consumer Defensive,45696.0,Keurig Dr Pepper
EL,"Estee Lauder Cos., Inc.",Consumer Defensive,44991.0,Estee Lauder
STZ,Constellation Brands Inc,Consumer Defensive,44925.0,Constellation Brands
KMB,Kimberly-Clark Corp.,Consumer Defensive,43486.0,Kimberly-Clark
LEN,Lennar Corp.,Consumer Cyclical,42700.0,Lennar
KHC,Kraft Heinz Co,Consumer Defensive,42561.0,Kraft Heinz
HSY,Hershey Company,Consumer Defensive,40526.0,Hershey
RCL,Royal Caribbean Group,Consumer Cyclical,38636.0,Royal Caribbean Group
YUM,Yum Brands Inc.,Consumer Cyclical,38263.0,Yum Brands
GIS,"General Mills, Inc.",Consumer Defensive,37868.0,General Mills
KR,Kroger Co.,Consumer Defensive,37751.0,Kroger
SYY,Sysco Corp.,Consumer Defensive,36089.0,Sysco
LULU,Lululemon Athletica inc.,Consumer Cyclical,35665.0,Lululemon Athletica
LVS,Las Vegas Sands Corp,Consumer Cyclical,33326.0,Las Vegas Sands
DG,Dollar General Corp.,Consumer Defensive,31252.0,Dollar General
TSCO,Tractor Supply Co.,Consumer Cyclical,30387.0,Tractor Supply
ADM,Archer Daniels Midland Co.,Consumer Defensive,30106.0,Archer Daniels Midland
DECK,Deckers Outdoor Corp.,Consumer Cyclical,27456.0,Deckers Outdoor
EBAY,EBay Inc.,Consumer Cyclical,26767.0,EBay
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,25470.0,Church & Dwight
DLTR,Dollar Tree Inc,Consumer Defensive,24663.0,Dollar Tree
PHM,PulteGroup Inc,Consumer Cyclical,23823.0,PulteGroup
NVR,NVR Inc.,Consumer Cyclical,23047.0,NVR
APTV,Aptiv PLC,Consumer Cyclical,22617.0,Aptiv
ROL,"Rollins, Inc.",Consumer Cyclical,22352.0,Rollins
BLL,Ball Corp.,Consumer Cyclical,22222.0,Ball
LB,L Brands Inc,Consumer Cyclical,21958.0,L Brands
TSN,"Tyson Foods, Inc.",Consumer Defensive,20779.0,Tyson Foods
K,Kellanova Co,Consumer Defensive,20237.0,Kellanova
CVNA,Carvana Co.,Consumer Cyclical,19752.0,Carvana
GPC,Genuine Parts Co.,Consumer Cyclical,19748.0,Genuine Parts
CELH,Celsius Holdings Inc,Consumer Defensive,19327.0,Celsius
MKC,"McCormick & Co., Inc.",Consumer Defensive,19132.0,McCormick
HRL,Hormel Foods Corp.,Consumer Defensive,19005.0,Hormel Foods
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,18284.0,Williams-Sonoma
ULTA,Ulta Beauty Inc,Consumer Cyclical,18269.0,Ulta Beauty
DPZ,Dominos Pizza Inc,Consumer Cyclical,17757.0,Dominos Pizza
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,17703.0,Darden Restaurants
CCL,Carnival Corp.,Consumer Cyclical,17564.0,Carnival
PKG,Packaging Corp Of America,Consumer Cyclical,16246.0,PackagingOf America
CLX,Clorox Co.,Consumer Defensive,16004.0,Clorox
TIF,Tiffany & Co.,Consumer Cyclical,15961.0,Tiffany
BBY,Best Buy Co. Inc.,Consumer Cyclical,15696.0,Best Buy
IP,International Paper Co.,Consumer Cyclical,15682.0,International Paper
BG,Bunge Global SA,Consumer Defensive,15069.0,Bunge Global SA
CAG,Conagra Brands Inc,Consumer Defensive,14213.0,Conagra Brands
AMCR,Amcor Plc,Consumer Cyclical,14208.0,Amcor
EXPE,Expedia Group Inc,Consumer Cyclical,13978.0,Expedia Group
POOL,Pool Corporation,Consumer Cyclical,13708.0,Pool
WRK,WestRock Co,Consumer Cyclical,13703.0,WestRock
CPB,Campbell Soup Co.,Consumer Defensive,13182.0,Campbell Soup
USFD,US Foods Holding Corp,Consumer Defensive,13065.0,US Foods
LW,Lamb Weston Holdings Inc,Consumer Defensive,12764.0,Lamb Weston
BURL,Burlington Stores Inc,Consumer Cyclical,12712.0,Burlington Stores
TOL,Toll Brothers Inc.,Consumer Cyclical,12507.0,Toll Brothers
CASY,"Casey`s General Stores, Inc.",Consumer Defensive,12487.0,Casey's General Stores
RL,Ralph Lauren Corp,Consumer Cyclical,12285.0,Ralph Lauren
MGM,MGM Resorts International,Consumer Cyclical,12227.0,MGM Resorts International
FND,Floor & Decor Holdings Inc,Consumer Cyclical,12158.0,Floor & Decor
BJ,BJ`s Wholesale Club Holdings Inc,Consumer Defensive,11572.0,BJ's Wholesale Club
SJM,J.M. Smucker Co.,Consumer Defensive,11518.0,JM Smucker
TXRH,Texas Roadhouse Inc,Consumer Cyclical,11495.0,Texas Roadhouse
LKQ,LKQ Corp,Consumer Cyclical,11466.0,LKQ
WING,Wingstop Inc,Consumer Cyclical,11415.0,Wingstop
DKS,"Dicks Sporting Goods, Inc.",Consumer Cyclical,11354.0,Dicks Sporting Goods
KMX,Carmax Inc,Consumer Cyclical,10883.0,Carmax
ELF,e.l.f. Beauty Inc,Consumer Defensive,10810.0,elf Beauty
PFGC,Performance Food Group Company,Consumer Defensive,10689.0,Performance Food Group
TAP,Molson Coors Beverage Company,Consumer Defensive,10598.0,Molson Coors Beverage
