,Heading,Subheading,Publisher,Published,Found
0,"Executive Transactions - June 18, 2024",... American Airlines. exec JANELLE ANDERSON CEO (RIP-IT Sports). Fantasy ... Group. All rights reserved.The material on this site may not be reproduced ...,www.sportsbusinessjournal.com,2024-06-18 10:56:29,2024-06-18 15:09:49
1,WestJet Applies To USDOT To Place Condor Code On Flights To 8 US Airports,Data from the aviation analytics company Cirium showed that Condor has ... American Airlines Group- “They Don't Hear The Last Word”: American ...,simpleflying.com,2024-06-18 10:34:57,2024-06-18 15:09:49
2,American Airlines (AAL) Beats Stock Market Upswing: What Investors Need to Know,"Hence, positive alterations in estimates signify analyst optimism regarding the company's business and profitability. ... American Airlines Group Inc. ( ...",finance.yahoo.com,2024-06-18 10:09:14,2024-06-18 15:09:49
3,Deal Alert: Thrifty Traveler Premium is half off right now - The Points Guy,"... American Airlines' business class for 62,000 AAdvantage miles; Rare and ... Group lounges; This is a pay-in-full card, so your balance is due in full ...",thepointsguy.com,2024-06-18 09:17:03,2024-06-18 15:09:49
4,TravelPerk acquires AmTrav as it looks to North America expansion - PhocusWire,AmTrav began selling NDC content through a direct connection with American Airlines ... company's core value of taking care of its team members.,www.phocuswire.com,2024-06-18 06:34:12,2024-06-18 15:09:49
5,Gilat takes to the air with $245 million Stellar Blu takeover plan - SpaceNews,"Their multi-orbit aviation customers include American Airlines, Alaska Airlines, Air Canada and Aerolineas Argentina. ... group achieves business and ...",spacenews.com,2024-06-18 06:24:19,2024-06-18 15:09:49
6,Mesa Air Group Reports Second Quarter Fiscal 2024 Results - Quantisnow,"Headquartered in Phoenix, Arizona, Mesa Air Group, Inc. is the holding company of Mesa Airlines, a regional air ... American Airlines and transitioned ...",quantisnow.com,2024-06-18 06:22:28,2024-06-18 15:09:49
7,FAA moves to toughen safety rules on public charter airlines | News | murrayledger.com,JSX has waged a publicity campaign accusing critics American Airlines Group Inc. and Southwest Airlines Co. of pressuring the government to crush its ...,www.murrayledger.com,2024-06-18 06:05:06,2024-06-18 15:09:49
8,A Seat at the Table: The Working People Weekly List - AFL-CIO,The senators—31 Democrats and independent Bernie Sanders of Vermont—joined House Democrats by weighing in while flight attendants at American Airlines ...,aflcio.org,2024-06-18 05:33:14,2024-06-18 15:09:49
9,Construction completes on Overture Superfactory in North Carolina,The gold standard of business intelligence. Find out more. Related Company Profiles. United Airlines Holdings Inc- American Airlines Group Inc.,www.worldconstructionnetwork.com,2024-06-18 05:24:38,2024-06-18 15:09:49
10,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims on Behalf of Investors ... - ABC27,"... American Airlines Group Inc. (""American Airlines"" or the ""Company"") (NASDAQ:AAL). Such investors are advised to contact Danielle Peyton at ...",www.abc27.com,2024-06-18 05:04:38,2024-06-18 15:09:49
11,'I will forever be proud to call myself a Dallas Star' | Dallas Stars - NHL.com,"Getting the group back together is always special, Modano said. ... At the very least, everyone who comes to American Airlines Center will know the one ...",www.nhl.com,2024-06-18 04:45:31,2024-06-18 15:09:49
12,FAA moves to toughen safety rules on public charter airlines | AJOT.COM,"“If a company is effectively operating as a scheduled airline, the ... JSX has waged a publicity campaign accusing critics American Airlines Group Inc.",www.ajot.com,2024-06-18 04:29:45,2024-06-18 15:09:49
13,2509 Shares in American Airlines Group Inc. (NASDAQ:AAL) Bought by Quarry LP,"American Airlines Group Inc, through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services ...",www.defenseworld.net,2024-06-18 03:30:08,2024-06-18 15:09:49
14,Booksellers Group Seeks to Support FTC in Antitrust Case Against Amazon - PYMNTS.com,"The American Booksellers Association (ABA), a trade group representing ... Air Incheon Emerges as Preferred Bidder for Asiana Airlines' Cargo Business.",www.pymnts.com,2024-06-18 02:28:49,2024-06-18 15:09:49
15,"AAL Investigation Alert: Kessler Topaz Meltzer &amp; Check, LLP Encourages American Airlines ...","... American Airlines Group Inc. (NASDAQ: AAL) (""American Airlines""). On May 28, 2024, after the market closed, American Airlines announced that its ...",www.prnewswire.com,2024-06-18 01:32:52,2024-06-18 15:09:49
16,FAA moves to strengthen safety rules on public charter airlines like Dallas-based JSX,"”If a company is effectively operating as a scheduled airline, the ... JSX has waged a publicity campaign accusing critics American Airlines Group Inc.",www.dallasnews.com,2024-06-18 01:09:47,2024-06-18 15:09:49
17,American Airlines CEO vows to &quot;rebuild trust&quot; after removal of Black passengers - CBS News,American Airlines CEO Robert Isom wrote a letter to employees outlining steps the company will take to address racial discrimination.,www.cbsnews.com,2024-06-20 04:49:05+00:00,2024-06-20 06:00:54
18,Mesa Air Group back in the black - Phoenix Business Journal,A Mesa Air Bombardier CRJ-900 that previously operated for American Airlines under the American Eagle brand. Mesa now has an excess of CRJ-900 ...,www.bizjournals.com,2024-06-20 04:13:11+00:00,2024-06-20 06:00:54
19,Report: American Airlines CEO promises action after Black men removed from Phoenix flight,"The American Airlines CEO is promising changes at the airline after three ... A Gray Media Group, Inc. Station - © 2002-2024 Gray Television, Inc ...",www.azfamily.com,2024-06-20 04:06:58+00:00,2024-06-20 06:00:54
20,Pilots warned smoke could penetrate cabin if Boeing 737 Max planes have a bird strike,Documents newly obtained by CNN detail that Boeing warned Southwest Airlines and American Airlines ... groups. “Boeing has received two reports of CFM ...,ktvz.com,2024-06-20 03:54:41+00:00,2024-06-20 06:00:54
