,Heading,Subheading,Publisher,Published,Found
0,"Insider Sale: Director Rainer Bosselmann Sells 50,000 Shares of Argan Inc (AGX)","On June 17, 2024, Rainer Bosselmann, Director of Argan Inc (NYSE:AGX), executed a sale of 50000 shares of the company at a price of $76.71 per ...",finance.yahoo.com,2024-06-18 06:14:29,2024-06-18 15:10:14
1,"Argan, Inc. (NYSE:AGX) Director Rainer H. Bosselmann Sells 25000 Shares of Stock","Argan, Inc, through its subsidiaries, provides engineering, procurement, construction, commissioning, maintenance, project development, and technical ...",www.defenseworld.net,2024-06-18 03:24:34,2024-06-18 15:10:14
2,ARGAN Director Rainer H Bosselmann Sells 50000 Shares - TradingView,"Following these transactions, Bosselmann directly owns 247,719 shares of ARGAN. SEC Filing: ARGAN INC [ AGX ] - Form 4 - Jun. 17, 2024- Americas ...",www.tradingview.com,2024-06-17 16:16:35,2024-06-18 15:10:14
3,"Insider Sale: Director Rainer Bosselmann Sells 50,000 Shares of Argan Inc (AGX)","On June 17, 2024, Rainer Bosselmann, Director of Argan Inc (NYSE:AGX), executed a sale of 50000 shares of the company at a price of $76.71 per ...",finance.yahoo.com,2024-06-18 11:14:29+00:00,2024-06-19 17:01:17
4,"Argan, Inc. (NYSE:AGX) Director Rainer H. Bosselmann Sells 25000 Shares of Stock","Argan, Inc, through its subsidiaries, provides engineering, procurement, construction, commissioning, maintenance, project development, and technical ...",www.defenseworld.net,2024-06-18 08:24:34+00:00,2024-06-19 17:01:17
5,ARGAN Director Rainer H Bosselmann Sells 50000 Shares - TradingView,"Following these transactions, Bosselmann directly owns 247,719 shares of ARGAN. SEC Filing: ARGAN INC [ AGX ] - Form 4 - Jun. 17, 2024- Americas ...",www.tradingview.com,2024-06-17 21:16:35+00:00,2024-06-19 17:01:17
6,Sadok Laribi has Created a Lasting Success Story with ARVEA Nature - The Globe and Mail,"The company offers four product lines: Natural cosmetics, Makeup, Perfumes, and Dietary products, all based on argan oil and aloe vera. Multiple ...",www.theglobeandmail.com,2024-06-20 06:56:25+00:00,2024-06-20 10:01:20
7,ARGAN EO 2 Revenue Breakdown – FWB:871 - TradingView,See ARGAN EO 2 revenue breakdown by source and country: learn where the money comes from to better understand how the company operates.,www.tradingview.com,2024-06-19 01:20:44+00:00,2024-06-20 10:01:20
8,"Granite Construction, IBD Stock Of The Day: Infrastructure Play On Cusp Of Buy Point - inkl","Other standouts in the Building-Heavy Construction industry group include Fluor, Sterling Infrastructure, Argan ... Larkin said that the company is on ...",www.inkl.com,2024-06-18 23:53:47+00:00,2024-06-20 10:01:20
9,"Quadrature Capital Ltd Sells 27,163 Shares of Xylem Inc. (NYSE:XYL) - Defense World","Corporate insiders own 0.27% of the company's stock. Xylem Stock ... Quadrature Capital Ltd Boosts Stock Holdings in Argan, Inc. (NYSE:AGX) ...",www.defenseworld.net,2024-06-22 09:13:41+00:00,2024-06-22 10:01:16
10,"How major US stock indexes fared Friday, 6/21/2024 - ABC News","Argan, Graham rise; Vail Resorts, Tilly's fall, Friday, 6/7/2024. Jun 7 ... The Walt Disney Company Logo. Notice of Right to Opt Out of Sale/Sharing.",abcnews.go.com,2024-06-22 08:53:28+00:00,2024-06-22 10:01:16
11,"Sarepta Therapeutics, Ryan Specialty rise; Autodesk, Trump Media fall, Friday, 6/21/2024","The car rental company increased an upcoming bond offering to $1 billion. ... Argan, Graham rise; Vail Resorts, Tilly's fall, Friday, 6/7/2024. Jun 7 ...",abcnews.go.com,2024-06-22 05:03:28+00:00,2024-06-22 10:01:16
12,Argan (AGX) Declares $0.30 Quarterly Dividend; 1.6% Yield - StreetInsider,"For a dividend history and other dividend-related data on Argan (AGX) click here. You May Also Be Interested In. Argan, Inc. Declares Regular ...",www.streetinsider.com,2024-06-21 18:47:54+00:00,2024-06-22 10:01:16
13,Headlines Powered By Business Wire : AEROPRES（エアロプレス）,"--(BUSINESS WIRE)--Argan, Inc. (NYSE: AGX) (“Argan” or the “Company”) today announces that its Board of Directors (the “Board”) declared a regular ...",www.businesswire.com,2024-06-21 17:37:14+00:00,2024-06-22 10:01:16
