,Heading,Subheading,Publisher,Published,Found
0,Embraer weighs the possibility of competing with Boeing and Airbus - Quartz,"The plane manufacturer's CEO said his company's plans would be good for airlines in a bind. ... During an earnings call last month, Air Lease Corp. CEO ...",qz.com,2024-06-18 12:02:05,2024-06-18 15:09:21
1,CDB Aviation Leases Two New A320neos to New Customer Azerbaijan Airlines,"CDB Aviation, a wholly owned Irish subsidiary of China Development Bank Financial Leasing, executed lease agreements for two Airbus A320neo ...",www.monitordaily.com,2024-06-18 11:52:17,2024-06-18 15:09:21
2,"Germany's NORD/LB To Exit Aircraft Financing, Sell Off $1.8B Portfolio - Aviation Week","Already a member of AWIN or subscribe to Aviation Daily through your company? ... USC To Launch Wet-Lease, Charter Flights- Lufthansa ...",aviationweek.com,2024-06-18 11:38:35,2024-06-18 15:09:21
3,Kuhn Aviation Will Buy Out Its Competitor at Leesburg Executive Airport,“We took over the existing lease and [Leesburg] is giving us ... Lugano has sponsored a new lounge at the London-area business aviation gateway.,www.ainonline.com,2024-06-18 11:24:15,2024-06-18 15:09:21
4,JD.com Expands Fleet of Air Freighters - Sourcing Journal,"Prior to the new deal, the firm had three 737-800BCF aircraft on lease to JD Airlines. ... air cargo business in late 2021. Then-JD Logistics CEO Yui ...",sourcingjournal.com,2024-06-18 11:12:36,2024-06-18 15:09:21
5,Amendment: SEC Form 6-K/A filed by Orix Corp - Quantisnow,"... aircraft leasing company, announces a commitment to order 40 Boeing 737 MAX aircraft. ... Avolon Reports Increase in Lease Activity in 2022 as Air ...",quantisnow.com,2024-06-18 11:11:35,2024-06-18 15:09:21
6,Interglobe Aviation: What Does the Future Look Like After Promoters Sell Stake?,In FY24 Interglobe Aviation added 65 aircraft including 12 damp leases aircraft and in the March quarter added 9 aircraft to the fleet of company.,tradebrains.in,2024-06-18 11:01:38,2024-06-18 15:09:21
7,Air Lease (AL) Prices $1.2B Senior Unsecured Medium-Term Notes - StreetInsider,"Air Lease Corporation (NYSE: AL) (the “Company”) announced the pricing on June 17, 2024 of its public offering of $600.0 million aggregate ...",www.streetinsider.com,2024-06-18 10:55:40,2024-06-18 15:09:21
8,Air Lease Prices Public Offering Of $1.2 Bln Of Senior Notes - ForexTV,"Air Lease Corporation (AL), a prominent firm in the aircraft leasing sector, has announced the pricing of its public offering, which includes $600 ...",forextv.com,2024-06-18 10:17:04,2024-06-18 15:09:21
9,"US fines Türkiye's Air Sapphire $285,000 for Russia charters - ch-aviation","Denmark's Maersk Air Cargo retires G600 corporate jet. 18Jun2024 ... lease and trading, OEMs, MROs, technical suppliers, and technology providers.",www.ch-aviation.com,2024-06-18 10:10:32,2024-06-18 15:09:21
10,Air Lease Prices Public Offering Of $1.2 Bln Of Senior Notes - Nasdaq,"(RTTNews) - Air Lease Corporation (AL), an aircraft leasing firm, said that it has priced the public offering of $600 million of 5.30% senior ...",www.nasdaq.com,2024-06-18 09:37:38,2024-06-18 15:09:21
11,Air Lease Corporation Announces Pricing of Public Offering of $1.2 Billion of Senior ...,"LOS ANGELES--(BUSINESS WIRE)--Jun 18, 2024--. Air Lease Corporation (NYSE: AL) (the “Company”) announced the pricing on June 17, ...",www.bakersfield.com,2024-06-18 09:34:17,2024-06-18 15:09:21
12,Air New Zealand funds new A321neos | News - Airfinance Journal,"Air New Zealand | Operating lease | 08-23 | 2xA321neo, Finance mandated ... Air Company | Bond issue | 01-24 | $1.5bn. Financial Close: 11/02/2024 ...",www.airfinancejournal.com,2024-06-18 09:23:32,2024-06-18 15:09:21
13,AIR unveils unmanned 'AIR ONE Cargo' eVTOL for logistics market - Vertical Magazine,... co-founder of AIR. “We expanded our offerings in ... Lobo Leasing and Air Taurus enter into LOI to lease five Pipistrel NUUVA V300 unmanned aircraft.,verticalmag.com,2024-06-18 09:05:07,2024-06-18 15:09:21
14,Air Lease Corporation Announces Pricing of Public Offering of $1.2 Billion of Senior ...,"Save. LOS ANGELES--(BUSINESS WIRE)--Jun 18, 2024--. Air Lease Corporation (NYSE: AL) (the “Company”) announced the pricing on June 17, 2024 of its ...",www.standard-journal.com,2024-06-18 09:05:01,2024-06-18 15:09:21
15,Croatia Airlines to replace Dashes with wet-leases,The airline subsequently wet-leased a Danish Air ... OS is not actually the company that could be taken as a good example of profitable business.,www.exyuaviation.com,2024-06-18 08:17:35,2024-06-18 15:09:21
16,Ashland Place Completes New Financing Facility for Flight Lease - PR Newswire,"... Lease Fund Management (""Flight Lease""), a commercial aircraft and engine finance company specializing in leasing and financing aircraft equipment.",www.prnewswire.com,2024-06-18 08:01:21,2024-06-18 15:09:21
17,T'Way Airlines grows operating fleet | News - Airfinance Journal,"... lease from Korean Air, with four more to follow. This deal is the result of the European Commission instructing Korean Air to permit other South ...",www.airfinancejournal.com,2024-06-18 07:55:59,2024-06-18 15:09:21
18,The tea gardens at Manjolai fall silent as company gets ready to cease operations,"When the Zamin system was abolished, these lands were acquired by the government, which honoured the BBTC's lease. ... air and water have fortified us.",www.thehindu.com,2024-06-18 18:07:14,2024-06-19 13:16:17
19,CDB Achieves First Central Asian Deal; Avolon Raises More Funding - Aviation Week,Already a member of AWIN or subscribe to Aviation Daily through your company? ... Turkish Airlines To Lease Seven More Aircraft From CDB Aviation.,aviationweek.com,2024-06-18 16:27:28,2024-06-19 13:16:17
20,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet. Business ... ACG specializes in commercial aircraft leasing and aviation ...,www.bdtonline.com,2024-06-18 16:19:50,2024-06-19 13:16:17
21,Parent of Bangladesh's Regent Airways must repay $29.8mn - ch-aviation,"Meanwhile, Dhaka Bank filed a case against a fourth group member, Habib Steels. All of the companies are in liquidation. However, there are assets ...",www.ch-aviation.com,2024-06-18 16:10:21,2024-06-19 13:16:17
22,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet,"ACG specializes in commercial aircraft leasing and aviation finance. In ... Company; About Us- Careers- Diversity, Equity, & Inclusion- Corporate ...",www.morningstar.com,2024-06-18 16:09:30,2024-06-19 13:16:17
23,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet,"NEWPORT BEACH, Calif., June 18, 2024--(BUSINESS WIRE)--Aviation Capital ... ACG specializes in commercial aircraft leasing and aviation finance. In ...",finance.yahoo.com,2024-06-18 15:52:38,2024-06-19 13:16:17
24,Penny Burtt becomes President of Boeing's Southeast Asia Business - AviTrader,"CDB Aviation and Azerbaijan Airlines sign lease agreements for two Airbus aircraft. Tuesday June 18, 2024.",avitrader.com,2024-06-18 15:32:04,2024-06-19 13:16:17
25,Ascend Consultancy Weekly Team Perspective: Lessor direct orders – a good bet paying off,"Air Lease Corporation and AerCap have the largest number of aircraft delivering in this time frame at over 200 and 150 respectively. However, in ...",www.cirium.com,2024-06-18 15:27:16,2024-06-19 13:16:17
26,Flight Lease Fund Management secures widebody financing | News - Airfinance Journal,"... aircraft and engine finance company specialising in leasing and financing aircraft equipment. The aircraft is on lease to ASL Airlines. ""We are ...",www.airfinancejournal.com,2024-06-18 15:24:14,2024-06-19 13:16:17
27,Dublin-based aircraft leasing firm Avolon agrees new $750m debt deal - MSN,Dublin-based aircraft leasing company Avolon has raised over $750m (€699m) in a new debt deal as it seeks to capitalise on demand in the aviation ...,www.msn.com,2024-06-18 14:41:55,2024-06-19 13:16:17
28,Archer and Signature Aviation partner to electrify air travel network - AviTrader,CDB Aviation and Azerbaijan Airlines sign lease agreements for two Airbus aircraft ... NORD/LB withdraws from aircraft financing business. Monday June ...,avitrader.com,2024-06-18 14:15:33,2024-06-19 13:16:17
29,US's Executive Air Taxi wins approval for hangar expansion - ch-aviation,"Executive Air Taxi Corporation is a full-service aviation company and ... lease and trading, OEMs, MROs, technical suppliers, and technology providers.",www.ch-aviation.com,2024-06-18 13:51:51,2024-06-19 13:16:17
30,The tea gardens at Manjolai fall silent as company gets ready to cease operations,"When the Zamin system was abolished, these lands were acquired by the government, which honoured the BBTC's lease. ... air and water have fortified us.",www.thehindu.com,2024-06-18 23:07:14+00:00,2024-06-19 17:00:31
31,CDB Achieves First Central Asian Deal; Avolon Raises More Funding - Aviation Week,Already a member of AWIN or subscribe to Aviation Daily through your company? ... Turkish Airlines To Lease Seven More Aircraft From CDB Aviation.,aviationweek.com,2024-06-18 21:27:28+00:00,2024-06-19 17:00:31
32,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet. Business ... ACG specializes in commercial aircraft leasing and aviation ...,www.bdtonline.com,2024-06-18 21:19:50+00:00,2024-06-19 17:00:31
33,Parent of Bangladesh's Regent Airways must repay $29.8mn - ch-aviation,"Meanwhile, Dhaka Bank filed a case against a fourth group member, Habib Steels. All of the companies are in liquidation. However, there are assets ...",www.ch-aviation.com,2024-06-18 21:10:21+00:00,2024-06-19 17:00:31
34,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet,"ACG specializes in commercial aircraft leasing and aviation finance. In ... Company; About Us- Careers- Diversity, Equity, & Inclusion- Corporate ...",www.morningstar.com,2024-06-18 21:09:30+00:00,2024-06-19 17:00:31
35,Aviation Capital Group Announces Delivery of One Boeing 737-8 MAX to WestJet,"NEWPORT BEACH, Calif., June 18, 2024--(BUSINESS WIRE)--Aviation Capital ... ACG specializes in commercial aircraft leasing and aviation finance. In ...",finance.yahoo.com,2024-06-18 20:52:38+00:00,2024-06-19 17:00:31
36,Penny Burtt becomes President of Boeing's Southeast Asia Business - AviTrader,"CDB Aviation and Azerbaijan Airlines sign lease agreements for two Airbus aircraft. Tuesday June 18, 2024.",avitrader.com,2024-06-18 20:32:04+00:00,2024-06-19 17:00:31
37,Ascend Consultancy Weekly Team Perspective: Lessor direct orders – a good bet paying off,"Air Lease Corporation and AerCap have the largest number of aircraft delivering in this time frame at over 200 and 150 respectively. However, in ...",www.cirium.com,2024-06-18 20:27:16+00:00,2024-06-19 17:00:31
38,Flight Lease Fund Management secures widebody financing | News - Airfinance Journal,"... aircraft and engine finance company specialising in leasing and financing aircraft equipment. The aircraft is on lease to ASL Airlines. ""We are ...",www.airfinancejournal.com,2024-06-18 20:24:14+00:00,2024-06-19 17:00:31
39,Dublin-based aircraft leasing firm Avolon agrees new $750m debt deal - MSN,Dublin-based aircraft leasing company Avolon has raised over $750m (€699m) in a new debt deal as it seeks to capitalise on demand in the aviation ...,www.msn.com,2024-06-18 19:41:55+00:00,2024-06-19 17:00:31
40,Archer and Signature Aviation partner to electrify air travel network - AviTrader,CDB Aviation and Azerbaijan Airlines sign lease agreements for two Airbus aircraft ... NORD/LB withdraws from aircraft financing business. Monday June ...,avitrader.com,2024-06-18 19:15:33+00:00,2024-06-19 17:00:31
41,US's Executive Air Taxi wins approval for hangar expansion - ch-aviation,"Executive Air Taxi Corporation is a full-service aviation company and ... lease and trading, OEMs, MROs, technical suppliers, and technology providers.",www.ch-aviation.com,2024-06-18 18:51:51+00:00,2024-06-19 17:00:31
42,Embraer weighs the possibility of competing with Boeing and Airbus - Quartz,"The plane manufacturer's CEO said his company's plans would be good for airlines in a bind. ... During an earnings call last month, Air Lease Corp. CEO ...",qz.com,2024-06-18 17:02:05+00:00,2024-06-19 17:00:31
43,CDB Aviation Leases Two New A320neos to New Customer Azerbaijan Airlines,"CDB Aviation, a wholly owned Irish subsidiary of China Development Bank Financial Leasing, executed lease agreements for two Airbus A320neo ...",www.monitordaily.com,2024-06-18 16:52:17+00:00,2024-06-19 17:00:31
44,"Germany's NORD/LB To Exit Aircraft Financing, Sell Off $1.8B Portfolio - Aviation Week","Already a member of AWIN or subscribe to Aviation Daily through your company? ... USC To Launch Wet-Lease, Charter Flights- Lufthansa ...",aviationweek.com,2024-06-18 16:38:35+00:00,2024-06-19 17:00:31
45,Kuhn Aviation Will Buy Out Its Competitor at Leesburg Executive Airport,“We took over the existing lease and [Leesburg] is giving us ... Lugano has sponsored a new lounge at the London-area business aviation gateway.,www.ainonline.com,2024-06-18 16:24:15+00:00,2024-06-19 17:00:31
46,JD.com Expands Fleet of Air Freighters - Sourcing Journal,"Prior to the new deal, the firm had three 737-800BCF aircraft on lease to JD Airlines. ... air cargo business in late 2021. Then-JD Logistics CEO Yui ...",sourcingjournal.com,2024-06-18 16:12:36+00:00,2024-06-19 17:00:31
47,Amendment: SEC Form 6-K/A filed by Orix Corp - Quantisnow,"... aircraft leasing company, announces a commitment to order 40 Boeing 737 MAX aircraft. ... Avolon Reports Increase in Lease Activity in 2022 as Air ...",quantisnow.com,2024-06-18 16:11:35+00:00,2024-06-19 17:00:31
48,Interglobe Aviation: What Does the Future Look Like After Promoters Sell Stake?,In FY24 Interglobe Aviation added 65 aircraft including 12 damp leases aircraft and in the March quarter added 9 aircraft to the fleet of company.,tradebrains.in,2024-06-18 16:01:38+00:00,2024-06-19 17:00:31
49,"Air India Express moves to new campus, joins Air India in Vatika One-on-One complex in Gurugram",Reliance may take on 200 Future Stores after company fails to make lease payments ... Business News › Industry › Transportation › Airlines / Aviation › ...,m.economictimes.com,2024-06-18 14:28:32+00:00,2024-06-19 19:10:30
50,Air Incheon set to acquire Asiana cargo business | News - Airfinance Journal,China Airlines to lease 777-300ERs for longer- T'Way Airlines grows ... Air Company | Bond issue | 01-24 | $1.5bn. Financial Close: 11/02/2024; SPV ...,www.airfinancejournal.com,2024-06-18 13:53:36+00:00,2024-06-19 19:10:30
