,Heading,Subheading,Publisher,Published,Found
0,Why did Sony buy Alamo Drafthouse — and is it actually a good thing? - Los Angeles Times,"Ryan Faughnder is a senior editor with the Los Angeles Times' Company Town team, which covers the business of entertainment. He also hosts the ...",www.latimes.com,2024-06-18 11:59:56,2024-06-18 15:09:29
1,Advent International exits ship management company V Group - Private Equity Wire,Altamont Capital Partners exits dine-in cinema chain Alamo Drafthouse- UK VC firm Hambro Perks rebrands to Salica Investments. Featured. Intel; June ...,www.privateequitywire.co.uk,2024-06-18 11:47:12,2024-06-18 15:09:29
2,Alamo Drafthouse Is Just the Latest Victim in the Corporate Destruction of Cinema,The corporate acquisition was probably inevitable as Alamo Drafthouse ... A group of people in an Alamo Drafthouse sitting at a bar before a movie ...,movieweb.com,2024-06-18 11:27:19,2024-06-18 15:09:29
3,These 4 Measures Indicate That Alamo Group (NYSE:ALG) Is Using Debt Reasonably Well,"So it might be obvious that you need to consider debt, when you think about how risky any given stock is, because too much debt can sink a company. We ...",simplywall.st,2024-06-18 07:07:28,2024-06-18 15:09:29
4,"Kerrigan Advisors Represents San Antonio, Texas-Based Alamo Toyota and Houston ...","... Co-Owner, Alamo Toyota and Tejas Toyota. ""We are incredibly grateful for ... Companies to Asbury Automotive Group. The firm advises the industry's ...",finance.yahoo.com,2024-06-18 07:03:36,2024-06-18 15:09:29
5,Sony Acquires Alamo Drafthouse Cinema - Movieguide,"... companies,” said Tim Rothman, Chairman and CEO of Sony Pictures Motion Group. “I'm jazzed that our company is doing this.” The acquisition chain ...",www.movieguide.org,2024-06-18 03:03:48,2024-06-18 15:09:29
6,Altamont Capital Partners exits dine-in cinema chain Alamo Drafthouse,... Alamo Drafthouse Cinema to global entertainment company Sony Pictures Entertainment. ... Working with Alamo Drafthouse's management team comprising ...,pe-insights.com,2024-06-17 23:58:13,2024-06-18 15:09:29
7,Why did Sony buy Alamo Drafthouse — and is it actually a good thing? - Los Angeles Times,"Ryan Faughnder is a senior editor with the Los Angeles Times' Company Town team, which covers the business of entertainment. He also hosts the ...",www.latimes.com,2024-06-18 16:59:56+00:00,2024-06-19 17:00:38
8,Advent International exits ship management company V Group - Private Equity Wire,Altamont Capital Partners exits dine-in cinema chain Alamo Drafthouse- UK VC firm Hambro Perks rebrands to Salica Investments. Featured. Intel; June ...,www.privateequitywire.co.uk,2024-06-18 16:47:12+00:00,2024-06-19 17:00:38
9,Alamo Drafthouse Is Just the Latest Victim in the Corporate Destruction of Cinema,The corporate acquisition was probably inevitable as Alamo Drafthouse ... A group of people in an Alamo Drafthouse sitting at a bar before a movie ...,movieweb.com,2024-06-18 16:27:19+00:00,2024-06-19 17:00:38
10,These 4 Measures Indicate That Alamo Group (NYSE:ALG) Is Using Debt Reasonably Well,"So it might be obvious that you need to consider debt, when you think about how risky any given stock is, because too much debt can sink a company. We ...",simplywall.st,2024-06-18 12:07:28+00:00,2024-06-19 17:00:38
11,"Kerrigan Advisors Represents San Antonio, Texas-Based Alamo Toyota and Houston ...","... Co-Owner, Alamo Toyota and Tejas Toyota. ""We are incredibly grateful for ... Companies to Asbury Automotive Group. The firm advises the industry's ...",finance.yahoo.com,2024-06-18 12:03:36+00:00,2024-06-19 17:00:38
12,Sony Acquires Alamo Drafthouse Cinema - Movieguide,"... companies,” said Tim Rothman, Chairman and CEO of Sony Pictures Motion Group. “I'm jazzed that our company is doing this.” The acquisition chain ...",www.movieguide.org,2024-06-18 08:03:48+00:00,2024-06-19 17:00:38
13,Altamont Capital Partners exits dine-in cinema chain Alamo Drafthouse,... Alamo Drafthouse Cinema to global entertainment company Sony Pictures Entertainment. ... Working with Alamo Drafthouse's management team comprising ...,pe-insights.com,2024-06-18 04:58:13+00:00,2024-06-19 17:00:38
14,Two Alamo Drafthouse Locations Vote in Unionization Attempts - Denver Westword,"He said that he believes in unions, but he believes they are for broken companies, not his company.” ... Group- Dallas Observer- New Times Broward- ...",www.westword.com,2024-06-20 10:41:34+00:00,2024-06-20 12:00:39
15,Alamo Drafthouse workers hopeful ownership change will favor newly formed union,"Last week, the Austin, Texas-based theater company, known for its in-seat dining and cinephile events, announced that it would be sold to Sony and ...",coloradosun.com,2024-06-20 10:21:24+00:00,2024-06-20 12:00:39
16,Sony's Bet on Alamo Drafthouse Is More than a Crunchyroll of the Dice - IndieWire,"It's a small company, which minimizes risk for Sony. Alamo provides a ... Sony Motion Pictures Group chairman Tom Rothman has been outspoken about ...",www.indiewire.com,2024-06-20 09:34:59+00:00,2024-06-20 12:00:39
17,Quadrature Capital Ltd Buys 33602 Shares of The Toro Company (NYSE:TTC),"Quadrature Capital Ltd Buys 7,311 Shares of Alamo Group Inc. (NYSE:ALG). You might be interested in:.",www.defenseworld.net,2024-06-20 07:14:20+00:00,2024-06-20 12:00:39
18,"Sony buys Alamo Drafthouse after branch files bankruptcy, DFW's ex-employees still left without pay","Since then, Sony Pictures has bought the company while Alamo's ex-employees are left without pay. ... A group of Alamo Drafthouse employees said in a ...",www.ntdaily.com,2024-06-20 04:27:58+00:00,2024-06-20 12:00:39
