,Heading,Subheading,Publisher,Published,Found
0,"Boeing CEO downplays whistleblower claims, says company is 'far from perfect' ahead of ... - Fortune",The hearing is the first time Calhoun will testify publicly on Boeing's safety issues before he steps down.,fortune.com,2024-06-18 13:33:53,2024-06-18 15:11:08
1,Boeing CEO Calhoun addresses Congress amid new whistleblower claim - Axios,"Boeing CEO Dave Calhoun told a Senate panel Tuesday that the company's culture is ""far from perfect"" but improving since a mid-flight accident ...",www.axios.com,2024-06-18 13:32:30,2024-06-18 15:11:08
2,Lawmakers prepare to grill Boeing CEO David Calhoun in new hearing as planemaker flounders,Boeing CEO David Calhoun is facing congressional lawmakers on Capitol Hill Tuesday in a new hearing focused on safety practices at the company.,www.nbcnews.com,2024-06-18 13:16:08,2024-06-18 15:11:08
3,"Boeing hid questionable 737 Max plane parts from FAA regulators, new whistleblower alleges","""We are reviewing the claims,"" said the company's statement. ""We continuously encourage employees to report all concerns as our priority is to ensure ...",6abc.com,2024-06-18 12:30:25,2024-06-18 15:11:08
4,Live Updates: Boeing CEO Dave Calhoun testifies at US Senate - CNN,"Not surprisingly for a hearing entitled “Boeing's broken safety culture,” the hearing Tuesday will include harsh criticism of the company and its CEO, ...",www.cnn.com,2024-06-18 12:16:06,2024-06-18 15:11:08
5,Boeing live updates: CEO David Calhoun to be grilled by US lawmakers - BBC News,Boeing's chief executive Dave Calhoun will face questions from US lawmakers over the company's safety and quality control at 14:00 ET (19:00 BST).,www.bbc.com,2024-06-18 12:12:18,2024-06-18 15:11:08
6,New Boeing whistleblower alleges faulty airplane parts may have been used on jets,A new whistleblower report alleging Boeing may have used some faulty airplane parts on its jets comes as the company already faces quality and ...,www.cbsnews.com,2024-06-18 11:53:34,2024-06-18 15:11:08
7,Boeing CEO To Face Capitol Hill Grilling - Barron's,Boeing CEO Dave Calhoun will face tough questioning in a Senate panel- Boeing engineer Sam Salehpour testified in April that the company blackballed ...,www.barrons.com,2024-06-18 10:53:12,2024-06-18 15:11:08
8,"Boeing's CEO will be grilled by the Senate, a first since the Alaska Airlines emergency",Calhoun will acknowledge shortcomings but seek to emphasize the company's efforts to improve. “Much has been said about Boeing's culture. We've heard ...,www.fastcompany.com,2024-06-18 10:19:20,2024-06-18 15:11:08
9,Boeing CEO to face congressional grilling as new whistleblower claims emerge - CBS News,"Boeing CEO David Calhoun will tell a Senate hearing that his company's culture is ""far from perfect"" amid new whistleblower allegations.",www.cbsnews.com,2024-06-18 10:19:07,2024-06-18 15:11:08
10,New Boeing whistleblower tells Blumenthal company is using defective parts on planes,"A new Boeing whistleblower has come forward ahead of Tuesday's Senate hearing with the airplane manufacturer's CEO, accusing the company of ...",gazette.com,2024-06-18 10:18:01,2024-06-18 15:11:08
11,Boeing hid questionable parts from regulators that may have been installed in 737 Max ... - CNN,"According to his prepared testimony shared with CNN, Calhoun will admit to problems with the company's culture, but he'll push back on claims that the ...",www.cnn.com,2024-06-18 10:16:09,2024-06-18 15:11:08
12,"Boeing Hid Faulty Parts That May Have Been Installed On New 737 Planes, Whistleblower Alleges",Boeing's chief executive will testify before Congress about the company's recent manufacturing woes.,www.forbes.com,2024-06-18 10:06:22,2024-06-18 15:11:08
13,New Boeing whistleblower calls out 'a culture that desperately needs to be repaired',The FAA is also planning to take a more hands-on approach to overseeing the company going forward. Other Boeing whistleblowers. Mohawk is hardly the ...,www.usatoday.com,2024-06-18 09:57:53,2024-06-18 15:11:08
14,Another Boeing whistleblower speaks out as CEO to testify before Congress - The Guardian,"Sam Mohawk, a quality assurance inspector for the company in Renton, Washington, alleged that he was instructed by his supervisors to conceal evidence ...",www.theguardian.com,2024-06-18 09:46:32,2024-06-18 15:11:08
15,Goal of Boeing hearing is to help the company restore trust and regain credibility - YouTube,Senate Homeland Security Permanent Subcommittee on Investigations Chairman Sen. Richard Blumenthal (D-Conn.) joins 'Squawk Box' to preview Boeing ...,www.youtube.com,2024-06-18 09:43:43,2024-06-18 15:11:08
16,"New Boeing whistleblower alleges faulty parts 'likely installed' on planes, risking 'catastrophic event'","Sam Mohawk, a current Boeing employee and new whistleblower, is alleging that faulty parts have ""likely"" been installed on the company's new ...",www.foxbusiness.com,2024-06-18 09:36:13,2024-06-18 15:11:08
17,"Boeing CEO to testify before senate, face new whistleblower claims - Mint",Boeing CEO David Calhoun said the company has cooperated ...,www.livemint.com,2024-06-18 09:36:02,2024-06-18 15:11:08
18,"Boeing CEO to face harsh Senate questions, new whistleblower claims - Reuters","Calhoun will acknowledge shortcomings but seek to emphasize the company's efforts to improve. Advertisement · Scroll to continue. ""Much has been said ...",www.reuters.com,2024-06-18 09:34:41,2024-06-18 15:11:08
19,New Boeing whistleblowers come forward ahead of Senate safety hearing - Morningstar,The company entered into a deferred-prosecution agreement with the Justice Department in 2021 to resolved criminal charges that it defrauded ...,www.morningstar.com,2024-06-18 09:31:18,2024-06-18 15:11:08
20,Senate subcommittee rebukes Boeing CEO over safety failures - West Hawaii Today,"New whistleblower testimony in a Senate report released late Monday alleges that Boeing Co ... Commerce Committee ranking member Ted Cruz, R-Texas, said ...",www.westhawaiitoday.com,2024-06-19 05:10:54,2024-06-19 13:17:57
21,Boeing plane crash senate subcommittee hearing | Boeing CEO Dave Calhoun's testimony,(ASSOCIATED PRESS) U.S. lawmakers grilled Boeing's chief executive Tuesday about the company's plans to fix its manufacturing problems and its ...,www.youtube.com,2024-06-19 02:26:14,2024-06-19 13:17:57
