,Heading,Subheading,Publisher,Published,Found
0,Teachers Retirement System of The State of Kentucky Cuts Holdings in TopBuild Corp. (NYSE:BLD),"FMR LLC now owns 1,100,719 shares of the construction company's stock valued at $276,941,000 after purchasing an additional 133,835 shares during the ...",www.defenseworld.net,2024-06-18 04:38:55,2024-06-18 15:22:29
1,Short Interest in TopBuild Corp. (NYSE:BLD) Increases By 25.9% - MarketBeat,"Approximately 2.0% of the company's shares are sold short. Based on an average daily trading volume, of 285,000 shares, the short-interest ratio is ...",www.marketbeat.com,2024-06-17 22:41:45,2024-06-18 15:22:29
2,HighPoint Advisor Group LLC Invests $636000 in TopBuild Corp. (NYSE:BLD),"The fund acquired 1,700 shares of the construction company's stock, valued at approximately $636,000. Get TopBuild alerts: Several other hedge ...",www.defenseworld.net,2024-06-19 22:41:34+00:00,2024-06-20 05:12:28
3,"TopBuild Corp. Share Price Target '$465.00', now 13.1% Upside Potential","The company is not paying dividends at this time. Other points of data to note are a P/E ratio of 19.57, revenue per share of $164.71 and a 11.38 ...",www.directorstalkinterviews.com,2024-06-21 22:57:43+00:00,2024-06-22 05:12:33
4,"Vanguard Group Inc. Buys 23,906 Shares of TopBuild Corp. (NYSE:BLD) - MarketBeat","HighTower Advisors LLC now owns 1,860 shares of the construction company's stock valued at $479,000 after buying an additional 688 shares during the ...",www.marketbeat.com,2024-06-21 20:50:13+00:00,2024-06-22 05:12:33
5,TopBuild Acquires Energy One America Subsidiary - Industrial Distribution,"Texas Insulation generates approximately $39 million in annual revenue. The company's leadership team, led by president Abe Nevarez, will transition ...",www.inddist.com,2024-06-21 20:06:31+00:00,2024-06-22 05:12:33
6,Goldman Sachs Group Inc. Has $41.08 Million Position in TopBuild Corp. (NYSE:BLD),"Capital International Investors now owns 1,617,057 shares of the construction company's stock valued at $605,200,000 after buying an additional ...",www.defenseworld.net,2024-06-21 16:09:09+00:00,2024-06-22 05:12:33
7,Vanguard Group Inc. Has $1.11 Billion Stock Holdings in TopBuild Corp. (NYSE:BLD),"The firm owned 2,974,062 shares of the construction company's stock after acquiring an additional 23,906 shares during the period. Vanguard Group Inc.",www.defenseworld.net,2024-06-21 15:46:42+00:00,2024-06-22 05:12:33
8,Here's Why TopBuild (BLD) is a Strong Growth Stock - Yahoo News,"TopBuild is also cash rich. The company has generated cash flow growth of 38.5%, and is expected to report cash flow expansion of 44% in 2022. With ...",au.news.yahoo.com,2024-06-21 09:43:36+00:00,2024-06-22 05:12:33
9,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick - Yahoo Finance Canada,"TopBuild, which earlier operated as a subsidiary of Masco Corporation ... The company started trading on the NYSE under the symbol “BLD"" from Jul 1 ...",ca.finance.yahoo.com,2024-06-21 09:02:41+00:00,2024-06-22 05:12:33
10,Should You Investigate TopBuild Corp. (NYSE:BLD) At US$388? - Simply Wall St News,Let's talk about the popular TopBuild Corp. ( NYSE:BLD ). The company's shares saw significant share price movement...,simplywall.st,2024-06-24 02:36:22+00:00,2024-06-24 05:12:28
11,TopBuild Corp. (NYSE:BLD) Receives Consensus Recommendation of “Moderate Buy” from Analysts,Two investment analysts have rated the stock with a hold rating and nine have assigned a buy rating to the company. The average twelve-month target ...,www.defenseworld.net,2024-06-23 20:11:36+00:00,2024-06-24 05:12:28
12,Granite (GVA) Wins Contract to Upgrade Highway 101 in CA - Yahoo Movies Canada,"TopBuild currently sports a Zacks Rank of 1. BLD delivered a trailing four-quarter earnings surprise of 12.9%, on average. Shares of the company have ...",ca.movies.yahoo.com,2024-06-23 19:51:52+00:00,2024-06-24 05:12:28
13,TopBuild Corp. (NYSE:BLD) Receives $420.90 Consensus PT from Analysts - MarketBeat,"TopBuild Corp. (NYSE:BLD - Get Free Report) has been given an average rating of ""Moderate Buy"" by the eleven analysts that are covering the firm, ...",www.marketbeat.com,2024-06-23 17:41:24+00:00,2024-06-24 05:12:28
14,Quadrature Capital Ltd Decreases Stock Position in TopBuild Corp. (NYSE:BLD),"The firm owned 1,617 shares of the construction company's stock after selling 7,509 shares during the period. Quadrature Capital Ltd's holdings in ...",www.marketbeat.com,2024-06-23 09:40:36+00:00,2024-06-24 05:12:28
15,BLD Quantitative Stock Analysis - Nasdaq,TOPBUILD CORP (BLD) is a large-cap growth stock in the Construction Services industry. The rating using this strategy is 100% based on the firm's ...,www.nasdaq.com,2024-06-23 07:11:56+00:00,2024-06-24 05:12:28
16,TopBuild Corp. (BLD) Hits Fresh High: Is There Still Room to Run? - Yahoo Lifestyle Canada,"TopBuild (BLD) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",ca.style.yahoo.com,2024-06-23 05:44:26+00:00,2024-06-24 05:12:28
17,PNC Financial Services Group Inc. Sells 1006 Shares of TopBuild Corp. (NYSE:BLD),"bought a new stake in shares of TopBuild in the 4th quarter worth approximately $112,000. Institutional investors own 95.67% of the company's stock.",www.defenseworld.net,2024-06-22 10:49:52+00:00,2024-06-24 05:12:28
18,TopBuild (NYSE:BLD) Shares Gap Down to $391.49 | MarketBeat,"The business's revenue for the quarter was up 1.1% on a year-over-year basis. During the same period last year, the firm earned $4.36 earnings per ...",www.marketbeat.com,2024-06-25 16:14:01+00:00,2024-06-26 05:12:44
19,Weekly Upgrades and Downgrades | InvestorPlace,"Downgraded: Buy to Hold. Symbol, Company, Quantitative Grade, Fundamental Grade, Total Grade. BLD, TopBuild Corp. C, C ...",investorplace.com,2024-06-24 20:19:32+00:00,2024-06-26 05:12:44
20,40-year stock pulse of Central Florida's publicly traded companies - The Business Journals,"TopBuild Corp. View this list. Deadline: Friday, August 30, 2024. 2024 ... Local publicly traded company grew $600 million in revenue. Local ...",www.bizjournals.com,2024-06-26 21:48:26+00:00,2024-06-26 23:12:48
21,Wide-Moat Masco Is Leader in Plumbing Fixtures and Paint - Morningstar,"The firm divested its most cyclical and least profitable businesses (it spun off its installation business, now named TopBuild, to shareholders in ...",www.morningstar.com,2024-06-26 21:00:44+00:00,2024-06-26 23:12:48
22,Here's Why TopBuild (BLD) is a Strong Value Stock | Nasdaq,"The Zacks Rank is a proprietary stock-rating model that harnesses the power of earnings estimate revisions, or changes to a company's earnings ...",www.nasdaq.com,2024-06-26 20:06:59+00:00,2024-06-26 23:12:48
23,Here's Why TopBuild (BLD) is a Strong Value Stock - Yahoo Finance,"A company's earnings performance is important for value investors as well. For fiscal 2024, seven analysts revised their earnings estimate higher in ...",finance.yahoo.com,2024-06-26 17:29:25+00:00,2024-06-26 23:12:48
24,"UFP Industries (UFPI) Buys Palets Suller Stake, Expands in Spain - MSN","Samuel Suller Oliver, the founder and CEO of Palets Suller Group, will continue to hold a 20% stake in the company ... TopBuild Corp. BLD ...",.google.com,2024-06-26 13:07:26+00:00,2024-06-26 23:12:48
25,TopBuild (NYSE:BLD) Shares Gap Down to $391.49 - Defense World,"The company's quarterly revenue was up 1.1% compared to the same quarter last year. On average, equities research analysts expect that TopBuild Corp.",www.defenseworld.net,2024-06-27 16:00:13+00:00,2024-06-27 17:12:28
26,Investing in TopBuild Corp (BLD) Is Getting More Attractive - Knox Daily,"In a filing, TopBuild Corp revealed its President and CEO Buck Robert M unloaded Company's shares for reported $1.05 million on Jun 12 '24. In the ...",knoxdaily.com,2024-06-27 04:57:22+00:00,2024-06-27 17:12:28
27,SEC Form 11-K filed by TopBuild Corp. - Quantisnow,Our responsibility is to express an opinion on the Plan's financial statements based on our audits. We are a public accounting firm registered with ...,quantisnow.com,2024-06-27 20:18:01+00:00,2024-06-28 03:12:40
28,Critical Comparison: SolarMax Technology (NASDAQ:SMXT) and TopBuild (NYSE:BLD),"0.5% of TopBuild shares are held by company insiders. Strong institutional ownership is an indication that hedge funds, large money managers and ...",www.defenseworld.net,2024-06-28 17:44:50+00:00,2024-06-28 20:12:55
29,Wellington Management Group LLP Has $8.33 Million Stock Position in TopBuild Corp. (NYSE:BLD),"The firm owned 22,248 shares of the construction company's stock after purchasing an additional 6,887 shares during the quarter. Wellington Management ...",www.defenseworld.net,2024-06-28 14:58:34+00:00,2024-06-28 20:12:55
30,Park Avenue Securities LLC Has $451000 Stock Holdings in TopBuild Corp. (NYSE:BLD),"HighTower Advisors LLC now owns 1,860 shares of the construction company's stock valued at $479,000 after acquiring an additional 688 shares during ...",www.defenseworld.net,2024-06-30 14:55:40+00:00,2024-06-30 17:12:40
31,Trading app Robinhood says working to resolve service interruption,"... company, whose platform is immensely popular with retail traders, said ... TopBuild. 4 minutes ago. The Canadian Press. Sam Reinhart agrees to ...",ca.finance.yahoo.com,2024-07-01 14:40:37+00:00,2024-07-01 20:13:22
32,US Gutters &amp; Downspouts Market Report 2024: Historical - GlobeNewswire,"Company Logo. US Gutters & Downspouts Market Report 2024: Historical ... TopBuild. July 01, 2024 10:37 ET | Source: Research and Markets Follow",www.globenewswire.com,2024-07-01 14:39:18+00:00,2024-07-01 20:13:22
33,Is TopBuild Corp (NYSE:BLD) As Strong As Its Balance Sheet Indicates? - Yahoo Life UK,"With this increase in debt, BLD's cash and short-term investments stands at US$56.52M , ready to deploy into the business. Moreover, BLD has generated ...",uk.style.yahoo.com,2024-07-01 15:33:55+00:00,2024-07-02 06:12:42
34,"US Gutters &amp; Downspouts Market Report 2024: Historical Demand Data (2012, 2017, and ...","... TopBuild. Research and Markets. Mon, Jul 1, 2024, 7:37 AM PDT 7 min read. Company Logo. Dublin, July 01, 2024 (GLOBE NEWSWIRE) -- The ""US ...",finance.yahoo.com,2024-07-01 14:42:46+00:00,2024-07-02 15:13:02
35,Form N-CSRS CREDIT SUISSE HIGH YIELD For: Apr 30 - StreetInsider,"Clarios Global LP/Clarios U.S. Finance Co., Rule 144A, Company Guaranteed Notes ... TopBuild Corp., Rule 144A, Company Guaranteed Notes (Callable 05/31/ ...",www.streetinsider.com,2024-07-03 06:15:32+00:00,2024-07-03 08:12:41
36,TopBuild Corp. (NYSE:BLD) Shares Sold by Dixon Mitchell Investment Counsel Inc.,... its most recent disclosure with the Securities and Exchange Commission (SEC). The firm owned 34502 shares of the construction company's stock after.,www.marketbeat.com,2024-07-03 00:47:49+00:00,2024-07-03 08:12:41
37,TopBuild Corp. (NYSE:BLD) Stock Holdings Increased by State of Michigan Retirement System,"The fund owned 7,757 shares of the construction company's stock after purchasing an additional 100 shares during the period. State of Michigan ...",www.defenseworld.net,2024-07-03 12:32:10+00:00,2024-07-03 17:13:38
38,Looking Into TopBuild's Recent Short Interest - Benzinga,TopBuild Short Interest Graph (3 Months). short_fig. As you can see ... A company's peer is another company that has similar characteristics to ...,www.benzinga.com,2024-07-04 08:54:03+00:00,2024-07-04 20:13:33
39,Monument Capital Management Acquires New Holdings in TopBuild Corp. (NYSE:BLD),"The fund purchased 6,408 shares of the construction company's stock, valued at approximately $2,824,000. Get TopBuild alerts: Sign Up. Other ...",www.marketbeat.com,2024-07-04 07:54:23+00:00,2024-07-04 20:13:33
