,Heading,Subheading,Publisher,Published,Found
0,"Wellington Management Group LLP Sells 5982108 Shares of Equitable Holdings, Inc. (NYSE:EQH)","Wellington Management Group LLP Has $370.73 Million Stock Holdings in BWX Technologies, Inc. (NYSE:BWXT). You might be interested in:.",www.defenseworld.net,2024-06-18 11:21:22,2024-06-18 15:11:31
1,BWXT Receives Phase 2 Contract for Continued Microreactor Development Work in Wyoming,BWXT AT co-developed the BWXT Advanced Nuclear Reactor with the Department of Energy under the Advanced Reactor Demonstration Program. The company ...,executivebiz.com,2024-06-18 11:16:31,2024-06-18 15:11:31
2,"BWX Technologies, Inc. (NYSE:BWXT) Not Lagging Market On Growth Or Pricing","BWX Technologies, Inc.'s ( NYSE:BWXT ) price-to-earnings (or ""P/E"") ratio of 32.9x might make it look like a strong...",simplywall.st,2024-06-18 06:45:23,2024-06-18 15:11:31
3,Possible Bearish Signals With Scholar Rock Holding Insiders Disposing Stock,"In the last year Scholar Rock Holding insiders didn't buy any company stock. ... BWX Technologies, Inc. (NYSE:BWXT) Not Lagging Market On Growth Or ...",simplywall.st,2024-06-18 06:45:23,2024-06-18 15:11:31
4,BWX Technologies Wins Microreactor-Evaluation Pact for Wyoming - MarketScreener,"BWX Technologies, Inc. is a specialty manufacturer of nuclear components, a developer of nuclear technologies and a service provider. It focus on the ...",www.marketscreener.com,2024-06-18 04:43:27,2024-06-18 15:11:31
5,BWXT Awarded Phase Two of Microreactor Evaluation Contract for State of Wyoming,"BWX Technologies, Inc. (NYSE: BWXT) today announced the award of the second phase of a contract with the Wyoming Energy Authority to assess the ...",www.placera.se,2024-06-18 03:32:47,2024-06-18 15:11:31
6,"BWX Technologies, Inc. (NYSE:BWXT) Shares Sold by Kingdon Capital Management L.L.C.","BWX Technologies, Inc, together with its subsidiaries, manufactures and sells nuclear components in the United States, Canada, and internationally. It ...",www.marketbeat.com,2024-06-18 00:25:21,2024-06-18 15:11:31
7,Parties in $45B contract battle make arguments in closed-door hearing with claims judge,"Contract winner Hanford Tank Operations and Closure (H2C), made up of BWX Technologies, Fluor and Amentum, wants the judge to dismiss a challenge ...",www.exchangemonitor.com,2024-06-17 16:46:16,2024-06-18 15:11:31
8,BWX Technologies Wins Microreactor-Evaluation Pact for Wyoming - MarketWatch,The company said the program is valued at approximately $20 million. Phase two is expected to be complete by the third quarter of 2025. BWX is ...,www.marketwatch.com,2024-06-17 16:41:57,2024-06-18 15:11:31
9,BWXT Awarded Phase Two of Microreactor Evaluation Contract for State of Wyoming,"--(BUSINESS WIRE)-- BWX Technologies, Inc. (NYSE: BWXT) today announced the award of the second phase of a contract with the Wyoming Energy ...",www.stocktitan.net,2024-06-17 16:03:10,2024-06-18 15:11:31
