,Heading,Subheading,Publisher,Published,Found
0,"Freight market pressured again in May, Cass data shows - FreightWaves","Freight shipments and total freight spend remained under pressure again in May, according to data from Cass Information Systems.",www.freightwaves.com,2024-06-18 13:07:33,2024-06-18 15:11:40
1,"Cass Information Systems, Inc. (NASDAQ:CASS) Short Interest Update - MarketBeat","Cass Information Systems, Inc provides payment and information processing services to manufacturing, distribution, and retail enterprises in the ...",www.marketbeat.com,2024-06-18 07:42:18,2024-06-18 15:11:40
2,"Tallies, totals and other trend data in the freight transportation realm - RailPrime","... Cass Information Systems Inc. announced on June 17. The 9% year-over-year decline narrowed from down 17% in April, Cass officials said. The ...",www.progressiverailroading.com,2024-06-19 00:28:03,2024-06-19 13:18:24
3,"Tallies, totals and other trend data in the freight transportation realm - RailPrime","... Cass Information Systems Inc. announced on June 17. The 9% year-over-year decline narrowed from down 17% in April, Cass officials said. The ...",www.progressiverailroading.com,2024-06-19 05:28:03+00:00,2024-06-19 17:02:33
4,"Freight market pressured again in May, Cass data shows - FreightWaves","Freight shipments and total freight spend remained under pressure again in May, according to data from Cass Information Systems.",www.freightwaves.com,2024-06-18 18:07:33+00:00,2024-06-19 17:02:33
5,"Cass Information Systems, Inc. (NASDAQ:CASS) Short Interest Update - MarketBeat","Cass Information Systems, Inc provides payment and information processing services to manufacturing, distribution, and retail enterprises in the ...",www.marketbeat.com,2024-06-18 12:42:18+00:00,2024-06-19 17:02:33
6,OOIDA sues EPA over greenhouse gas emissions standards - FreightWaves,"Market update: Cass Truckload Linehaul Index improves in May. On Monday, freight audit and payment provider Cass Information Systems released its May ...",www.freightwaves.com,2024-06-21 02:45:00+00:00,2024-06-21 11:02:34
7,US trucking market stuck 'in limp mode' through remainder of 2024 - The Loadstar,"After some improvement in the first quarter, the CASS Freight Index has been in decline again. ... Information Systems FedEx Freight Saia Uber Freight ...",theloadstar.com,2024-06-20 07:28:47+00:00,2024-06-21 11:02:34
8,This Week in Logistics News (June 15 – 21),"... company's business. ... Freight shipments and total freight spend remained under pressure again in May, according to data from Cass Information Systems.",logisticsviewpoints.com,2024-06-21 19:02:04+00:00,2024-06-22 11:02:32
9,"Salem Investment Counselors Inc. Has $124,000 Stock Holdings in Cass Information ...","Cass Information Systems, Inc provides payment and information ... The company operates through two segments, Information Services and Banking Services.",www.defenseworld.net,2024-06-24 12:42:21+00:00,2024-06-25 10:02:31
10,International Assets Investment Management LLC Sells 146 Shares of Schwab U.S. Large ...,"Midwest Financial Group LLC now owns 7,812 shares of the company's stock ... Has $124,000 Stock Holdings in Cass Information Systems, Inc. (NASDAQ ...",www.defenseworld.net,2024-06-24 12:34:59+00:00,2024-06-25 10:02:31
11,"vegan meal kit delivery service Market 2024 Segment Analysis | Dorel Industries, Inc., Cass ...","vegan meal kit delivery service Market 2024 Segment Analysis | Dorel Industries, Inc., Cass Information System - Amoré.",.google.com,2024-06-26 04:40:27+00:00,2024-06-26 11:02:31
12,"Sucralose Market Quantitative &amp; Qualitative Analysis |Dorel Industries, Inc., Cass Information System","Sucralose Market Quantitative & Qualitative Analysis |Dorel Industries, Inc., Cass Information System - Amoré.",amore.ng,2024-06-26 04:21:37+00:00,2024-06-26 11:02:31
13,Spot rate improvement in May: New trend or just another bounce along the bottom?,"Another industry resource, Cass Information Systems, wasn't as bullish about the coming months. ... company driver? Curious about the latest news ...",www.thetrucker.com,2024-06-27 17:19:46+00:00,2024-06-27 19:02:33
14,Brookstone Capital Management Reduces Stock Position in Check Point Software ...,"The firm owned 5,983 shares of the technology company's stock after selling 192 shares during the period. ... Contrasting Cass Information Systems ( ...",www.defenseworld.net,2024-06-30 09:15:58+00:00,2024-06-30 11:02:30
