,Heading,Subheading,Publisher,Published,Found
0,Low Profile Additives Market to surpass USD 1.1 Billion by - GlobeNewswire,"Celanese Corporation, Eastman Chemical Company, Interplastic Corporation, LG Chem Ltd., BASF SE, Dow Chemical Company, Arkema, Evonik Industries ...",www.globenewswire.com,2024-06-18 10:01:40,2024-06-18 15:11:46
1,EV Charging Station Raw Materials Market to Be Worth $8.1 Billion by 2031 - PR Newswire,"... Celanese Corporation (U.S.), and Lanxess AG (Germany). Browse In-depth ... in 2013 as a private limited company under the Companies Act, 1956.",www.prnewswire.com,2024-06-18 09:17:33,2024-06-18 15:11:46
2,"Engineering Plastics Market to Hit US$ 193.24 Billion by 2030, - openPR.com",• Arkema Corporation • BASF SE • Celanese Corporation • Covestro AG • Daicel Corporation • DuPont De Numerous Inc. • Eastman Chemical Company Inc.,www.openpr.com,2024-06-18 08:20:09,2024-06-18 15:11:46
3,EVA Solar Films Market Size Triumph: Propelling Forward with 9.5% CAGR by 2032,"Str Holdings, Inc. Celanese Corporation KENGO Industrial Co., Ltd ... We are in professional corporate relations with various companies and this ...",www.einnews.com,2024-06-18 07:55:37,2024-06-18 15:11:46
4,Celanese Co. (NYSE:CE) Short Interest Down 5.2% in May - Defense World,"Tudor, Pickering, Holt & Co. downgraded shares of Celanese from a “buy” rating to a “sell” rating and set a $140.00 target price for the company. in a ...",www.defenseworld.net,2024-06-18 06:42:53,2024-06-18 15:11:46
5,Bristol-Myers Squibb (NYSE:BMY) Stock Holdings Lifted by MONECO Advisors LLC,"... company in its most recent filing with the SEC. The fund owned 9,709 shares ... Celanese Co. (NYSE:CE) Short Interest Down 5.2% in May- iShares S&P ...",www.defenseworld.net,2024-06-18 06:40:35,2024-06-18 15:11:46
6,"Cellulose Gel Market Future Prospects, Trends, Growth, Key - openPR.com","Key #Companies Analysis- Eastman, Celanese, Daicel, TFT, Solvay ... Global Cellulose Esters market research report provides company profile for Eastman ...",www.openpr.com,2024-06-18 05:45:59,2024-06-18 15:11:46
7,"Aramid Paper Market - Industry Overview, Trend, Type, End-User, Key Players, Regional ...","Key players in aramid paper market are ASF, Clariant, Invista, Mitsubishi Gas, Celanese Corporation, Daicel Chemical, Dow Chemicals, Ineos, ...",www.einnews.com,2024-06-18 05:39:32,2024-06-18 15:11:46
8,Do Stock Splits Matter? - Investing Daily,"Robert was also a butanol engineer in Germany for the Celanese Corporation, where he designed a novel butanol unit that cut production costs by $5 ...",www.investingdaily.com,2024-06-18 05:04:16,2024-06-18 15:11:46
9,Carbon Fiber Prepreg Market size is set to grow by USD 1.34 billion from 2024-2028 ...,"Axiom Materials Inc., Arvind Composites, Celanese Corp., Dexcraft, DowAksa, Formosa M Co. ... 10 Company Landscape 11 Company Analysis 12 Appendix.",www.prnewswire.com,2024-06-18 03:30:18,2024-06-18 15:11:46
10,Celanese Becomes Oversold - Nasdaq,"Celanese Becomes Oversold. June 17, 2024 — 03:58 pm EDT. Written by BNK ... Company Logo. Do Not Sell or Share My Personal Data. When you visit our ...",www.nasdaq.com,2024-06-18 03:07:54,2024-06-18 15:11:46
11,Under Armour rolls out first product made with Neolast spandex-alternative - MSN,Under Armour unveiled Neolast for performance stretch fabrics after collaborating with speciality materials and chemicals company Celanese Corporation ...,www.msn.com,2024-06-17 20:27:06,2024-06-18 15:11:46
12,Celanese (CE) Gains on Cost Actions Amid Demand &amp; Pricing Woes - MSN,"Celanese Corporation CE is benefiting from its cost and productivity measures, investments in organic projects, expansion actions and strategic ...",www.msn.com,2024-06-17 19:31:28,2024-06-18 15:11:46
13,Weekly Upgrades and Downgrades | InvestorPlace,"Downgraded: Buy to Hold ; BKR, Baker Hughes Company Class A, C- C- C ; CE, Celanese Corporation, C- C- C.",investorplace.com,2024-06-17 15:35:02,2024-06-18 15:11:46
14,"Target, FibreTrace and Cargill partner to verify raw cotton | Fashion Dive","Also early this year, Under Armour and chemical and materials company Celanese created a spandex alternative. Dubbed “Neolast,” it performs like ...",www.fashiondive.com,2024-06-17 11:21:38,2024-06-18 15:11:46
15,Chile lithium projects garner interest from over 50 companies - MarketScreener,"CELANESE CORPORATION- Stock Celanese Corporation. -10.45%, 15.22B. POSCO FUTURE M CO., LTD. Stock Posco Future M Co., Ltd. -27.99%, 14.77B. SOCIEDAD ...",www.marketscreener.com,2024-06-18 17:21:35,2024-06-19 13:18:31
16,Detailed Research Examination of the Polyether Ether Ketone Market to Develop New ... - WhaTech,Top Companies Featured in This Report: ☆ Zyex Ltd. ☆ Solvay S.A. ☆ Victrex plc ... Jrlon Inc. ☆ Celanese Corporation ☆ Saudi Basic Industries ...,www.whatech.com,2024-06-18 15:39:07,2024-06-19 13:18:31
17,Liquid Crystal Polymer (LCP) Market to Reach US$ 2.3 Billion by 2033 - WhaTech,Celanese Corporation; Solvay S.A.; SABIC. These companies are investing heavily in research and development to enhance the properties of LCPs and ...,www.whatech.com,2024-06-18 15:39:07,2024-06-19 13:18:31
18,"Cellulose Film Packaging Market Size, Trends and Forecast Report surges to USD 1180.2 ...",Major players like Futamura Group and Celanese Corporation are actively ... Company - Tembec Inc - Celanense Corporation - Weifang Henglian ...,www.einnews.com,2024-06-18 13:02:53,2024-06-19 13:18:31
19,V Square Quantitative Management LLC Cuts Stock Holdings in Celanese Co. (NYSE:CE),Get Celanese alerts: Other institutional investors and hedge funds have also bought and sold shares of the company. UBS Group AG lifted its ...,www.defenseworld.net,2024-06-18 08:15:25,2024-06-19 13:18:31
20,Chile lithium projects garner interest from over 50 companies - MarketScreener,"CELANESE CORPORATION- Stock Celanese Corporation. -10.45%, 15.22B. POSCO FUTURE M CO., LTD. Stock Posco Future M Co., Ltd. -27.99%, 14.77B. SOCIEDAD ...",www.marketscreener.com,2024-06-18 22:21:35+00:00,2024-06-19 17:02:38
21,Detailed Research Examination of the Polyether Ether Ketone Market to Develop New ... - WhaTech,Top Companies Featured in This Report: ☆ Zyex Ltd. ☆ Solvay S.A. ☆ Victrex plc ... Jrlon Inc. ☆ Celanese Corporation ☆ Saudi Basic Industries ...,www.whatech.com,2024-06-18 20:39:07+00:00,2024-06-19 17:02:38
22,Liquid Crystal Polymer (LCP) Market to Reach US$ 2.3 Billion by 2033 - WhaTech,Celanese Corporation; Solvay S.A.; SABIC. These companies are investing heavily in research and development to enhance the properties of LCPs and ...,www.whatech.com,2024-06-18 20:39:07+00:00,2024-06-19 17:02:38
23,"Cellulose Film Packaging Market Size, Trends and Forecast Report surges to USD 1180.2 ...",Major players like Futamura Group and Celanese Corporation are actively ... Company - Tembec Inc - Celanense Corporation - Weifang Henglian ...,www.einnews.com,2024-06-18 18:02:53+00:00,2024-06-19 17:02:38
