,Heading,Subheading,Publisher,Published,Found
0,"DXP Enterprises, Inc. (NASDAQ:DXPE) CMO Paz Maestas Sells 4000 Shares of Stock","The firm has a market cap of $742.66 million, a price-to-earnings ratio of 12.95 and a beta of 1.64. The business has a 50-day moving average price of ...",www.defenseworld.net,2024-06-18 09:25:39,2024-06-18 15:13:08
1,"DXP Enterprises, Inc. (NASDAQ:DXPE) Short Interest Update - Defense World",Insiders own 22.10% of the company's stock. Institutional Investors Weigh In On DXP Enterprises. Large investors have recently added to or reduced ...,www.defenseworld.net,2024-06-18 04:18:16,2024-06-18 15:13:08
2,"CMO &amp; CTO Maestas Paz sold $192,560 worth of DXP Common Stock (4,000 units at ... - Quantisnow","Fastest customizable news feed in the world. Follow your favorite companies, SPACs or topics and get alerted as soon as material information break ...",quantisnow.com,2024-06-18 02:52:22,2024-06-18 15:13:08
3,"Paz Maestas Sells 4,000 Shares of DXP Enterprises, Inc. (NASDAQ:DXPE) Stock","DXP Enterprises, Inc. (NASDAQ:DXPE - Get Free Report) CMO Paz Maestas sold 4000 shares of the firm's stock in a transaction dated Tuesday, ...",www.marketbeat.com,2024-06-17 15:50:17,2024-06-18 15:13:08
4,DXP Enterprises CMO &amp; CTO Paz Maestas sells $192k in company stock - Investing.com,"Following the sale, Maestas continues to hold 621,867 shares of DXP Enterprises stock, indicating a retained stake in the company's future. This move ...",www.investing.com,2024-06-17 15:17:09,2024-06-18 15:13:08
5,"DXP Enterprises, Inc. (NASDAQ:DXPE) CMO Paz Maestas Sells 4000 Shares of Stock","The firm has a market cap of $742.66 million, a price-to-earnings ratio of 12.95 and a beta of 1.64. The business has a 50-day moving average price of ...",www.defenseworld.net,2024-06-18 14:25:39+00:00,2024-06-19 17:04:02
6,"DXP Enterprises, Inc. (NASDAQ:DXPE) Short Interest Update - Defense World",Insiders own 22.10% of the company's stock. Institutional Investors Weigh In On DXP Enterprises. Large investors have recently added to or reduced ...,www.defenseworld.net,2024-06-18 09:18:16+00:00,2024-06-19 17:04:02
7,"CMO &amp; CTO Maestas Paz sold $192,560 worth of DXP Common Stock (4,000 units at ... - Quantisnow","Fastest customizable news feed in the world. Follow your favorite companies, SPACs or topics and get alerted as soon as material information break ...",quantisnow.com,2024-06-18 07:52:22+00:00,2024-06-19 17:04:02
8,"Paz Maestas Sells 4,000 Shares of DXP Enterprises, Inc. (NASDAQ:DXPE) Stock","DXP Enterprises, Inc. (NASDAQ:DXPE - Get Free Report) CMO Paz Maestas sold 4000 shares of the firm's stock in a transaction dated Tuesday, ...",www.marketbeat.com,2024-06-17 20:50:17+00:00,2024-06-19 17:04:02
9,DXP Enterprises CMO &amp; CTO Paz Maestas sells $192k in company stock - Investing.com,"Following the sale, Maestas continues to hold 621,867 shares of DXP Enterprises stock, indicating a retained stake in the company's future. This move ...",www.investing.com,2024-06-17 20:17:09+00:00,2024-06-19 17:04:02
10,"Los Angeles Capital Management LLC Has $2.87 Million Position in DXP Enterprises, Inc ...","DXP Enterprises, Inc, together with its subsidiaries, engages in distributing maintenance, repair, and operating (MRO) products, equipment, and ...",www.defenseworld.net,2024-06-22 21:38:50+00:00,2024-06-23 03:04:03
11,GAMMA Investing LLC Buys 940 Shares of Olin Co. (NYSE:OLN) - Defense World,"Los Angeles Capital Management LLC Has $2.87 Million Position in DXP Enterprises, Inc. (NASDAQ:DXPE)- Los Angeles Capital Management LLC Has $2.74 ...",www.defenseworld.net,2024-06-22 09:37:35+00:00,2024-06-23 03:04:03
12,Global Industrial Distribution Market Investment Opportunities: High-Return Sectors - TIMC,"... DXP Enterprises, Inc., Edgen Murray, Rexel USA, Inc. Global Industrial ... Company for custom research and consulting projects for businesses worldwide.",www.theindianmoviechannel.com,2024-06-23 22:20:36+00:00,2024-06-24 02:04:00
13,Kentico Celebrates 20 Years - Business News This Week,"... company's progressive company culture. However, employees alone could not ... companies across all industries looking for a reliable DXP. Previous.",businessnewsthisweek.com,2024-06-24 19:14:31+00:00,2024-06-25 03:04:02
14,"PNC Financial Services Group Inc. Has $769,000 Holdings in Woodside Energy ... - Defense World","Janiczek Wealth Management LLC now owns 4,858 shares of the company's stock ... Quadrature Capital Ltd Sells 16,636 Shares of DXP Enterprises, Inc.",www.defenseworld.net,2024-06-26 14:52:37+00:00,2024-06-26 19:04:04
15,"Quadrature Capital Ltd Sells 16636 Shares of DXP Enterprises, Inc. (NASDAQ:DXPE)","Fisher Asset Management LLC now owns 40,659 shares of the industrial products company's stock valued at $1,370,000 after buying an additional 3,860 ...",www.defenseworld.net,2024-06-26 08:58:22+00:00,2024-06-26 19:04:04
16,CRISPR Therapeutics AG (CRSP) Surpasses Market Returns: Some Facts Worth Knowing,"Therefore, positive revisions in estimates convey analysts' confidence in the company's business performance and profit potential. ... DXP Enterprises ( ...",finance.yahoo.com,2024-06-27 05:09:39+00:00,2024-06-27 11:04:03
17,DXP Enterprises (DXPE) Outpaces Stock Market Gains: What You Should Know,"Therefore, positive revisions in estimates convey analysts' confidence in the company's business performance and profit potential. Our research ...",finance.yahoo.com,2024-06-27 00:01:23+00:00,2024-06-27 11:04:03
18,Q1 Earnings Roundup: DXP (NASDAQ:DXPE) And The Rest Of The Maintenance and ...,"DXP (NASDAQ:DXPE). Founded as Southern Engine and Pump Company, DXP Enterprises (NASDAQ:DXPE) is an industrial distributor that sells pumps, motors ...",finance.yahoo.com,2024-06-27 23:48:56+00:00,2024-06-28 04:04:06
19,Q1 Earnings Roundup: DXP (NASDAQ:DXPE) And The Rest Of The Maintenance And ...,"DXP's first quarter 2024 sales were $412.6 million. In terms of our business segments for the first quarter of 2024, sales were $288.4 million for ...",www.barchart.com,2024-06-27 11:22:48+00:00,2024-06-28 04:04:06
20,Burt Process acquires fluid systems supplier ProFlow - World Pumps,The ISO 9001 registered company specialises in skid-mounted ... DXP Enterprises acquires Kappe Associates- News- Chemicals & Abrasives ...,www.worldpumps.com,2024-06-27 11:15:21+00:00,2024-06-28 04:04:06
21,Here's Why You Should Avoid Betting on IDEX (IEX) Stock Now - Yahoo Life UK,"The company's stock appears overvalued compared with the industry. On a ... Some better-ranked stocks in the industry are DXP Enterprises, Inc.",uk.style.yahoo.com,2024-07-01 20:25:58+00:00,2024-07-02 04:03:52
22,Technology One Limited (ASX: TNE) - The Bull,"It offers various business software solutions, including business analytics, corporate performance management, DXP local government, enterprise ...",thebull.com.au,2024-07-02 15:50:18+00:00,2024-07-02 19:04:14
23,"Director Hoffman Karen was granted 1,862 units of DXP Common Stock, increasing ... - Quantisnow",Image for DXP Enterprises shares are trading higher after the company reported better-than-. 3/7/24 11:51:20 AM ET. $DXPE.,quantisnow.com,2024-07-03 21:19:42+00:00,2024-07-04 04:04:17
24,DXP Enterprises: Focus On Diversification And Strategic Investments Should Be Key Growth Drivers,Focus on strategic M&As should help the company on end market and customer diversification.,seekingalpha.com,2024-07-04 18:25:12+00:00,2024-07-04 20:04:18
25,Q1 Maintenance And Repair Distributors Earnings Review: First Prize Goes To Transcat ...,"Founded as Southern Engine and Pump Company, DXP Enterprises (NASDAQ:DXPE) is an industrial distributor that sells pumps, motors, metal milling and ...",www.barchart.com,2024-07-04 15:12:25+00:00,2024-07-04 20:04:18
26,Q1 Maintenance and Repair Distributors Earnings Review: First Prize Goes to Transcat ...,"Founded as Southern Engine and Pump Company, DXP Enterprises (NASDAQ ... company, this time in a traditional corporate structure. That is why ...",www.theglobeandmail.com,2024-07-04 15:09:11+00:00,2024-07-04 20:04:18
27,DXP Enterprises (NASDAQ:DXPE) Stock Price Crosses Above 200-Day Moving Average of $43.35,"DXP Enterprises Stock Up 0.0 %. The company has a market capitalization of $715.33 million, a PE ratio of 12.48 and a beta of 1.60. The business's 50 ...",www.defenseworld.net,2024-07-04 13:25:41+00:00,2024-07-04 20:04:18
28,Diana Shipping (NYSE:DSX) Stock Passes Above Two Hundred Day Moving Average of $2.97,"The company has a market capitalization of $331.28 million, a PE ... DXP Enterprises (NASDAQ:DXPE) Stock Price Crosses Above 200-Day Moving ...",www.defenseworld.net,2024-07-04 13:25:32+00:00,2024-07-04 20:04:18
29,"Mirae Asset Global Investments Co. Ltd. Decreases Stock Position in DXP Enterprises, Inc ...","Mirae Asset Global Investments Co. Ltd. lessened its holdings in shares of DXP Enterprises, Inc. (NASDAQ:DXPE - Free Report) by 14.9% during the ...",www.marketbeat.com,2024-07-06 18:32:16+00:00,2024-07-06 20:04:18
30,"Principal Financial Group Inc. Acquires 3540 Shares of DXP Enterprises, Inc. (NASDAQ:DXPE)","Dimensional Fund Advisors LP now owns 1,122,651 shares of the industrial products company's stock valued at $37,834,000 after buying an additional ...",www.defenseworld.net,2024-07-06 11:50:05+00:00,2024-07-06 20:04:18
31,"4,821 Shares in DXP Enterprises, Inc. (NASDAQ:DXPE) Purchased by Maryland State ...","The firm acquired 4,821 shares of the industrial products company's stock, valued at approximately $244,000. Get DXP Enterprises alerts: Several other ...",www.defenseworld.net,2024-07-07 21:50:21+00:00,2024-07-08 05:04:17
32,DXP Enterprises (DXPE) Stock Sinks As Market Gains: What You Should Know,"... business trends. As a result, we can interpret positive estimate revisions as a good sign for the company's business outlook. Research indicates ...",finance.yahoo.com,2024-07-09 23:51:33+00:00,2024-07-10 05:04:19
33,"Is DXP Enterprises, Inc.'s (NASDAQ:DXPE) 17% ROE Strong Compared To Its Industry?","Virtually all companies need money to invest in the business, to grow profits. That cash can come from issuing shares, retained earnings, or debt. In ...",finance.yahoo.com,2024-07-11 17:46:52+00:00,2024-07-12 05:04:17
34,"Durable Goods Wholesalers Market Insights, Industry Outlook, - openPR.com","Grainger Inc., LKQ Corporation, Graybar Electric Company Inc., Anixter ... DXP Enterprises Inc., Huttig Building Products Inc., Brueder ...",www.openpr.com,2024-07-12 18:19:29+00:00,2024-07-12 20:04:21
35,"Allspring Global Investments Holdings LLC Has $44,000 Stock Position in DXP Enterprises ...","Dimensional Fund Advisors LP now owns 1,122,651 shares of the industrial products company's stock worth $37,834,000 after purchasing an additional ...",www.defenseworld.net,2024-07-14 14:22:43+00:00,2024-07-14 18:04:17
36,"LSV Asset Management Increases Position in Oxford Industries, Inc. (NYSE:OXM)","Oxford Industries, Inc, an apparel company, designs, sources, markets ... LSV Asset Management Acquires 20,684 Shares of DXP Enterprises, Inc.",www.defenseworld.net,2024-07-15 11:01:04+00:00,2024-07-15 23:04:17
37,"After Market: Another Record Day; S&amp;P Tops 1,900 for First Time","And DXP Enterprises (DXPE), which does maintenance and repairs for industrial companies, could use some repairs of its own. It slid 39 percent as ...",www.aol.com,2024-07-14 23:35:39+00:00,2024-07-15 23:04:17
38,"Short Interest in DXP Enterprises, Inc. (NASDAQ:DXPE) Expands By 27.6% - Defense World","DXP Enterprises, Inc, together with its subsidiaries, engages in distributing maintenance, repair, and operating (MRO) products, equipment, and ...",www.defenseworld.net,2024-07-17 00:38:03+00:00,2024-07-17 06:04:07
39,DXP Enterprises (NASDAQ:DXPE) Trading Up 8.3% - MarketBeat,Corporate insiders own 22.10% of the company's stock. Hedge Funds Weigh In On DXP Enterprises. A number of institutional investors and hedge funds ...,www.marketbeat.com,2024-07-16 22:31:19+00:00,2024-07-17 06:04:07
40,"BNP Paribas Financial Markets Boosts Stake in DXP Enterprises, Inc. (NASDAQ:DXPE)","The institutional investor owned 35,445 shares of the industrial products company's stock after acquiring an additional 1,553 shares during the ...",www.defenseworld.net,2024-07-16 18:51:14+00:00,2024-07-17 06:04:07
41,Unveiling Three US Growth Companies With High Insider Ownership - Simply Wall St News,"Insiders At DXP Enterprises Sold US$1.2m In Stock, Alluding To Potential Weakness ... Simply Wall Street Pty Ltd (ACN 600 056 611), is a Corporate ...",simplywall.st,2024-07-16 11:18:17+00:00,2024-07-17 06:04:07
42,"Insiders At DXP Enterprises Sold US$1.2m In Stock, Alluding To Potential Weakness",Insiders in DXP Enterprises didn't buy any shares in the last year. You can see the insider transactions (by companies and individuals) over the last ...,simplywall.st,2024-07-16 11:18:16+00:00,2024-07-17 06:04:07
43,Industrial Distribution Market Analysis By Top Keyplayers - - openPR.com,All of the leading companies' and brands' company profiles are included in this market analysis. ... DXP Enterprises Inc. Edgen Murray Rexel USA Inc,www.openpr.com,2024-07-18 21:10:07+00:00,2024-07-19 02:04:05
44,DXP Enterprises (DXPE) Stock Moves -0.88%: What You Should Know - Yahoo Finance,"These latest adjustments often mirror the shifting dynamics of short-term business patterns. As a result, upbeat changes in estimates indicate ...",finance.yahoo.com,2024-07-18 00:18:18+00:00,2024-07-19 02:04:05
45,Envestnet Portfolio Solutions Inc. Reduces Holdings in Regal Rexnord Co. (NYSE:RRX),"Edwards & Company Inc. purchased a new stake in Regal Rexnord in the ... DXP Enterprises, Inc. (NASDAQ:DXPE) Shares Acquired by Quantbot ...",www.defenseworld.net,2024-07-19 12:23:53+00:00,2024-07-19 17:04:08
46,"Texas Permanent School Fund Corp Sells 824 Shares of DXP Enterprises, Inc. (NASDAQ:DXPE)","Allspring Global Investments Holdings LLC now owns 6,380 shares of the industrial products company's stock worth $215,000 after acquiring an ...",www.defenseworld.net,2024-07-20 21:21:18+00:00,2024-07-20 23:04:01
47,"Texas Permanent School Fund Corp Has $499,000 Stock Holdings in Tootsie Roll Industries ...","The institutional investor owned 15,571 shares of the company's ... Texas Permanent School Fund Corp Sells 824 Shares of DXP Enterprises, Inc.",www.defenseworld.net,2024-07-20 21:19:28+00:00,2024-07-20 23:04:01
48,"Allspring Global Investments Holdings LLC Trims Holdings in DXP Enterprises, Inc. (NASDAQ:DXPE)","The firm owned 822 shares of the industrial products company's stock after selling 5,558 shares during the period. Allspring Global Investments ...",www.defenseworld.net,2024-07-23 09:18:05+00:00,2024-07-23 12:04:06
49,SG Americas Securities LLC Cuts Stock Position in Masimo Co. (NASDAQ:MASI),"Needham & Company LLC reiterated a “hold” rating on shares ... Allspring Global Investments Holdings LLC Trims Holdings in DXP Enterprises, Inc.",www.defenseworld.net,2024-07-23 09:18:04+00:00,2024-07-23 12:04:06
50,Why the Market Dipped But DXP Enterprises (DXPE) Gained Today - Yahoo Finance,Investors might also notice recent changes to analyst estimates for DXP Enterprises. Recent revisions tend to reflect the latest near-term business ...,finance.yahoo.com,2024-07-23 23:22:27+00:00,2024-07-24 03:04:20
51,"DXP Enterprises, Inc. (NASDAQ:DXPE) Stake Trimmed by Acadian Asset Management LLC","BNP Paribas Financial Markets now owns 35,445 shares of the industrial products company's stock valued at $1,904,000 after purchasing an additional ...",www.defenseworld.net,2024-07-23 14:42:52+00:00,2024-07-24 03:04:20
52,"Swiss National Bank Lowers Stock Holdings in DXP Enterprises, Inc. (NASDAQ:DXPE)","The institutional investor owned 27,100 shares of the industrial products company's stock after selling 900 shares during the quarter. Swiss National ...",www.defenseworld.net,2024-07-24 11:00:49+00:00,2024-07-24 17:04:19
53,Raiffeisen Repo-Index BASKET Do (RAILD.SW) Latest Stock News &amp; Headlines - Yahoo Finance,The company reported earnings per share of $1.89 versus an estimate of $1.84. ... DXP Enterprises (DXPE) closed the most recent trading day at $52.72 ...,finance.yahoo.com,2024-07-23 23:03:21+00:00,2024-07-24 17:04:19
54,"Sei Investments Co. Sells 5842 Shares of DXP Enterprises, Inc. (NASDAQ:DXPE)",Get DXP Enterprises alerts: A number of other institutional investors and hedge funds have also modified their holdings of the business. Dimensional ...,www.defenseworld.net,2024-07-23 16:33:51+00:00,2024-07-24 17:04:19
55,"9,357 Shares in DXP Enterprises, Inc. (NASDAQ:DXPE) Purchased by State Board of ...","Allspring Global Investments Holdings LLC now owns 6,380 shares of the industrial products company's stock valued at $215,000 after purchasing an ...",www.defenseworld.net,2024-07-29 17:02:44+00:00,2024-07-29 18:04:17
56,DXP Enterprises (DXPE) Stock Declines While Market Improves: Some Information for Investors,"... -term business trends. Hence, positive alterations in estimates signify analyst optimism regarding the company's business and profitability.",finance.yahoo.com,2024-07-30 00:01:53+00:00,2024-07-30 09:04:16
57,DXP Enterprises (DXPE) Stock Declines While Market Improves: Some Information for Investors,"... Company; Nasdaq, Inc.; Forbes Media, LLC; Investor's Business Daily, Inc.; and Morningstar, Inc. Copyright 2024 Zacks Investment Research | 10 S ...",www.zacks.com,2024-07-30 00:13:16+00:00,2024-07-31 00:04:26
