,Heading,Subheading,Publisher,Published,Found
0,GrafTech International Ltd. (NYSE:EAF) Sees Large Growth in Short Interest - MarketBeat,"Charles Schwab Investment Management Inc. now owns 4,425,109 shares of the company's stock worth $16,948,000 after purchasing an additional 591,574 ...",www.marketbeat.com,2024-06-18 02:35:51,2024-06-18 15:15:04
1,Keeping an Eye on GrafTech International Ltd. (EAF) After Insider Trading Activity,GrafTech International Ltd.'s recently made public that its 10% Owner Colonial House Capital Ltd acquired Company's shares for reported $0.57 million ...,knoxdaily.com,2024-06-18 01:51:10,2024-06-18 15:15:04
2,GrafTech International Ltd. (NYSE:EAF) Sees Large Growth in Short Interest - MarketBeat,"Charles Schwab Investment Management Inc. now owns 4,425,109 shares of the company's stock worth $16,948,000 after purchasing an additional 591,574 ...",www.marketbeat.com,2024-06-18 07:35:51+00:00,2024-06-19 17:05:48
3,Keeping an Eye on GrafTech International Ltd. (EAF) After Insider Trading Activity,GrafTech International Ltd.'s recently made public that its 10% Owner Colonial House Capital Ltd acquired Company's shares for reported $0.57 million ...,knoxdaily.com,2024-06-18 06:51:10+00:00,2024-06-19 17:05:48
4,Investigation announced for Investors in GrafTech International Ltd. (NYSE: EAF ... - openPR.com,"... GrafTech's business, operations, reputation, and financial results. Those who purchased shares of GrafTech International Ltd. (NYSE: EAF) have ...",www.openpr.com,2024-06-19 16:52:36+00:00,2024-06-20 05:05:36
5,"Lawsuit filed for Long-Term Investors of Amplitude, Inc. - openPR.com","Investigation announced for Investors in GrafTech International Ltd. (NYSE: EAF) over potential. 06-19-2024 | Business, Economy, Finances, B …",www.openpr.com,2024-06-19 16:52:36+00:00,2024-06-20 05:05:36
6,UPDATE1-GrafTech Q2 profit beats market view by wide margin | Reuters,"Graphite products maker GrafTech International Ltd. &lt;GTI.N&gt; posted a ... Reuters provides business, financial, national and international news to ...",www.reuters.com,2024-06-19 15:28:41+00:00,2024-06-20 05:05:36
7,Lacklustre Performance Is Driving GrafTech International Ltd.'s (NYSE:EAF) 41% Price Drop,"GrafTech International hasn't been tracking well recently as its declining revenue compares poorly to other companies, which have seen some growth in ...",simplywall.st,2024-06-19 12:54:06+00:00,2024-06-20 05:05:36
8,Form N-CSRS FIDELITY CAPITAL TRUST For: Apr 30 - StreetInsider,"GrafTech International Ltd. 4,838,609. 8,322. Regal Rexnord Corp. 339,156 ... International Paper Co. 337,900. 11,806. O-I Glass, Inc. (b). 1,753,084.",www.streetinsider.com,2024-06-22 03:00:46+00:00,2024-06-22 05:05:44
9,Global Synthetic Graphite Market Value Chain Analysis: From Production to Consumption,"BTR New Energy Materials INC., Asbury Carbons, XRD Graphite Manufacturing Co. Ltd., GrafTech International., Qingdao Kropfmuehl Graphite Co. Ltd., ...",www.theindianmoviechannel.com,2024-06-23 04:22:58+00:00,2024-06-24 05:05:45
10,"Graphite Market Outlook, Opportunities And Strategies 2024-2033","""The Business Research Company has recently revised its global ... GrafTech International Ltd., BTR New Material Group Co. Ltd., Shanshan ...",www.openpr.com,2024-06-25 16:49:37+00:00,2024-06-26 05:05:47
11,"Lifshitz Law PLLC Announces Investigations of Palo Alto Networks, Inc. (NASDAQ - ABC27","(NASDAQ: PANW), Lyft, Inc. (NASDAQ: LYFT), Anavex Life Sciences Corporation (NASDAQ: AVXL), and GrafTech International Ltd. (NYSE: EAF). News ...",www.abc27.com,2024-06-25 11:44:49+00:00,2024-06-26 05:05:47
12,Needle Coke Market Scope and Opportunities Analysis 2021 - 2031,"... GrafTech International Ltd., Nippon Carbon Co. Ltd., and SGL Carbon SE ... Transparency Market Research, a global market research company ...",www.openpr.com,2024-06-26 18:26:25+00:00,2024-06-26 21:05:51
13,Its Stock Has Paid Off Big Time For GrafTech International Ltd. - Sete News,"Through their ownership of 0.76335 of EAF's outstanding shares, institutional investors have minority control over the company. An Overview of Recent ...",www.setenews.com,2024-06-27 05:55:00+00:00,2024-06-27 14:05:45
14,Graphite Electrodes Market Industry Report 2032 - WICZ,"GrafTech International; Graphite India Limited (GIL); HEG Limited; Tokai Carbon; SEC Carbon, Ltd; Energoprom Group; Jilin Carbon; Kaifeng Carbon ...",www.wicz.com,2024-06-28 16:23:38+00:00,2024-06-28 21:05:47
15,Quadrature Capital Ltd Makes New $160000 Investment in GrafTech International Ltd. (NYSE:EAF),"The firm purchased 72,948 shares of the company's stock, valued at approximately $160,000. Get GrafTech International alerts: A number of other hedge ...",www.defenseworld.net,2024-06-28 15:22:03+00:00,2024-06-28 21:05:47
