,Heading,Subheading,Publisher,Published,Found
0,B&amp;C Technologies Honors Distributors for 2023 Achievements - American Coin-Op,... company's annual meeting at its headquarters. B&amp;C Technologies Honors ... EVI Industries Acquires Ed Brown Distributors- About- Leadership.,americancoinop.com,2024-06-19 11:05:39+00:00,2024-06-20 03:04:37
1,Park City Group (NASDAQ:PCYG) Shares Pass Above Two Hundred Day Moving Average of $13.97,"Park City Group, Inc, a software-as-a-service provider, designs, develops ... EVI Industries (NYSEAMERICAN:EVI) Stock Price Crosses Above 200 Day ...",www.defenseworld.net,2024-06-21 14:28:19+00:00,2024-06-22 03:04:42
2,Oncolytics Biotech (TSE:ONC) Shares Cross Below 200 Day Moving Average of $1.54,"Oncolytics Biotech Inc, a clinical-stage biopharmaceutical company, focuses ... EVI Industries (NYSEAMERICAN:EVI) Stock Price Crosses Above 200 Day ...",www.defenseworld.net,2024-06-21 14:27:48+00:00,2024-06-22 03:04:42
3,EVI Industries (NYSEAMERICAN:EVI) Stock Price Crosses Above 200 Day Moving Average of $0.00,"EVI Industries, Inc, through its subsidiaries, engages in the distribution, sale, rental, and lease of commercial and industrial laundry and dry- ...",www.marketbeat.com,2024-06-21 07:02:40+00:00,2024-06-22 03:04:42
4,B&amp;C Technologies Honors Top 2023 Distributors | American Laundry News,... company's annual meeting at its headquarters. B&amp;C Technologies Honors ... EVI Industries to Acquire ALCO Washer Center- Alliance Laundry Systems ...,americanlaundrynews.com,2024-06-24 22:58:00+00:00,2024-06-26 03:04:39
5,Automated Laundromat Service Market is expected to grow at a CAGR - openPR.com,EVI Industries Inc. 4. DhobiLite 5. CLEANLY 6. FlyCleaners 7. PML Solutions Pvt. Ltd. 8. Broomfield Launderette Request Sample Copy of this Report ...,www.openpr.com,2024-06-24 21:12:55+00:00,2024-06-26 03:04:39
6,EVI Industries to Acquire Laundry Pro of Florida - American Coin-Op,"company devoted to the North American commercial laundry distribution and services industry,” EVI asserts. “The achievement of our long-term goals ...",americancoinop.com,2024-06-26 11:04:02+00:00,2024-06-26 19:04:43
7,Husain Joins Staff of Setomatic Systems – SpyderWash | American Coin-Op,Husain joined the commercial laundry industry in 2018 as a sales representative for Commercial and Coin Laundry Equipment Co. ... EVI Industries to ...,americancoinop.com,2024-07-01 23:03:55+00:00,2024-07-02 04:04:31
8,ImageFIRST Acquires Imperial Linen Services - American Laundry News,EVI Industries to Acquire ALCO Washer Center- ImageFIRST Gains Capital to Facilitate Growth- Wildman Business Group Acquires WM Uniform- Alliance ...,americanlaundrynews.com,2024-07-01 23:02:10+00:00,2024-07-02 04:04:31
9,"Top Analyst Reports for Microsoft, Oracle &amp; T-Mobile | Nasdaq",Shares of EVI have underperformed the Zacks Industrial Services industry over the past year (-17.5% vs. -10.6%). This microcap company with market ...,www.nasdaq.com,2024-07-02 17:27:08+00:00,2024-07-02 19:04:51
