,Heading,Subheading,Publisher,Published,Found
0,Expeditors International of Washington : FDA Issues Final Rule on Administrative Destruction,"On May 31, 2024, the U.S. Food and Drug Administration published a final rule in the Federal Register establishing a regulation to authorize the ...",www.marketscreener.com,2024-06-18 07:10:10,2024-06-18 15:13:48
1,"Chemical Logistics Market Trends, Top Companies, Share, Growth And Forecast 2033","The Business Research Company has recently revised its global market ... Ltd., Expeditors International of Washington Inc., GEODIS, Hellmann ...",www.openpr.com,2024-06-18 06:26:28,2024-06-18 15:13:48
2,Vanguard Group Inc. Increases Stake in Vanguard Total International Stock ETF (NASDAQ:VXUS),"Vanguard Total International Stock ETF Company Profile. (Free Report). The ... Expeditors International of Washington, Inc. (NASDAQ:EXPD) Shares Sold ...",www.defenseworld.net,2024-06-18 06:00:34,2024-06-18 15:13:48
3,"Director Emmert Mark A sold $1,001,686 worth of shares (8,100 units at $123.67) and gifted ...","Expeditors Reports Fourth Quarter 2021 EPS Of $2.66. Company Continues to Assess Impact of Cyberattack Expeditors International of Washington, Inc.",quantisnow.com,2024-06-18 01:24:14,2024-06-18 15:13:48
4,Renewable Resources Logistics Industry Analysis: Emerging Technologies and Industry Outlook,"Global Renewable Resources Logistics market research report is a comprehensive business ... Expeditors International Of Washington, United Parcel ...",www.theindianmoviechannel.com,2024-06-17 19:47:05,2024-06-18 15:13:48
5,"Expeditors International of Washington, Inc. (NASDAQ:EXPD) Director Mark A. Emmert Sells ...","Expeditors International of Washington, Inc, together with its subsidiaries, provides logistics services worldwide. The company offers airfreight ...",www.marketbeat.com,2024-06-17 19:12:01,2024-06-18 15:13:48
6,"Insider Sale: Director Mark Emmert Sells 8,100 Shares of Expeditors International of Washington ...",Expeditors International of Washington Inc (NYSE:EXPD) is a global logistics company that offers a range of services including air and ocean ...,finance.yahoo.com,2024-06-17 16:06:46,2024-06-18 15:13:48
7,Weekly Upgrades and Downgrades | InvestorPlace,"After taking a close look at the latest data on institutional buying pressure and each company's ... Expeditors International of Washington, Inc. D, C ...",investorplace.com,2024-06-17 15:35:02,2024-06-18 15:13:48
8,Expeditors International director sells shares worth over $1m - Investing.com India,"Emmert, a director at Expeditors International (NYSE: EXPD ) of Washington Inc. (NASDAQ:EXPD), sold 8,100 shares of the company's common stock, ...",in.investing.com,2024-06-17 14:25:15,2024-06-18 15:13:48
9,Expeditors International of Washington : BIS Expands Sanctions for Russia,Expeditors International of Washington Inc. published this content on 18 June 2024 and is solely responsible for the information contained therein.,www.marketscreener.com,2024-06-18 19:13:14,2024-06-19 13:20:43
10,Director James Dubois Sells Shares of Expeditors International o - GuruFocus,"On June 14, 2024, James Dubois, Director at Expeditors International of Washington Inc (EXPD), executed a sale of 3523 shares of the company.",www.gurufocus.com,2024-06-18 17:08:32,2024-06-19 13:20:43
