,Heading,Subheading,Publisher,Published,Found
0,"FedEx to close several SC stores, affecting Myrtle Beach, Florence, West Columbia","The company will shutter stores at 1600 Stockholder Ave. in Myrtle Beach, 709 West Lucas St. in Florence and 150 Queen Parkway in West Columbia ...",www.postandcourier.com,2024-06-18 14:32:51,2024-06-18 15:13:57
1,How Is The Market Feeling About FedEx? By Benzinga - Investing.com UK,FedEx's(NYSE:FDX) short percent of float has fallen 20.21% since its last report. The company recently reported that it has3.38 million shares ...,uk.investing.com,2024-06-18 13:51:01,2024-06-18 15:13:57
2,FedEx Laying Off Dozens In North Carolina - K 104.7,And says FedEx closed its Conover facility due to “business needs”. The company filed the changes on June 12 to the North Carolina Department of ...,k1047.com,2024-06-18 13:38:32,2024-06-18 15:13:57
3,Sportwear brand On taps warehouse drones | Supply Chain Dive,The retailer has partnered with AI and robotics company Verity to improve fulfillment operations and inventory visibility. ... UPS and FedEx battle over ...,www.supplychaindive.com,2024-06-18 13:25:18,2024-06-18 15:13:57
4,"5th Circ. Wrongly Slashed $366M Bias Verdict, Justices Told - Law360",Companies. FedEx Corp. Government Agencies. U.S. Supreme Court. Judge Analytics. powered by Lex Machina ...,www.law360.com,2024-06-18 13:10:18,2024-06-18 15:13:57
5,How Is The Market Feeling About FedEx? - Benzinga,"Short selling is when a trader sells shares of a company they do not own, with the hope that the price will fall. Traders make money from short ...",www.benzinga.com,2024-06-18 12:38:48,2024-06-18 15:13:57
6,"What's open, closed Juneteenth in Anderson, Spartanburg, Greenville?","According to these company websites, banks such as Capital One, Bank of America ... That's not your only option; FedEx will also be open for business.",www.greenvilleonline.com,2024-06-18 11:41:24,2024-06-18 15:13:57
7,FedEx Driver Shares The 5 Things He Hates Delivering - The Daily Dot,... FedEx delivery driver remarks. Chewy offers repeat deliveries. And the company reported that it had 20 million active customers by the end of 2023.,www.dailydot.com,2024-06-18 11:03:32,2024-06-18 15:13:57
8,FedEx (FDX) Reports Next Week: Wall Street Expects Earnings Growth - Yahoo Finance,Estimate revisions ahead of a company's earnings release offer clues to the business conditions for the period whose results are coming out. Our ...,finance.yahoo.com,2024-06-18 10:30:33,2024-06-18 15:13:57
9,"FedEx to Close Conover Facility in Catawba County, Resulting in 69 - Hoodline","The decision to close the location at 1228 Commerce St. comes as a part of wider ""business needs,"" a term outlined by FedEx spokesman David Westrick.",hoodline.com,2024-06-18 09:55:18,2024-06-18 15:13:57
10,Electrification 101: How Fleets and Utilities Can Work Together To Unlock Electrified Transportation,... FedEx. View additional multimedia and more ESG storytelling from FedEx Corporation on 3blmedia.com. Contact Info: Spokesperson: FedEx Corporation,www.accesswire.com,2024-06-18 09:23:59,2024-06-18 15:13:57
11,Fedex Upskilling LGBTQIA+ Workforce In India - The CSR Universe,Express transportation company Federal Express Corporation is upskilling nearly 100 LGBTQIA+ community members by providing vocational training ...,thecsruniverse.com,2024-06-18 09:14:07,2024-06-18 15:13:57
12,"Is There Mail on Juneteenth? Post Office, UPS, FedEx Open Hours - Newsweek","The delivery service company's website says all of its services will remain operational. These include FedEx Express, FedEx Ground, FedEx Home ...",www.newsweek.com,2024-06-18 08:47:08,2024-06-18 15:13:57
13,"After Prevailing in Court, Hello Alice Expands Programs for Small Businesses | Inc.com","The Houston-based company, which provides capital, mentorship, and community to 1.5 million business owners, is partnering with Wells Fargo, FedEx ...",www.inc.com,2024-06-18 08:43:27,2024-06-18 15:13:57
14,Electric SUV maker Fisker files for bankruptcy | Business | abc12.com,"The company had already warned it was in trouble. When it published ... FedEx hikes package rates for 2023. Updated Sep 22, 2022. Price of the ...",www.abc12.com,2024-06-18 08:14:20,2024-06-18 15:13:57
15,Unveiling the Courier Scam: How scammers allegedly dupe Indians from Cambodia,"The cargo company, FedEx has consistently reiterated its standard operating procedures and issued cautionary notices. However, this emerging scam in ...",assamtribune.com,2024-06-18 08:06:02,2024-06-18 15:13:57
16,Gateway - Quartz,FedEx stock jumped after the shipping giant announced a $5 billion share buyback. The company's revenue dipped 2% in its third quarter to $21.7 ...,qz.com,2024-06-18 08:03:01,2024-06-18 15:13:57
17,Chicago Partners Investment Group LLC Acquires 54 Shares of FedEx Co. (NYSE:FDX),Read Chicago Partners Investment Group LLC Acquires 54 Shares of FedEx Co. (NYSE:FDX) at Defense World.,www.defenseworld.net,2024-06-18 07:22:48,2024-06-18 15:13:57
18,Gateway - Quartz,UPS is replacing FedEx as the post office's plane ride of choice. The deal marks a significant shift in FedEx's 23-year relationship with USPS. By.,qz.com,2024-06-18 07:04:41,2024-06-18 15:13:57
19,"Juneteenth 2024: Will banks, stock markets, post offices, stores be open? - Fast Company","This is because these are private companies, so unlike the post office, they are not bound by law to be closed on federal holidays. Most FedEx and UPS ...",www.fastcompany.com,2024-06-19 07:58:25,2024-06-19 13:20:53
20,Business owners on busy Northgate Boulevard can get city cash to give storefronts a face lift,"Bartlett resident Daniel Russell likes to get out in the community and lend a hand, from volunteering through the FedEx Cares program to serving as a ...",www.aol.com,2024-06-19 07:51:03,2024-06-19 13:20:53
21,Is This Amazon's Next $100 Billion Opportunity? - The Motley Fool,"... company's top line. In that context, if Amazon's going to pursue ... To put things in perspective, Amazon already ships more packages than UPS or FedEx.",www.fool.com,2024-06-19 07:17:57,2024-06-19 13:20:53
22,"FedEx to close facility in Conover, affecting dozens of jobs - Charlotte Business Journal",FedEx plans major facility in region- Project next to CLT nears end- Bankrupt freight company offloads facility- Manufacturing giant cutting 224 more ...,www.bizjournals.com,2024-06-19 07:09:58,2024-06-19 13:20:53
23,This Bartlett man is among FedEx's top volunteers — in the world. Here's why he ... - AOL.com,... FedEx team member at the FedEx World Technology Center in Collierville. He is known for his extensive volunteer work through the company's FedEx ...,www.aol.com,2024-06-19 06:14:54,2024-06-19 13:20:53
24,FedEx Police Expand Flock Safety's AI Car Surveillance Network - Forbes,"Forbes has learned the shipping and business services company is using AI tools made by Flock Safety, a $4 billion car surveillance startup, to ...",www.forbes.com,2024-06-19 05:48:37,2024-06-19 13:20:53
25,Pennsylvania residents recall moment FedEx driver collapsed while delivering packages,Varney & Company. 9:00 AM - 9:30 AM. Fox Weather Channel. Fox Weather. Live Stream. Watch. Fox News Radio. FOX News Radio Live Channel Coverage. Live ...,www.foxnews.com,2024-06-19 05:43:33,2024-06-19 13:20:53
26,"FedEx honors Bartlett man for volunteer work, among tops in company - The Commercial Appeal","Bartlett resident Daniel Russell received a FedEx Founders Award, recognizing him as being a top volunteer globally among all FedEx employees.",www.commercialappeal.com,2024-06-19 05:25:52,2024-06-19 13:20:53
27,6642 Shares in FedEx Co. (NYSE:FDX) Bought by HighPoint Advisor Group LLC,Get FedEx alerts: Other institutional investors and hedge funds have also bought and sold shares of the company. Fortis Group Advisors LLC increased ...,www.defenseworld.net,2024-06-19 05:25:29,2024-06-19 13:20:53
28,FedEx Co. (NYSE:FDX) Shares Purchased by Centaurus Financial Inc. - Defense World,"Centaurus Financial Inc. boosted its position in FedEx Co. (NYSE:FDX – Free Report) by 12.4% in the 4th quarter, according to the company in its ...",www.defenseworld.net,2024-06-19 03:43:00,2024-06-19 13:20:53
29,What's closed on Juneteenth 2024? What to know ahead of the holiday - The Today Show,"Fedex will also be open for business. Per Fedex's 2024 holiday schedule, all services will carry on as normal on Juneteenth. Are schools closed on ...",www.today.com,2024-06-19 03:09:47,2024-06-19 13:20:53
30,Top 10: Warehousing Companies - Supply Chain Digital,"Supply Chain Digital takes a look at the top 10 largest warehousing companies, including UPS, FedEx and DHL.",supplychaindigital.com,2024-06-19 03:04:10,2024-06-19 13:20:53
31,PGA Tour FedEx Cup Leaders - Seattle PI,"PGA Tour FedEx Cup Leaders. June 18, 2024. Through June 17. Points, Money. 1 ... Our Company- Careers- Our Use of AI. Services. Archive- Email ...",www.seattlepi.com,2024-06-19 02:24:35,2024-06-19 13:20:53
32,#JUSTIN | FedExகொரியர் மோசடி - பெண் கைது | FEDEX | PTT - YouTube,#PuthiyaThalaimuraiTV- #JUSTIN- http://bit.ly/2vkVhg3- http://bit.ly/2vk69ef- http://puthiyathalaimurai.com/- http://apple.co/1DzjItC- http://bit.ly/ ...,www.youtube.com,2024-06-19 01:57:53,2024-06-19 13:20:53
33,Transcript: The Showrunner &amp; the FedEx - by Rob Long - The Ankler.,"The story I'm about to tell does apply to show business, I promise. I went to a practitioner of naturopathic medicine once. I don't know what ...",theankler.com,2024-06-18 23:24:30,2024-06-19 13:20:53
34,FDX Stock Likely To Trade Higher With FY 2024Q4 Revenues And Earnings Expected To ... - Trefis,"FedEx is primarily involved in delivery of packages worldwide. Its services are used by retail customers and businesses to deliver documents, ...",www.trefis.com,2024-06-18 22:15:03,2024-06-19 13:20:53
35,Waabi raises $200 million to deploy driverless trucks by 2025 | AJOT.COM,"... company said in a statement on Tuesday. Founded in 2021, it's one of a ... FedEx to cut as many as 2,000 Europe jobs to reduce costs. View Article ...",www.ajot.com,2024-06-18 22:11:26,2024-06-19 13:20:53
36,Expansion Begins At One Peru Business While Trucking Company Fills Former FedEx Property,Peru Mayor Ken Kolowski announced this week that the manufacturer of automotive parts had started phase 1 of its expansion.,www.starvedrock.media,2024-06-18 21:20:29,2024-06-19 13:20:53
37,MNCs intensifying investment push for growth - Chinadaily.com.cn,"... FedEx China. As one of the most dynamic and promising bay areas in ... company recently upgraded its gateway facility in Shenzhen, Guangdong province.",www.chinadaily.com.cn,2024-06-18 20:43:34,2024-06-19 13:20:53
38,FedEx closing facility outside Charlotte and laying off dozens of employees - MSN,"FedEx closed its Conover facility due to business needs, according to FedEx spokesman David Westrick. Three affected employees at FedEx's Conover ...",www.msn.com,2024-06-18 20:31:24,2024-06-19 13:20:53
39,Seeking Clues to FedEx (FDX) Q4 Earnings? A Peek Into Wall Street Projections for Key Metrics,"Prior to a company's earnings release, it is of utmost importance to factor in any revisions made to the earnings projections. These revisions serve ...",finance.yahoo.com,2024-06-19 14:48:07+00:00,2024-06-19 17:04:48
40,"Juneteenth 2024: Will banks, stock markets, post offices, stores be open? - Fast Company","This is because these are private companies, so unlike the post office, they are not bound by law to be closed on federal holidays. Most FedEx and UPS ...",www.fastcompany.com,2024-06-19 12:58:25+00:00,2024-06-19 17:04:48
41,Business owners on busy Northgate Boulevard can get city cash to give storefronts a face lift,"Bartlett resident Daniel Russell likes to get out in the community and lend a hand, from volunteering through the FedEx Cares program to serving as a ...",www.aol.com,2024-06-19 12:51:03+00:00,2024-06-19 17:04:48
42,Is This Amazon's Next $100 Billion Opportunity? - Nasdaq,"UPS has a market cap of about $115 billion, while FedEx's is about $61 billion. Amazon's logistics business would arguably be worth even more because ...",www.nasdaq.com,2024-06-19 12:30:13+00:00,2024-06-19 17:04:48
43,Is This Amazon's Next $100 Billion Opportunity? - The Motley Fool,"... company's top line. In that context, if Amazon's going to pursue ... To put things in perspective, Amazon already ships more packages than UPS or FedEx.",www.fool.com,2024-06-19 12:17:57+00:00,2024-06-19 17:04:48
44,"FedEx to close facility in Conover, affecting dozens of jobs - Charlotte Business Journal",FedEx plans major facility in region- Project next to CLT nears end- Bankrupt freight company offloads facility- Manufacturing giant cutting 224 more ...,www.bizjournals.com,2024-06-19 12:09:58+00:00,2024-06-19 17:04:48
45,"CH Robinson – momentum, folks? - The Loadstar","Company Notices- Ecommerce Series- News- People- Recommends- Safety ... FedEx integrated logistics UPS. Most read news. Spot rate rises slow, but ...",theloadstar.com,2024-06-19 12:07:07+00:00,2024-06-19 17:04:48
46,FedEx Celebrates PRIDE by Investing in the Future of LGBTQIA+ Workforce in India,"Mumbai, India, June 19, 2024: Federal Express Corporation, one of the world's largest express transportation companies, is upskilling nearly 100 ...",newsroom.fedex.com,2024-06-19 11:16:34+00:00,2024-06-19 17:04:48
47,"STOCKS NEWS US-FedEx down after results, outlook, weighs on UPS - Reuters","Shares of FedEx Corp fell in premarket trade on Thursday, after the shipping company reported third-quarter earnings that missed expectations and ...",www.reuters.com,2024-06-19 11:16:00+00:00,2024-06-19 17:04:48
48,This Bartlett man is among FedEx's top volunteers — in the world. Here's why he ... - AOL.com,... FedEx team member at the FedEx World Technology Center in Collierville. He is known for his extensive volunteer work through the company's FedEx ...,www.aol.com,2024-06-19 11:14:54+00:00,2024-06-19 17:04:48
49,FedEx Police Expand Flock Safety's AI Car Surveillance Network - Forbes,"Forbes has learned the shipping and business services company is using AI tools made by Flock Safety, a $4 billion car surveillance startup, to ...",www.forbes.com,2024-06-19 10:48:37+00:00,2024-06-19 17:04:48
50,Pennsylvania residents recall moment FedEx driver collapsed while delivering packages,Varney & Company. 9:00 AM - 9:30 AM. Fox Weather Channel. Fox Weather. Live Stream. Watch. Fox News Radio. FOX News Radio Live Channel Coverage. Live ...,www.foxnews.com,2024-06-19 10:43:33+00:00,2024-06-19 17:04:48
51,"FedEx honors Bartlett man for volunteer work, among tops in company - The Commercial Appeal","Bartlett resident Daniel Russell received a FedEx Founders Award, recognizing him as being a top volunteer globally among all FedEx employees.",www.commercialappeal.com,2024-06-19 10:25:52+00:00,2024-06-19 17:04:48
52,6642 Shares in FedEx Co. (NYSE:FDX) Bought by HighPoint Advisor Group LLC,Get FedEx alerts: Other institutional investors and hedge funds have also bought and sold shares of the company. Fortis Group Advisors LLC increased ...,www.defenseworld.net,2024-06-19 10:25:29+00:00,2024-06-19 17:04:48
53,FedEx Co. (NYSE:FDX) Shares Purchased by Centaurus Financial Inc. - Defense World,"Centaurus Financial Inc. boosted its position in FedEx Co. (NYSE:FDX – Free Report) by 12.4% in the 4th quarter, according to the company in its ...",www.defenseworld.net,2024-06-19 08:43:00+00:00,2024-06-19 17:04:48
54,What's closed on Juneteenth 2024? What to know ahead of the holiday - The Today Show,"Fedex will also be open for business. Per Fedex's 2024 holiday schedule, all services will carry on as normal on Juneteenth. Are schools closed on ...",www.today.com,2024-06-19 08:09:47+00:00,2024-06-19 17:04:48
55,Top 10: Warehousing Companies - Supply Chain Digital,"Supply Chain Digital takes a look at the top 10 largest warehousing companies, including UPS, FedEx and DHL.",supplychaindigital.com,2024-06-19 08:04:10+00:00,2024-06-19 17:04:48
56,PGA Tour FedEx Cup Leaders - Seattle PI,"PGA Tour FedEx Cup Leaders. June 18, 2024. Through June 17. Points, Money. 1 ... Our Company- Careers- Our Use of AI. Services. Archive- Email ...",www.seattlepi.com,2024-06-19 07:24:35+00:00,2024-06-19 17:04:48
57,#JUSTIN | FedExகொரியர் மோசடி - பெண் கைது | FEDEX | PTT - YouTube,#PuthiyaThalaimuraiTV- #JUSTIN- http://bit.ly/2vkVhg3- http://bit.ly/2vk69ef- http://puthiyathalaimurai.com/- http://apple.co/1DzjItC- http://bit.ly/ ...,www.youtube.com,2024-06-19 06:57:53+00:00,2024-06-19 17:04:48
58,Transcript: The Showrunner &amp; the FedEx - by Rob Long - The Ankler.,"The story I'm about to tell does apply to show business, I promise. I went to a practitioner of naturopathic medicine once. I don't know what ...",theankler.com,2024-06-19 04:24:30+00:00,2024-06-19 17:04:48
59,Air freight rates show resilience in May amid low season,"FedEx to cut jobs in Europe amid slump in freight demand, Reuters reports ... The company aims to restructure its delivery networks and tighten ...",trans.info,2024-06-19 15:17:17+00:00,2024-06-19 19:14:59
60,"MARKET PULSE-Boeing, Alexion, UPS, JPMorgan, IGO, WebMD, Medicines - Reuters","Shares of rival Fedex, the world's No.2 package delivery company, also ... Baird & Co upgraded its rating on the healthcare IT company's stock to ...",www.reuters.com,2024-06-19 12:31:54+00:00,2024-06-19 19:14:59
61,Transcript: The Showrunner &amp; the FedEx - by Rob Long - The Ankler.,"A good showrunner in today's business needs to be tough and ruthless and on task at all times. Unwavering. Decisive. ""Just wasn't me,"" he said with a ...",theankler.com,2024-06-19 10:23:31+00:00,2024-06-19 19:14:59
62,Red Cross Helping as Massive Wildfires Burn in New Mexico,"... FedEx; Lilly Endowment Inc.; Lowe's Companies, Inc.; McDonald's ... Company Foundation; The Kroger Co. Foundation; Liberty Mutual Insurance ...",www.redcross.org,2024-06-19 18:51:32+00:00,2024-06-19 20:04:41
63,FedEx closing facility outside Charlotte and laying off dozens of employees,"3 and closing the site, according to a June 12 N.C. Department of Commerce filing by the company. FedEx closed its Conover facility due to business ...",www.aol.com,2024-06-19 15:57:14+00:00,2024-06-19 20:04:41
64,Did FedEx Corporation (FDX) Maintain a Strong Financial Position in Q1? - Yahoo Finance,"We recently compiled a list of the 11 Best Freight Stocks To Buy Now. In this article, we are going to take a look at where FedEx Corporation ...",finance.yahoo.com,2024-06-19 20:51:03+00:00,2024-06-19 22:04:46
