,Heading,Subheading,Publisher,Published,Found
0,Gencor Industries (NASDAQ:GENC) Stock Rating Lowered by StockNews.com,"Gencor Industries Company Profile ... Gencor Industries, Inc, together with its subsidiaries, designs, manufactures, and sells heavy machinery used in ...",www.defenseworld.net,2024-06-21 15:17:20+00:00,2024-06-22 03:05:29
1,Evoke Pharma (NASDAQ:EVOK) Now Covered by StockNews.com - Defense World,"Evoke Pharma, Inc, a specialty pharmaceutical company, primarily focuses on ... Gencor Industries (NASDAQ:GENC) Stock Rating Lowered by StockNews.com ...",www.defenseworld.net,2024-06-21 15:09:10+00:00,2024-06-22 03:05:29
2,"Gencor's Levagen+ supports exercise performance, study finds","Published: 27-Jun-2024 Featured companies: Gencor- Ingredients Research ... Gencor, a botanical ingredients provider for the nutraceutical industry ...",nutraceuticalbusinessreview.com,2024-06-27 21:48:31+00:00,2024-06-28 04:05:30
3,New clinical trial finds Gencor's Levagen+ improves body power and strength,"It is manufactured in Current Good Manufacturing Practice facilities and has been clinically shown to support joint health, sleep, recovery, immunity, ...",www.nutritioninsight.com,2024-06-28 15:46:24+00:00,2024-06-28 19:05:35
4,Gencor Industries (NASDAQ:GENC) Upgraded at StockNews.com - Defense World,"Gencor Industries, Inc, together with its subsidiaries, designs, manufactures, and sells heavy machinery used in the production of highway ...",www.defenseworld.net,2024-06-29 05:30:28+00:00,2024-06-29 12:05:28
5,Cemtrex (NASDAQ:CETX) Now Covered by StockNews.com - Defense World,The industrial products company reported ($1.46) EPS for the quarter. ... Gencor Industries (NASDAQ:GENC) Upgraded at StockNews.com- U.S. Global ...,www.defenseworld.net,2024-06-29 17:27:05+00:00,2024-06-30 04:05:25
6,Contractor Choice: Who Makes The Best Asphalt Paver? - For Construction Pros,"Blaw-Knox: 13%. Volvo Ce To Divest Blaw Knox Paver Business To Gencor Industries 5f24151117140 ... industry, the company rapidly expanded their ...",www.forconstructionpros.com,2024-07-10 03:00:07+00:00,2024-07-10 04:05:51
7,Managing menopause: Industry experts highlight alternatives to outdated hormone ...,"... companies are starting to realize the magnitude of the market.” She states that most companies in the industry, especially Gencor, also realize ...",www.nutritioninsight.com,2024-07-10 17:33:14+00:00,2024-07-10 19:05:51
8,3 Microcaps to Benefit from Federal Highway Spending - Yahoo Finance,"Gencor Industries, Inc. GENC manufactures asphalt plant equipment sold into the highway construction industry. The company recently reported a 35% ...",finance.yahoo.com,2024-07-10 17:17:26+00:00,2024-07-10 19:05:51
9,ASML and Malibu Boats have been highlighted as Zacks Bull and Bear of the Day - Nasdaq,"In addition, Zacks Equity Research provides analysis on Gencor Industries, Inc. GENC, The Monarch Cement Co. MCEM and Smith-Midland Corp. SMID. Here ...",www.nasdaq.com,2024-07-12 12:03:06+00:00,2024-07-12 20:05:52
10,Automotive Harness System Market grows over 5% CAGR during 2022 – 2032 - EMSNow,"... Gencor Industries, Inc., LEONI, Furukawa Electric Co., Ltd., Molex, and Continental AG. The business space is witnessing numerous mergers ...",www.emsnow.com,2024-07-15 23:47:59+00:00,2024-07-16 04:05:50
11,StockNews.com Lowers Gencor Industries (NASDAQ:GENC) to Buy - Defense World,"Gencor Industries Company Profile ... Gencor Industries, Inc, together with its subsidiaries, designs, manufactures, and sells heavy machinery used in ...",www.defenseworld.net,2024-07-17 00:35:34+00:00,2024-07-17 13:05:35
12,Gencor Industries reaches all-time high at 22.02 USD - Investing.com,"The company currently holds a market capitalization of 318.66 million USD, with a P/E ratio standing at 18.88, which suggests that it is trading at a ...",www.investing.com,2024-07-23 19:34:33+00:00,2024-07-24 05:05:51
13,"Asphalt Mixing Plants Market Size And Share Report, 2033 - openPR.com","KG, Gencor Industries Inc., Speed Crafts Limited, Speco Limited., Atlas Technologies Pvt. Ltd,Kaushik Engineering Works, Fujian Tietio Machinery Co.",www.openpr.com,2024-07-24 19:33:55+00:00,2024-07-24 21:05:55
14,Mitsubishi UFJ Trust &amp; Banking Corp Decreases Stake in WestRock (NYSE:WRK),"Mitsubishi UFJ Trust & Banking Corp Cuts Position in LKQ Co. (NASDAQ:LKQ)- Orion Portfolio Solutions LLC Lowers Position in Gencor Industries, Inc.",www.defenseworld.net,2024-07-24 16:45:59+00:00,2024-07-24 21:05:55
15,Gencor Industries Joins Rank Of Stocks With 95-Plus Composite Rating,"One weak spot is the company's 73 EPS Rating, which tracks quarterly and annual earnings-per-share growth. Look for that to improve to 80 or better to ...",www.investors.com,2024-07-24 14:38:30+00:00,2024-07-24 21:05:55
16,"Orion Portfolio Solutions LLC Sells 1385 Shares of Vishay Intertechnology, Inc. (NYSE:VSH)","Company insiders own 8.14% of the company's stock. Analyst Ratings ... Orion Portfolio Solutions LLC Lowers Position in Gencor Industries, Inc.",www.defenseworld.net,2024-07-24 21:10:20+00:00,2024-07-26 05:05:51
17,"BNP Paribas Financial Markets Grows Stock Position in Gencor Industries, Inc. (NASDAQ:GENC)","Gencor Industries, Inc, together with its subsidiaries, designs, manufactures, and sells heavy machinery used in the production of highway ...",www.defenseworld.net,2024-07-28 09:24:41+00:00,2024-07-28 21:05:44
18,Asphalt Mixing Plant Market Attractive Growth Proposition Seen - openPR.com,"... Limited (United Kingdom), Gencor Industries, Inc. (United States), Shantui Janeoo Machinery Co., Ltd. (China), Xiamen XDE M&E Equipment Co., Ltd.",www.openpr.com,2024-07-30 17:45:43+00:00,2024-07-30 21:05:45
19,Gencor Industries stock hits all-time high of $24 - Investing.com,"(GENC) has demonstrated a strong financial position, with InvestingPro data indicating a market capitalization of $355.45 million. The company's stock ...",www.investing.com,2024-07-31 17:34:35+00:00,2024-08-01 06:05:38
20,Gencor Industries Gets A Composite Rating Upgrade | Investor's Business Daily,"Gencor Industries (GENC) ... One weak spot is the company's 72 EPS Rating, which tracks quarterly and annual earnings growth. Look for that to improve ...",www.investors.com,2024-07-31 16:10:28+00:00,2024-08-01 06:05:38
21,In the business of improving roads for Staten Islanders: Asphalt company hosts behind-the ...,... construction companies and the Senator's office. City Asphalt opened ... The plant uses Gencor Industries' latest technology to produce up to ...,www.silive.com,2024-08-01 16:33:01+00:00,2024-08-01 21:06:00
