,Heading,Subheading,Publisher,Published,Found
0,Is First Trust Industrials/Producer Durables AlphaDEX ETF a Strong ETF Right Now?,"... Gates Industrial Corporation Plc (NYSE:GTES) and Armstrong World Industries, Inc. (NYSE:AWI). Its top 10 holdings account for approximately 14.36 ...",markets.businessinsider.com,2024-06-18 11:53:45,2024-06-18 15:14:30
1,"Lennar (LEN) Q2 Earnings &amp; Revenues Beat Estimates, Orders Up - Yahoo Finance","On a year-over-year basis, both the top and bottom lines increased, given the company's ... Gates Industrial Corporation plc GTES presently carries a ...",finance.yahoo.com,2024-06-18 11:38:17,2024-06-18 15:14:30
2,Sweden / Vattenfall Announces Plans To Operate Forsmark And Ringhals Nuclear Plants ...,TerraPower / Bill Gates Reactor Company Breaks Ground For Wyoming Nuclear Power Plant ... Companies Announce Formation Of Nuclear Fusion Industrial ...,www.nucnet.org,2024-06-18 11:35:42,2024-06-18 15:14:30
3,Quantinuum's Genon Braiding Technique Adds Another Stitch in Company's Fault-Tolerant ...,"Quantinuum releases a research paper introducing an innovative technique of ""genon braiding"" to execute fault-tolerant gates using efficient codes ...",thequantuminsider.com,2024-06-18 10:57:57,2024-06-18 15:14:30
4,"Installed Building (IBP) Expands Presence With Two Acquisitions - June 18, 2024 - Zacks",Gates Industrial Corporation plc ( GTES Quick Quote GTES - Free Report) presently carries a Zacks Rank #2. GTES has a trailing four-quarter earnings ...,www.zacks.com,2024-06-18 09:04:05,2024-06-18 15:14:30
5,Nairobi: Tears Flow as Man Imprisoned for 12 Years Reunites with Family Outside Prison Gates,"""This was me when my husband was set free in 2021 from Industrial area weeeeeeee God of another chance."" ... company. About Us Our Authors Our Experts ...",www.tuko.co.ke,2024-06-18 08:45:32,2024-06-18 15:14:30
6,Construction company fined £2.3m after worker drowns - HSM,Mr Webster and another worker had been on a boat removing debris at the bottom of the weir gates at Knostrop Weir when their boat capsized. The ...,www.hsmsearch.com,2024-06-18 08:28:30,2024-06-18 15:14:30
7,"Melinda French Gates on Her Divorce, Philanthropy, and More | TIME","“It was a super intense time for us as a foundation,” says Melinda French Gates, sitting in her industrial ... Because French Gates was a co-chair, ...",time.com,2024-06-18 08:04:59,2024-06-18 15:14:30
8,"AI To Enhance, Not Replace, Software Professionals Says Bill Gates To Zerodha Owner ...",Microsoft founder Bill Gates delivered an optimistic message to the tech industry: artificial intelligence (AI) will enhance rather than replace ...,www.goodreturns.in,2024-06-18 07:48:14,2024-06-18 15:14:30
9,Sogefi proposes distribution of extraordinary dividend of EUR0.923 - MarketScreener,Sogefi SpA is an Italy-based company primarily engaged as a global supplier of parts for the automotive industry. ... GATES INDUSTRIAL CORPORATION PLC ...,www.marketscreener.com,2024-06-18 07:36:09,2024-06-18 15:14:30
10,"What Bill Gates, ASX uranium shares and the AI revolution have in common - Motley Fool","... Industrials- Resources- Retail- Tech- Travel. By Topic. 52-Week Highs- 52-Week ... company's first commercial-scale reactor, located in Wyoming. ""I ...",www.fool.com.au,2024-06-18 06:43:58,2024-06-18 15:14:30
11,Bill Gates Says He's Ready to Put Billions Into Nuclear Power - EnergyNow,"Carbon-free nuclear power is increasingly seen as a key part of fighting climate change, and more companies are promoting smaller reactors. Last year, ...",energynow.ca,2024-06-18 04:26:06,2024-06-18 15:14:30
12,Ethris Announces $5 Million in Funding to Prepare Lead Candidate ETH47 for Phase 2 Study,"... Gates Foundation to support the advancement of the company's lead mRNA-based product candidate, ETH47. ... Industrial Average, S&P 500, Nasdaq, and ...",www.morningstar.com,2024-06-18 04:25:48,2024-06-18 15:14:30
13,Gates Industrial names new Chief Accounting Officer - Investing.com,"Gates Industrial operates in various sectors of the industrial and consumer markets, with its products playing a role in a wide range of applications.",www.investing.com,2024-06-17 19:42:34,2024-06-18 15:14:30
14,Could Insurtech Firm Hippo Weather Climate Change and Disrupt the Insurance Industry?,What is the Fourth Industrial Revolution? World Economic Forum•1.5M views ... Bill Gates would start this kind of company today. CNN Business•979K ...,www.youtube.com,2024-06-17 19:22:43,2024-06-18 15:14:30
15,HBK Investments L P Decreases Stake in Gates Industrial Corp PLC (NYSE:GTES),"The company had revenue of $862.60 million during the quarter, compared to the consensus estimate of $866.00 million. Gates Industrial had a return on ...",www.marketbeat.com,2024-06-17 19:13:42,2024-06-18 15:14:30
16,Uranium ETFs: How to Play Bill Gates' Nuclear Energy Bet | etf.com,"Industrial Metals ETFs- Nickel ETFs- Copper ETFs- Wheat ETFs- Platinum ETFs ... While his company is privately held, exchange-traded fund investors ...",etf.com,2024-06-17 16:22:53,2024-06-18 15:14:30
17,Gates Industrial Announces Executive Leadership Transition - TipRanks.com,"John Patouhas has been named the new Senior Vice President and Chief Accounting Officer of Gates Industrial Corporation, starting June 17, 2024.",www.tipranks.com,2024-06-17 16:21:31,2024-06-18 15:14:30
18,MSC INDUSTRIAL SUPPLY CO. TO WEBCAST REVIEW OF FISCAL 2024 THIRD ...,"MELVILLE, N.Y. and DAVIDSON, N.C., June 17, 2024 /PRNewswire/ -- MSC INDUSTRIAL SUPPLY CO. ... Billionaire Investor Bill Gates Has 87% of His $45 ...",finance.yahoo.com,2024-06-17 15:46:34,2024-06-18 15:14:30
19,"Which Is the World's Largest Company? Not Apple Or Microsoft, But AI Giant Who Was At $4 ...",The title of the world's largest company no longer belongs to either Warren Buffett's favourite Apple Inc. or Bill Gates-led Microsoft. Both IT ...,www.goodreturns.in,2024-06-19 02:03:59,2024-06-19 13:21:24
20,Is First Trust Industrials/Producer Durables AlphaDEX ETF (FXR) a Strong ETF Right Now?,"(ALSN) accounts for about 1.54% of the fund's total assets, followed by Gates Industrial Corporation Plc (GTES) and Armstrong World Industries, Inc.",www.nasdaq.com,2024-06-19 01:03:10,2024-06-19 13:21:24
21,"Confluence Investment Management LLC Acquires Shares of 1,603,075 Gates Industrial ...",Gates Industrial Corporation PLC designs and manufactures power transmission equipment. Its products serves harsh and hazardous industries such as ...,www.marketbeat.com,2024-06-18 20:51:33,2024-06-19 13:21:24
22,"Lennar Q2 Earnings &amp; Revenues Beat Estimates, Orders Up | Markets Insider","Gates Industrial Corporation plc (NYSE:GTES) presently carries a Zacks Rank #2. GTES has a trailing four-quarter earnings surprise of 14.9%, on ...",markets.businessinsider.com,2024-06-18 15:46:36,2024-06-19 13:21:24
23,Installed Building (IBP) Expands Presence With Two Acquisitions | Nasdaq,"The company completed the acquisition of Gutter Pro, a gutter installation ... Gates Industrial Corporation plc GTES presently carries a Zacks Rank #2.",www.nasdaq.com,2024-06-18 12:20:53,2024-06-19 13:21:24
24,Garbe Industrial Real Estate leases to contract logistics company TST in Duisburg,The logistics centre is equipped with 20 gates for the loading and unloading of trucks. We are delighted with this seamless follow-up leasing ...,focusonbusiness.eu,2024-06-18 09:36:43,2024-06-19 13:21:24
25,"Which Is the World's Largest Company? Not Apple Or Microsoft, But AI Giant Who Was At $4 ...",The title of the world's largest company no longer belongs to either Warren Buffett's favourite Apple Inc. or Bill Gates-led Microsoft. Both IT ...,www.goodreturns.in,2024-06-19 07:03:59+00:00,2024-06-19 17:05:16
26,Is First Trust Industrials/Producer Durables AlphaDEX ETF (FXR) a Strong ETF Right Now?,"(ALSN) accounts for about 1.54% of the fund's total assets, followed by Gates Industrial Corporation Plc (GTES) and Armstrong World Industries, Inc.",www.nasdaq.com,2024-06-19 06:03:10+00:00,2024-06-19 17:05:16
27,"Confluence Investment Management LLC Acquires Shares of 1,603,075 Gates Industrial ...",Gates Industrial Corporation PLC designs and manufactures power transmission equipment. Its products serves harsh and hazardous industries such as ...,www.marketbeat.com,2024-06-19 01:51:33+00:00,2024-06-19 17:05:16
28,"Lennar Q2 Earnings &amp; Revenues Beat Estimates, Orders Up | Markets Insider","Gates Industrial Corporation plc (NYSE:GTES) presently carries a Zacks Rank #2. GTES has a trailing four-quarter earnings surprise of 14.9%, on ...",markets.businessinsider.com,2024-06-18 20:46:36+00:00,2024-06-19 17:05:16
29,Installed Building (IBP) Expands Presence With Two Acquisitions | Nasdaq,"The company completed the acquisition of Gutter Pro, a gutter installation ... Gates Industrial Corporation plc GTES presently carries a Zacks Rank #2.",www.nasdaq.com,2024-06-18 17:20:53+00:00,2024-06-19 17:05:16
30,Is First Trust Industrials/Producer Durables AlphaDEX ETF a Strong ETF Right Now?,"... Gates Industrial Corporation Plc (NYSE:GTES) and Armstrong World Industries, Inc. (NYSE:AWI). Its top 10 holdings account for approximately 14.36 ...",markets.businessinsider.com,2024-06-18 16:53:45+00:00,2024-06-19 17:05:16
31,"Lennar (LEN) Q2 Earnings &amp; Revenues Beat Estimates, Orders Up - Yahoo Finance","On a year-over-year basis, both the top and bottom lines increased, given the company's ... Gates Industrial Corporation plc GTES presently carries a ...",finance.yahoo.com,2024-06-18 16:38:17+00:00,2024-06-19 17:05:16
32,Sweden / Vattenfall Announces Plans To Operate Forsmark And Ringhals Nuclear Plants ...,TerraPower / Bill Gates Reactor Company Breaks Ground For Wyoming Nuclear Power Plant ... Companies Announce Formation Of Nuclear Fusion Industrial ...,www.nucnet.org,2024-06-18 16:35:42+00:00,2024-06-19 17:05:16
33,Quantinuum's Genon Braiding Technique Adds Another Stitch in Company's Fault-Tolerant ...,"Quantinuum releases a research paper introducing an innovative technique of ""genon braiding"" to execute fault-tolerant gates using efficient codes ...",thequantuminsider.com,2024-06-18 15:57:57+00:00,2024-06-19 17:05:16
34,Garbe Industrial Real Estate leases to contract logistics company TST in Duisburg,The logistics centre is equipped with 20 gates for the loading and unloading of trucks. We are delighted with this seamless follow-up leasing ...,focusonbusiness.eu,2024-06-18 14:36:43+00:00,2024-06-19 17:05:16
35,"Installed Building (IBP) Expands Presence With Two Acquisitions - June 18, 2024 - Zacks",Gates Industrial Corporation plc ( GTES Quick Quote GTES - Free Report) presently carries a Zacks Rank #2. GTES has a trailing four-quarter earnings ...,www.zacks.com,2024-06-18 14:04:05+00:00,2024-06-19 17:05:16
36,Nairobi: Tears Flow as Man Imprisoned for 12 Years Reunites with Family Outside Prison Gates,"""This was me when my husband was set free in 2021 from Industrial area weeeeeeee God of another chance."" ... company. About Us Our Authors Our Experts ...",www.tuko.co.ke,2024-06-18 13:45:32+00:00,2024-06-19 17:05:16
37,Construction company fined £2.3m after worker drowns - HSM,Mr Webster and another worker had been on a boat removing debris at the bottom of the weir gates at Knostrop Weir when their boat capsized. The ...,www.hsmsearch.com,2024-06-18 13:28:30+00:00,2024-06-19 17:05:16
38,"Melinda French Gates on Her Divorce, Philanthropy, and More | TIME","“It was a super intense time for us as a foundation,” says Melinda French Gates, sitting in her industrial ... Because French Gates was a co-chair, ...",time.com,2024-06-18 13:04:59+00:00,2024-06-19 17:05:16
