,Heading,Subheading,Publisher,Published,Found
0,"TFI International Inc. Declares Quarterly Dividend on Common Shares, Payable on July 15, 2024","JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -20.89%, 16.31B. LANDSTAR SYSTEM, INC. Stock Landstar System, Inc. -6.83%, 6.45B. RXO, ...",www.marketscreener.com,2024-06-18 03:19:59,2024-06-18 15:16:39
1,TFI International Declares Quarterly Dividend - MarketScreener,"Sector Freight Trucking ; JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -20.89%, 16.23B ; LANDSTAR SYSTEM, INC. Stock Landstar System, ...",www.marketscreener.com,2024-06-17 15:12:53,2024-06-18 15:16:39
2,Werner® Named a Top 3PL and Cold Storage Provider by Food Logistics - MarketScreener,"Trucking firms tumble after JB Hunt, Knight-Swift signal longer road to recovery ... The Company has two segments: Truckload Transportation Services ...",www.marketscreener.com,2024-06-19 21:06:50+00:00,2024-06-20 05:07:09
3,"Freight Technologies, Inc. Expands Business Relationship with Amazon Mexico","JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -22.21%, 16.03B. SAIA, INC. Stock Saia, Inc. +5.02%, 12.2B. TFI INTERNATIONAL INC.",www.marketscreener.com,2024-06-21 05:58:50+00:00,2024-06-22 05:07:16
4,Felixstowe intermodal services partially blocked by train derailment - The Loadstar,"... Company Notices- Ecommerce Series- News- People- Recommends- Safety ... transport JB Hunt Long Beach rail freight road freight. May 22, 2024• 0 ...",theloadstar.com,2024-06-20 18:29:58+00:00,2024-06-22 05:07:16
5,Werner Named a Top 3PL and Cold Storage Provider by Food Logistics - MarketScreener,"Trucking firms tumble after JB Hunt, Knight-Swift signal longer road to ... JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -22.04% ...",www.marketscreener.com,2024-06-20 15:06:18+00:00,2024-06-22 05:07:16
6,"Golden Triangle Ventures Inc. (GTVH) Completes Acquisition of Time-Tested, Proven ...","... JB Hunt, CH Robinson, Coyote Logistics and Echo Logistics. Cargo ... companies, which will substantially expand the company's growth trajectory.",www.streetinsider.com,2024-06-25 00:05:48+00:00,2024-06-25 05:07:18
7,RXO Shares Jump Premarket on Coyote Logistics Deal - MarketScreener,"RXO, Inc. is a provider of asset-light transportation solutions. The ... JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -20.91%, 16.12B.",www.marketscreener.com,2024-06-24 22:15:09+00:00,2024-06-25 05:07:18
8,UPS announces sale of Coyote Logistics unit to RXO for $1 billion - MarketScreener,"RXO, Inc. is a provider of asset-light transportation solutions. The Company ... JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -21.81 ...",www.marketscreener.com,2024-06-24 06:12:19+00:00,2024-06-25 05:07:18
9,Hauliers pile on the pressure for 44-tonne haulage across Europe - The Loadstar,"... transport JB Hunt Long Beach rail freight road freight. May 22, 2024• 0 ... services, assist with our promotional and marketing efforts, and provide ...",theloadstar.com,2024-06-26 00:54:19+00:00,2024-06-26 05:07:18
10,FedEx (FDX) Q4 Earnings Surpass Estimates - Nasdaq,"Another stock from the broader Zacks Transportation sector, JB Hunt (JBHT) ... Hunt Transport Services, Inc. (JBHT) : Free Stock Analysis Report- To ...",www.nasdaq.com,2024-06-25 22:37:53+00:00,2024-06-26 05:07:18
11,Old Dominion Freight (ODFL) Receives a New Rating from a Top Analyst | Markets Insider,"Chappell covers the Industrials sector, focusing on stocks such as XPO, JB Hunt, and Knight Transportation. ... services, including expedited ...",markets.businessinsider.com,2024-06-25 21:13:10+00:00,2024-06-26 05:07:18
12,Global Long-Distance General Freight Trucking Market 2024 : - openPR.com,"... Business Growth And Major Driving Factors | XPO Inc., YRC Worldwide Inc., FedEx Corporation, JB Hunt Transport Services Inc. - published on openPR.",www.openpr.com,2024-06-25 18:36:03+00:00,2024-06-26 05:07:18
13,Hawkish Comments from Fed Governor Bowman Weigh on Stocks - TradingView,"ODFL and JB Hunt Transport Services JBHT up more than +1%. Whirlpool ... Select market data provided by ICE Data Services © 2024 TradingView, Inc.",www.tradingview.com,2024-06-26 14:15:41+00:00,2024-06-26 15:07:24
14,Hawkish Comments From Fed Governor Bowman Weigh On Stocks - Barchart.com,"Other shippers gained on the news, with United Parcel Service (UPS) up more than +2%, and Old Dominion Freight Line (ODFL) and JB Hunt Transport ...",www.barchart.com,2024-06-26 14:10:01+00:00,2024-06-26 15:07:24
15,Stocks Under Pressure from Higher Bond Yields - TradingView,"ODFL and JB Hunt Transport Services JBHT up more than +1%. Aptiv Plc ... Select market data provided by ICE Data Services © 2024 TradingView, Inc.",www.tradingview.com,2024-06-26 15:56:35+00:00,2024-06-26 17:07:20
16,Stocks Under Pressure From Higher Bond Yields - Barchart.com,... JB Hunt Transport Services (JBHT) up more than +1%. Aptiv Plc (APTV) is down more than -9% to lead losers in the S&P 500 after Piper Sandler ...,www.barchart.com,2024-06-26 15:33:03+00:00,2024-06-26 17:07:20
17,Old Dominion Freight Line to Webcast Second Quarter 2024 Conference Call - MarketScreener,"Old Dominion Freight Line, Inc. specialises in truck transportation services. ... JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -20.79 ...",www.marketscreener.com,2024-06-26 15:20:45+00:00,2024-06-26 17:07:20
18,Hawkish Comments from Fed Governor Bowman Weigh on Stocks - The Globe and Mail,... JB Hunt Transport Services (JBHT) up more than +1%. Whirlpool (WHR) is ... Business services. Advertise with Us- Group Subscriptions- Globe ...,www.theglobeandmail.com,2024-06-26 14:47:17+00:00,2024-06-26 21:07:24
19,Stocks Post Modest Gains on Strength in FedEx and Amazon - TradingView,"ODFL and JB Hunt Transport Services JBHT closing up +1%. Amazon.com ... Select market data provided by ICE Data Services © 2024 TradingView, Inc.",www.tradingview.com,2024-06-26 20:52:22+00:00,2024-06-26 23:07:22
20,Werner® Wins 2024 Top Supply Chain Projects Award for AI-Powered Dynamic Pricing Engine,"JB HUNT TRANSPORT SERVICES- Stock JB Hunt Transport Services. -21.01%, 16.13B. SAIA, INC. Stock Saia, Inc. +7.51%, 12.38B. TFI INTERNATIONAL INC.",www.marketscreener.com,2024-06-26 14:42:15+00:00,2024-06-27 01:07:31
21,Stocks Post Modest Gains On Strength In FedEx And Amazon - Barchart.com,... JB Hunt Transport Services (JBHT) closing up +1%. Amazon.com (AMZN) ... company. Apple (AAPL) closed up more than +1% after Rosenblatt ...,www.barchart.com,2024-06-27 03:19:01+00:00,2024-06-27 08:07:23
22,Stocks Post Modest Gains on Strength in FedEx and Amazon - The Globe and Mail,... JB Hunt Transport Services (JBHT) closing up +1%. Amazon.com (AMZN) closed up more than +3% to lead gainers in the Dow Jones Industrials after ...,www.theglobeandmail.com,2024-06-27 06:52:18+00:00,2024-06-27 16:07:17
