,Heading,Subheading,Publisher,Published,Found
0,JetBlue announces new daily flights between Boston and Presque Isle,"Whether for business or leisure, travelers can also take advantage of same-terminal connections to and from many of the 75 destinations JetBlue serves ...",www.traveldailynews.com,2024-06-18 12:27:41,2024-06-18 15:16:44
1,Avoid Flight Delays! The 5 Most Reliable Airlines In The U.S. Right Now - Travel Off Path,1. Delta Air Lines- 2. Alaska Airlines- 3. JetBlue- 4. United Airlines- 5. Spirit Airlines.,www.traveloffpath.com,2024-06-18 12:26:52,2024-06-18 15:16:44
2,Emirates Airlines fined by US FAA for airspace violations - Times Aerospace,Emirates and JetBlue ended their code-sharing partnership in October 2022. Business and finance- Middle East and North Africa. Stay up to date.,www.timesaerospace.aero,2024-06-18 12:19:53,2024-06-18 15:16:44
3,"JetBlue Enhances Blue Basic Fare with Free Carry-On Bag, Effective September 2024","In addition to the new carry-on bag policy, all JetBlue fares, including Blue Basic, offer the airline's renowned customer-focused experience. This ...",www.travelandtourworld.com,2024-06-18 12:07:57,2024-06-18 15:16:44
4,JetBlue Adds Free Carry-On Bags To Blue Basic Fares - One Mile at a Time,"In particular, we've just seen two of the country's biggest ultra low cost carriers overhaul their business models: Frontier Airlines has introduced ...",onemileatatime.com,2024-06-18 11:31:48,2024-06-18 15:16:44
5,JetBlue announced its new flight NYC-Tulum - The Yucatan Times,"Tulum service will operate daily, making this JetBlue's third destination in Mexico, where it also serves Cancun and Los Cabos. “As the only airline ...",www.theyucatantimes.com,2024-06-18 11:25:58,2024-06-18 15:16:44
6,"JetBlue basic economy tickets to allow carry-on bags, will remain 'final group to board'","FORT LAUDERDALE, FLORIDA - MAY 16: A JetBlue Airlines plane takes off from the Fort Lauderdale-Hollywood International Airport on May 16, ...",www.msn.com,2024-06-18 11:09:35,2024-06-18 15:16:44
7,JetBlue Gives Blue Basic a Boost with Complimentary Carry-On Bag Starting September 6,"In case of overhead bin space constraints, bags may need to be checked at the gate at no extra charge. Stock JBLU logo. JetBlue Airways Corporation ...",www.stocktitan.net,2024-06-18 10:40:27,2024-06-18 15:16:44
8,U.S. Fines Emirates $1.8M For Iraq Overflight | Aviation Week Network,Emirates has agreed to pay a settlement for operating JetBlue codeshare flights through Iraqi airspace at a flight level that was not approved by ...,aviationweek.com,2024-06-18 10:39:27,2024-06-18 15:16:44
9,British Airways and JetBlue Secure US Approval for Codeshare Partnership | ittn.ie,"This agreement enables the airlines to offer tickets on select flights operated by each other. A JetBlue spokesperson said: “With the new codeshare, ...",ittn.ie,2024-06-18 10:28:15,2024-06-18 15:16:44
10,JetBlue Gives Blue Basic a Boost with Complimentary Carry-On Bag Starting September 6,JetBlue Airways Corporation provides air transportation services across ... CHINA SOUTHERN AIRLINES COMPANY LIMITED- Stock China Southern Airlines ...,www.marketscreener.com,2024-06-18 10:06:38,2024-06-18 15:16:44
11,JetBlue walks back most restrictive part of basic economy policy - The Points Guy,"Basic economy tickets cannot be changed, and cancellations are allowed for a $100 fee per person for all flights except transatlantic flights, which ...",thepointsguy.com,2024-06-18 10:05:24,2024-06-18 15:16:44
12,JetBlue Gives Blue Basic a Boost with Complimentary Carry-On Bag Starting September 6,JetBlue Corporate Communications Tel: +1.718.709.3089 corpcomm@jetblue.com. JetBlue. NASDAQ:JBLU. More News RSS feed for JetBlue Airways Corporation.,www.businesswire.com,2024-06-18 10:02:06,2024-06-18 15:16:44
13,"Free drink on board, priority boarding: JetBlue overhauls loyalty program adding new benefits","Customers will earn one Tile for every $100 spent with the airline (whether on airfare, fees or even vacation packages), including on flights operated ...",ca.style.yahoo.com,2024-06-18 07:42:45,2024-06-18 15:16:44
14,JetBlue Airways Co. (NASDAQ:JBLU) Short Interest Update - MarketBeat,"JetBlue Airways Corporation provides air transportation services. The company operates a fleet of Airbus A321, Airbus A220, Airbus A321neo, Airbus ...",www.marketbeat.com,2024-06-18 05:32:47,2024-06-18 15:16:44
15,Airlines Gain Efficiencies through eProcurement Platform - Aviation Pros,"... co-founder at SkySelect. A lot of JetBlue Airways sourcing was able to be automated. Nicole Mena, a buyer for JetBlue, said she could process ...",www.aviationpros.com,2024-06-18 05:16:01,2024-06-18 15:16:44
16,Gateway - Quartz,... JetBlue Airways merger that was halted by the Justice Department before eventually being abandoned. He told listeners on the company's earnings ...,qz.com,2024-06-18 04:51:53,2024-06-18 15:16:44
17,FAA moves to toughen safety rules on public charter airlines | AJOT.COM,"“If a company is effectively operating as a scheduled airline, the FAA needs ... and JetBlue Airways Corp. among its investors. The move announced ...",www.ajot.com,2024-06-18 04:29:45,2024-06-18 15:16:44
18,JetBlue to stop charging economy passengers for carry-ons - Milwaukee Business Journal,"Related Articles- Push to oust Southwest Airlines CEO has Milwaukee ally- Airlines adding flights, seat capacity at Mitchell for RNC- Packers Travel ...",www.bizjournals.com,2024-06-18 20:48:50,2024-06-19 13:23:40
19,Penny Burtt becomes President of Boeing's Southeast Asia Business - AviTrader,"Between December 2021 and August 2022, Emirates operated numerous flights with the JetBlue Airways code... Read More »- Diehl Aviation and Skyways ...",avitrader.com,2024-06-18 20:43:29,2024-06-19 13:23:40
20,JetBlue Confirms High Demand for Jamaica Tourism - South Florida Caribbean News,"Minister of Tourism, Hon Edmund Bartlett (L) with Dave Jehn, Vice President Network Planning and Airline Partnerships, JetBlue.",sflcn.com,2024-06-18 20:13:06,2024-06-19 13:23:40
21,JetBlue Says Jamaica-US Flights in High Demand - eTurboNews,"Minister of Tourism, Hon Edmund Bartlett (L), with Dave Jehn, Vice President Network Planning and Airline Partnerships, JetBlue, following the ...",eturbonews.com,2024-06-18 19:32:35,2024-06-19 13:23:40
22,JetBlue's cheapest fares are getting a new freebie,People flying the cheapest fares JetBlue Airways has to offer will soon be able to bring a free carry-on bag with them when they fly.,qz.com,2024-06-18 19:18:46,2024-06-19 13:23:40
23,JetBlue Announces Its Basic Economy Passengers Will Now Get a Free Carry-On,"JetBlue has become the latest major U.S. airline to announce that its ... The company just announced that starting Sept. 4, all Blue Basic fares ...",www.mensjournal.com,2024-06-18 19:18:11,2024-06-19 13:23:40
24,Christmas in Latin America aboard Spirit? Or a trip to Long Island on JetBlue? Airlines are ...,"Discount carriers Spirit Airlines and JetBlue Airways, which are still revamping their business plans after their failed bid to become one airline ...",www.sun-sentinel.com,2024-06-18 16:00:33,2024-06-19 13:23:40
25,Boeing's CEO is appearing before a Senate panel as a new whistleblower emerges - Newsday,... Aviation Administration informed the company a year ago that it would inspect the plant. ... JetBlue flight to Florida from MacArthur now- 0:21.,www.newsday.com,2024-06-18 15:38:26,2024-06-19 13:23:40
26,Pilots Fear Collisions as Staffing Crisis Leaves Australian Control Towers Empty - Bloomberg,Bloomberg the Company & Its ProductsThe Company & its ProductsBloomberg ... JetBlue Airways Corp. flight and a Southwest Airlines Co. plane. In ...,www.bloomberg.com,2024-06-18 15:11:17,2024-06-19 13:23:40
27,Thrifty Traveler Is Having a 50% Off Membership Sale — Here's the Promo Code,"Each deal alert includes instructions on how to book along with links to book directly with an airline, the company told T+L. ... JetBlue's Latest Sale ...",www.travelandleisure.com,2024-06-18 14:52:11,2024-06-19 13:23:40
28,JetBlue to Give Blue Basic Farers Free Carry-On Bags - Airways Magazine,... PopularSubscriptions. Company. AboutContactPositions. Copyright © 2024. Airways Publishing. LLC. All rights reserved. Terms of ServicePrivacy Policy.,www.airwaysmag.com,2024-06-18 11:27:14,2024-06-19 13:23:40
29,JetBlue to stop charging economy passengers for carry-ons - Milwaukee Business Journal,"Related Articles- Push to oust Southwest Airlines CEO has Milwaukee ally- Airlines adding flights, seat capacity at Mitchell for RNC- Packers Travel ...",www.bizjournals.com,2024-06-19 01:48:50+00:00,2024-06-19 17:07:28
30,Penny Burtt becomes President of Boeing's Southeast Asia Business - AviTrader,"Between December 2021 and August 2022, Emirates operated numerous flights with the JetBlue Airways code... Read More »- Diehl Aviation and Skyways ...",avitrader.com,2024-06-19 01:43:29+00:00,2024-06-19 17:07:28
31,JetBlue Confirms High Demand for Jamaica Tourism - South Florida Caribbean News,"Minister of Tourism, Hon Edmund Bartlett (L) with Dave Jehn, Vice President Network Planning and Airline Partnerships, JetBlue.",sflcn.com,2024-06-19 01:13:06+00:00,2024-06-19 17:07:28
32,JetBlue Says Jamaica-US Flights in High Demand - eTurboNews,"Minister of Tourism, Hon Edmund Bartlett (L), with Dave Jehn, Vice President Network Planning and Airline Partnerships, JetBlue, following the ...",eturbonews.com,2024-06-19 00:32:35+00:00,2024-06-19 17:07:28
33,JetBlue's cheapest fares are getting a new freebie,People flying the cheapest fares JetBlue Airways has to offer will soon be able to bring a free carry-on bag with them when they fly.,qz.com,2024-06-19 00:18:46+00:00,2024-06-19 17:07:28
34,JetBlue Announces Its Basic Economy Passengers Will Now Get a Free Carry-On,"JetBlue has become the latest major U.S. airline to announce that its ... The company just announced that starting Sept. 4, all Blue Basic fares ...",www.mensjournal.com,2024-06-19 00:18:11+00:00,2024-06-19 17:07:28
35,Christmas in Latin America aboard Spirit? Or a trip to Long Island on JetBlue? Airlines are ...,"Discount carriers Spirit Airlines and JetBlue Airways, which are still revamping their business plans after their failed bid to become one airline ...",www.sun-sentinel.com,2024-06-18 21:00:33+00:00,2024-06-19 17:07:28
36,Boeing's CEO is appearing before a Senate panel as a new whistleblower emerges - Newsday,... Aviation Administration informed the company a year ago that it would inspect the plant. ... JetBlue flight to Florida from MacArthur now- 0:21.,www.newsday.com,2024-06-18 20:38:26+00:00,2024-06-19 17:07:28
37,Pilots Fear Collisions as Staffing Crisis Leaves Australian Control Towers Empty - Bloomberg,Bloomberg the Company & Its ProductsThe Company & its ProductsBloomberg ... JetBlue Airways Corp. flight and a Southwest Airlines Co. plane. In ...,www.bloomberg.com,2024-06-18 20:11:17+00:00,2024-06-19 17:07:28
38,Thrifty Traveler Is Having a 50% Off Membership Sale — Here's the Promo Code,"Each deal alert includes instructions on how to book along with links to book directly with an airline, the company told T+L. ... JetBlue's Latest Sale ...",www.travelandleisure.com,2024-06-18 19:52:11+00:00,2024-06-19 17:07:28
39,JetBlue announces new daily flights between Boston and Presque Isle,"Whether for business or leisure, travelers can also take advantage of same-terminal connections to and from many of the 75 destinations JetBlue serves ...",www.traveldailynews.com,2024-06-18 17:27:41+00:00,2024-06-19 17:07:28
40,Avoid Flight Delays! The 5 Most Reliable Airlines In The U.S. Right Now - Travel Off Path,1. Delta Air Lines- 2. Alaska Airlines- 3. JetBlue- 4. United Airlines- 5. Spirit Airlines.,www.traveloffpath.com,2024-06-18 17:26:52+00:00,2024-06-19 17:07:28
41,Emirates Airlines fined by US FAA for airspace violations - Times Aerospace,Emirates and JetBlue ended their code-sharing partnership in October 2022. Business and finance- Middle East and North Africa. Stay up to date.,www.timesaerospace.aero,2024-06-18 17:19:53+00:00,2024-06-19 17:07:28
42,"JetBlue Enhances Blue Basic Fare with Free Carry-On Bag, Effective September 2024","In addition to the new carry-on bag policy, all JetBlue fares, including Blue Basic, offer the airline's renowned customer-focused experience. This ...",www.travelandtourworld.com,2024-06-18 17:07:57+00:00,2024-06-19 17:07:28
43,JetBlue Adds Free Carry-On Bags To Blue Basic Fares - One Mile at a Time,"In particular, we've just seen two of the country's biggest ultra low cost carriers overhaul their business models: Frontier Airlines has introduced ...",onemileatatime.com,2024-06-18 16:31:48+00:00,2024-06-19 17:07:28
44,JetBlue to Give Blue Basic Farers Free Carry-On Bags - Airways Magazine,... PopularSubscriptions. Company. AboutContactPositions. Copyright © 2024. Airways Publishing. LLC. All rights reserved. Terms of ServicePrivacy Policy.,www.airwaysmag.com,2024-06-18 16:27:14+00:00,2024-06-19 17:07:28
45,JetBlue announced its new flight NYC-Tulum - The Yucatan Times,"Tulum service will operate daily, making this JetBlue's third destination in Mexico, where it also serves Cancun and Los Cabos. “As the only airline ...",www.theyucatantimes.com,2024-06-18 16:25:58+00:00,2024-06-19 17:07:28
46,"JetBlue basic economy tickets to allow carry-on bags, will remain 'final group to board'","FORT LAUDERDALE, FLORIDA - MAY 16: A JetBlue Airlines plane takes off from the Fort Lauderdale-Hollywood International Airport on May 16, ...",www.msn.com,2024-06-18 16:09:35+00:00,2024-06-19 17:07:28
47,JetBlue Gives Blue Basic a Boost with Complimentary Carry-On Bag Starting September 6,"In case of overhead bin space constraints, bags may need to be checked at the gate at no extra charge. Stock JBLU logo. JetBlue Airways Corporation ...",www.stocktitan.net,2024-06-18 15:40:27+00:00,2024-06-19 17:07:28
48,Major change to JetBlue carry-on bag policy: 'I haven't flown with them for that reason',Fliers with Blue Basic fare tickets are the final group to board a JetBlue flight ... America's largest private bus company covering 500 cities across ...,www.dailymail.co.uk,2024-06-20 00:31:39+00:00,2024-06-20 03:07:23
49,JetBlue confirms US demand for Jamaica remains high,"In a meeting Tuesday, led by Tourism Minister Edmund Bartlett and his senior tourism executives, the airlines' executives confirmed that Jamaica was ...",www.jamaicaobserver.com,2024-06-19 23:53:11+00:00,2024-06-20 03:07:23
50,JetBlue confirms US demand for Jamaica remains high,"In a meeting on Monday, led by Minister of Tourism Edmund Bartlett and his senior tourism executives, the airlines' executives confirmed that Jamaica ...",jamaica.loopnews.com,2024-06-19 22:25:26+00:00,2024-06-20 03:07:23
51,Citizens chooses higher rate hikes for South Florida than its own numbers indicate,"For a change, South Florida policyholders could have enjoyed a much lower rate increase than the 14% approved by the company's ... JetBlue Airways are ...",www.sun-sentinel.com,2024-06-19 22:23:53+00:00,2024-06-20 03:07:23
52,"American, Southwest beat forecasts, JetBlue disappoints - Yahoo News UK",The company said during a conference call that it was taking actions to improve revenue that include better matching plane size to flight demand ...,uk.news.yahoo.com,2024-06-19 21:55:08+00:00,2024-06-20 03:07:23
53,US approves British Airways-JetBlue codeshare agreement - Travel Weekly,British Airways and JetBlue have received US approval to enter into a bilateral codeshare partnership. ... Jacobs Media Group Limited is a company ...,travelweekly.co.uk,2024-06-19 21:17:03+00:00,2024-06-20 03:07:23
54,"Tesla Sues Battery-Maker and Former Supplier Matthews, Accusing It of Stealing Trade Secrets","American Airlines Shopping for New Dreamliner and 777 Business-Class Seats, Files Court Action Against Current Supplier- Fareportal Sues JetBlue ...",www.frequentbusinesstraveler.com,2024-06-19 20:50:40+00:00,2024-06-20 03:07:23
