,Heading,Subheading,Publisher,Published,Found
0,TFI International Declares Quarterly Dividend - MarketScreener,"is a transportation and logistics company, operating ... MARTEN TRANSPORT, LTD. Stock Marten Transport, Ltd. -16.49%, 1.41B. ALPS LOGISTICS CO., LTD.",www.marketscreener.com,2024-06-17 15:12:53,2024-06-18 15:17:53
1,TFI International Declares Quarterly Dividend - MarketScreener,"is a transportation and logistics company, operating ... MARTEN TRANSPORT, LTD. Stock Marten Transport, Ltd. -16.49%, 1.41B. ALPS LOGISTICS CO., LTD.",www.marketscreener.com,2024-06-17 20:12:53+00:00,2024-06-19 17:08:31
2,"Confluence Investment Management LLC Acquires New Stake in Marten Transport, Ltd ...","Russell Investments Group Ltd. now owns 33,130 shares of the transportation company's stock valued at $695,000 after acquiring an additional 3,365 ...",www.marketbeat.com,2024-06-18 22:40:08+00:00,2024-06-21 10:08:26
3,"Marten Transport, Ltd. (MRTN) Just Reclaimed the 50-Day Moving Average","Plus, the company is currently a Zacks Rank #2 (Buy) stock. ADVERTISEMENT. Advertisement. Once investors consider MRTN's positive earnings estimate ...",uk.news.yahoo.com,2024-06-23 23:01:32+00:00,2024-06-24 11:08:13
4,RXO rips huge gain after landing Coyote Logistics; UPS also heads higher | Seeking Alpha,"Oppenheimer expects the proceeds to go toward the company's interest in growing its healthcare logistics business. ... Marten Transport, Ltd. ULH, -, -.",seekingalpha.com,2024-06-24 15:20:40+00:00,2024-06-26 11:08:23
5,"Marten Transport, Ltd. (NASDAQ:MRTN) Shares Sold by Wellington Management Group LLP","Dimensional Fund Advisors LP now owns 5,839,975 shares of the transportation company's stock worth $122,524,000 after buying an additional 27,091 ...",www.defenseworld.net,2024-06-27 13:26:33+00:00,2024-06-27 19:08:16
6,Critical Contrast: Sigma Designs (OTCMKTS:SIGM) &amp; Micron Technology (NASDAQ:MU),"Marten Transport, Ltd. Shares Sold by Wellington Management Group LLP.",www.defenseworld.net,2024-06-27 13:15:52+00:00,2024-06-27 19:08:16
7,Shareholders Of Marten Transport (NASDAQ:MRTN) Must Be Happy With Their 133% Total Return,"But on a lighter note, a good company can see its share price rise well over 100%. For example, the Marten Transport, Ltd. (NASDAQ:MRTN) share ...",nz.news.yahoo.com,2024-06-27 10:26:45+00:00,2024-06-27 19:08:16
8,"J.B. Hunt Transport Services, Inc. Announces Second Quarter 2024 Earnings Release Date ...","Hunt Transport Services Inc. is a Fortune 500 company, an S&P 500 ... MARTEN TRANSPORT, LTD. Stock Marten Transport, Ltd. -12.06%, 1.5B. NIKKON ...",www.marketscreener.com,2024-07-01 13:15:02+00:00,2024-07-01 19:09:47
9,ATA National Accounting and Finance Council announce new leadership - TheTrucker.com,"Hunt Transport, she held positions with a regional trucking company and a national accounting firm. ... Marten Transport looking for CDL Drivers in ...",www.thetrucker.com,2024-07-04 08:56:33+00:00,2024-07-04 12:09:12
10,"PNC Financial Services Group Inc. Sells 837 Shares of Marten Transport, Ltd. (NASDAQ:MRTN)","International Assets Investment Management LLC now owns 2,706 shares of the transportation company's stock valued at $57,000 after purchasing an ...",www.defenseworld.net,2024-07-07 14:35:01+00:00,2024-07-07 20:08:48
11,"Vanguard Group Inc. Grows Holdings in Marten Transport, Ltd. (NASDAQ:MRTN)","The institutional investor owned 4,338,538 shares of the transportation company's stock after acquiring an additional 132,407 shares during the period ...",www.defenseworld.net,2024-07-08 08:31:19+00:00,2024-07-08 14:08:53
12,Marten Transport falls after downgrade from Vertical Research | Seeking Alpha,"Cool Company: Keep Your Wallet Warm With A 14% Yield. Ronald Ferrie ... Marten Transport, Ltd. Post. 17.70, 0.00%. ULH, 39.01, -0.94%. Universal ...",seekingalpha.com,2024-07-09 19:00:31+00:00,2024-07-09 20:09:10
13,US Trucking Market is Estimated to Reach USD 28142 Million by 2032 - The NRI News,"... business opportunities within ... Marten Transport Ltd, Knight Transportation Inc, Landstar System Inc, Covenant Transportation Grp, Usa Truck Inc.",www.thenrinews.com,2024-07-09 16:43:06+00:00,2024-07-09 20:09:10
14,Marten Transport (NASDAQ:MRTN) Shares Gap Down to $17.70 - MarketBeat,"During the same quarter last year, the company posted $0.28 earnings per share. Sell-side analysts forecast that Marten Transport, Ltd. will post 0.66 ...",www.marketbeat.com,2024-07-09 15:14:46+00:00,2024-07-09 20:09:10
15,Marten Transport (NASDAQ:MRTN) Downgraded by Vertical Research - Defense World,"Marten Transport, Ltd. operates as a temperature-sensitive truckload carrier for shippers in the United State, Mexico, and Canada. The company ...",www.defenseworld.net,2024-07-09 14:57:18+00:00,2024-07-09 20:09:10
16,"Vertical Research Partners downgrades Marten Transport stock, cites truckload market","... Marten Transport Ltd. (NASDAQ:MRTN). The company's market capitalization stands at $1.44 billion, with a Price/Earnings (P/E) ratio of 25.04. This ...",www.investing.com,2024-07-09 14:54:08+00:00,2024-07-09 20:09:10
17,"Marten Transport, Ltd.: Analyzing MRTN Stock Trends - Invest Chronicle","Making Sense of Trading Volume and Moving Average Data. Based on Barchart.com data, the company's moving average over the 100-day period was 17.93, ...",investchronicle.com,2024-07-10 22:11:49+00:00,2024-07-11 05:08:58
18,Marten Transport (NASDAQ:MRTN) Shares Gap Down to $17.70 - Defense World,"The business's revenue for the quarter was down 16.2% on a year-over-year basis. Research analysts anticipate that Marten Transport, Ltd. will post ...",www.defenseworld.net,2024-07-11 17:54:53+00:00,2024-07-11 21:09:01
19,"U.S. Boston Beer Company, Inter Parfums, Netflix - XM",* Boston Beer Company Inc SAM.N: Piper Sandler cuts PT to $344 from $350 ... * Marten Transport Ltd MRTN.O: Raymond James cuts target price to ...,www.xm.com,2024-07-12 19:57:54+00:00,2024-07-13 06:08:56
20,Be Wary Of Marten Transport (NASDAQ:MRTN) And Its Returns On Capital - Simply Wall St,"Ultimately, this demonstrates that it's a business that is reinvesting profits at increasing rates of return. Although, when we looked at Marten ...",simplywall.st,2024-07-12 19:35:17+00:00,2024-07-13 06:08:56
21,"TimesSquare Capital Management LLC Sells 523,510 Shares of Marten Transport, Ltd ...","International Assets Investment Management LLC now owns 2,706 shares of the transportation company's stock worth $57,000 after buying an additional ...",www.marketbeat.com,2024-07-14 15:45:58+00:00,2024-07-15 06:08:46
22,Marten Transport: On A Road To Recovery Navigating A Freight Recession - Seeking Alpha,Marten Transport is a transportation and logistics company specializing in long-haul trucking and refrigerated transport services.,seekingalpha.com,2024-07-15 20:46:59+00:00,2024-07-15 22:08:59
23,Marten Transport: Signs Of Improvement Justify A Neutral Stance As Earnings Near,"15, 2024 6:13 AM ETMarten Transport, Ltd. (MRTN) StockULH, HTLD, CVLG ... In the table below, I compared Marten Transport to five other companies in ...",seekingalpha.com,2024-07-15 20:42:40+00:00,2024-07-15 22:08:59
24,"North American Morning Briefing: Retail Sales, -2- | Morningstar","Marten Transport Ltd (MRTN) is expected to report $0.11 for 2Q. ... Copyright (c) 2024 Dow Jones & Company, Inc. Evaluate the market like an ...",www.morningstar.com,2024-07-16 10:26:56+00:00,2024-07-16 15:08:42
25,"J. B. Hunt Transport Services, Inc. Announces Quarterly Dividend - MarketScreener","Hunt Transport Services Inc. is a Fortune 500 company, an S&P 500 ... MARTEN TRANSPORT, LTD. Stock Marten Transport, Ltd. -13.11%, 1.49B.",www.marketscreener.com,2024-07-17 17:35:44+00:00,2024-07-17 22:09:06
26,"Illinois Municipal Retirement Fund Boosts Stock Position in Kennedy-Wilson Holdings, Inc ...","Illinois Municipal Retirement Fund Acquires 665 Shares of Marten Transport, Ltd. (NASDAQ:MRTN)- American Water Works Company, Inc. (NYSE:AWK) ...",www.defenseworld.net,2024-07-17 16:15:04+00:00,2024-07-17 22:09:06
27,"Illinois Municipal Retirement Fund Acquires 665 Shares of Marten Transport, Ltd. (NASDAQ:MRTN)","International Assets Investment Management LLC now owns 2,706 shares of the transportation company's stock valued at $57,000 after buying an ...",www.defenseworld.net,2024-07-17 13:07:26+00:00,2024-07-17 22:09:06
28,Dana Inc. names new commercial vehicle business unit president - TheTrucker.com,"Marten Transport looking for CDL Drivers in Mobile, AL - Expect the Best! ... Business page provides valuable insights on every aspect of the trucking ...",www.thetrucker.com,2024-07-17 05:35:57+00:00,2024-07-17 22:09:06
29,JB Hunt's profit falls 24% on continued industry headwinds - MarketScreener,"MARTEN TRANSPORT, LTD. Stock Marten Transport, Ltd. -12.49%, 1.46B. NIKKON HOLDINGS CO.,LTD. Stock NIKKON Holdings Co.,Ltd. +19.06%, 1.46B. ALPS ...",www.marketscreener.com,2024-07-16 21:49:40+00:00,2024-07-17 22:09:06
30,Stef: sales up 7.7% in Q2 - MarketScreener,"MARTEN TRANSPORT, LTD. Stock Marten Transport, Ltd. -13.30%, 1.49B. NIKKON HOLDINGS CO.,LTD. Stock NIKKON Holdings Co.,Ltd. +21.27%, 1.49B. ALPS ...",www.marketscreener.com,2024-07-19 04:29:52+00:00,2024-07-19 06:08:38
