,Heading,Subheading,Publisher,Published,Found
0,DIARY-NON S&amp;P WEEK AHEAD - Reuters,"... Performant Financial 06 May AMC Q1 2015 PennyMac Financial Services 06 ... Reuters provides business, financial, national and international news ...",www.reuters.com,2024-06-21 16:13:22+00:00,2024-06-22 01:10:25
1,"MARKET PULSE-Celsion, RIM, Qualcomm, Constellation Brands - Reuters","** PERFORMANT FINANCIAL CORP, up 10 pct (1034 ET). The company priced its upsized secondary offering of 8 million shares , by selling stockholders ...",www.reuters.com,2024-06-21 03:26:26+00:00,2024-06-22 01:10:25
2,"Century Therapeutics shareholders elect directors, ratify accountant By Investing.com","In other recent news, Performant Financial Corporation reported robust growth in its Q1 2024 earnings, with a significant increase in year-over-year ...",www.investing.com,2024-06-24 22:20:25+00:00,2024-06-25 01:10:11
3,ClearOne risks Nasdaq delisting over share price By Investing.com,"Livermore, CA-based Performant Financial Corp (NASDAQ:PFMT), a provider of miscellaneous business services, disclosed the results of its Annual ...",www.investing.com,2024-06-24 21:56:16+00:00,2024-06-25 01:10:11
4,Madalena Energy (CVE:MVN) Stock Price Passes Below 200-Day Moving Average of $0.08,... companies with MarketBeat.com's FREE daily email newsletter. « PREVIOUS HEADLINE. Performant Financial (NASDAQ:PFMT) Stock Price Crosses Below 200 ...,www.defenseworld.net,2024-06-25 19:41:23+00:00,2024-06-26 01:10:12
5,Performant Financial (NASDAQ:PFMT) Stock Price Crosses Below 200-Day Moving Average of $2.88,"Performant Financial Stock Down 1.1 %. The firm has a market cap of $210.84 million, a price-to-earnings ratio of -30.44 and a beta of ...",www.defenseworld.net,2024-06-25 19:41:15+00:00,2024-06-26 01:10:12
6,Wellington Management Group LLP Has $3.27 Million Stake in Performant Financial Co ...,Read Wellington Management Group LLP Has $3.27 Million Stake in Performant Financial Co. (NASDAQ:PFMT) at Defense World.,www.defenseworld.net,2024-07-01 16:48:10+00:00,2024-07-02 02:10:20
7,Mirador Capital Partners LP Buys 76933 Shares of Performant Financial Co. (NASDAQ:PFMT),Read Mirador Capital Partners LP Buys 76933 Shares of Performant Financial Co. (NASDAQ:PFMT) at Defense World.,www.defenseworld.net,2024-07-01 14:10:49+00:00,2024-07-02 02:10:20
8,"Software Engineering Lead, Assistant Vice President | Quincy, MA, USA - eFinancialCareers",... performant web based applications and REST service end-points on cloud infrastructure. ... financial services company. Join us if you want to grow your ...,www.efinancialcareers.com,2024-07-04 14:41:09+00:00,2024-07-04 18:10:55
9,Top Three Dividend Stocks For July 2024 - Simply Wall St News,Stock Analysis. Performant Financial (NASDAQ:PFMT) Is Carrying A Fair Bit Of Debt ... Please read our Financial Services Guide before deciding whether ...,simplywall.st,2024-07-04 11:09:14+00:00,2024-07-04 18:10:55
