,Heading,Subheading,Publisher,Published,Found
0,"Power plant profile: Dehesa Nueva del Rey Solar PV Park, Spain","The company serves consumers in the transportation, automotive, aerospace, energy, housing and manufacturing industries. It has operations in Asia ...",www.power-technology.com,2024-06-18 13:03:31,2024-06-18 15:19:38
1,Saltend Chemicals Park to get sustainable aviation fuel demonstrator plant - Business Live,"Px Group is backed by Ara Partners, a private equity company specialising in decarbonisation investments. OXCCU is backed by investors including IP ...",www.business-live.co.uk,2024-06-18 12:27:05,2024-06-18 15:19:38
2,IMTS 2024 Conference: Breaking Free of the Additive Manufacturing Echo Chamber,... company with a focus on magnesium alloy stent tubing. ... Latest from Aerospace Manufacturing and Design. Innovation Isles Aerospace Park: 'Georgia ...,www.aerospacemanufacturinganddesign.com,2024-06-18 11:30:52,2024-06-18 15:19:38
3,Amendment: SEC Form 6-K/A filed by Orix Corp - Quantisnow,"... Park Aerospace Holdings Limited, a Cayman Islands exempted ... aircraft leasing company, announces a commitment to order 40 Boeing 737 MAX aircraft.",quantisnow.com,2024-06-18 11:11:35,2024-06-18 15:19:38
4,"Automotive and aerospace supplier takes 30,000 sq ft warehouse | TheBusinessDesk.com","On behalf of long-term clients, FHP property consultants has announced the lease agreement for a warehouse space at Sherwood Park.",www.thebusinessdesk.com,2024-06-18 10:59:21,2024-06-18 15:19:38
5,ESR India bets $33 mn to expand Chennai industrial park - VCCircle,"The industrial park counts electromechanical firm CUBIC and specialty labelling company CCL Industries among its tenants. ... aerospace, and defence.",www.vccircle.com,2024-06-18 08:45:46,2024-06-18 15:19:38
6,ESR acquires 27 acres in Chennai to expand industrial park - Projects Today,"The company will invest over Rs 276 crore for construction and development, including land cost, of the additional space. This latest expansion ...",www.projectstoday.com,2024-06-18 04:11:38,2024-06-18 15:19:38
7,"GE Aerospace's Larry Culp declines Boeing's request to take over as CEO, WSJ reports",Chief Executive Officer Larry Culp mingles with shareholders at the company's ... All residents of the mobile home park... The ...,www.msn.com,2024-06-18 01:55:55,2024-06-18 15:19:38
8,Joseph Armand Colford Jr Obituary - Ventura County Star,... Aircraft Company where he retired from in 1993. He married Judy Rickard ... Joe and Judy participated in the birth of Oak Park Unified School District.,www.vcstar.com,2024-06-18 00:35:29,2024-06-18 15:19:38
9,Boeing CEO admits company has been 'far from perfect' after a flood of safety lapses,Plane crashes in West Acres Trailer Park. The Federal Aviation Administration (FAA) told Fox News Digital that a twin-engine Cessna 421 crashed into ...,www.aol.com,2024-06-17 23:05:59,2024-06-18 15:19:38
10,"Power plant profile: Dehesa Nueva del Rey Solar PV Park, Spain","The company serves consumers in the transportation, automotive, aerospace, energy, housing and manufacturing industries. It has operations in Asia ...",www.power-technology.com,2024-06-18 18:03:31+00:00,2024-06-19 17:10:07
11,Saltend Chemicals Park to get sustainable aviation fuel demonstrator plant - Business Live,"Px Group is backed by Ara Partners, a private equity company specialising in decarbonisation investments. OXCCU is backed by investors including IP ...",www.business-live.co.uk,2024-06-18 17:27:05+00:00,2024-06-19 17:10:07
12,IMTS 2024 Conference: Breaking Free of the Additive Manufacturing Echo Chamber,... company with a focus on magnesium alloy stent tubing. ... Latest from Aerospace Manufacturing and Design. Innovation Isles Aerospace Park: 'Georgia ...,www.aerospacemanufacturinganddesign.com,2024-06-18 16:30:52+00:00,2024-06-19 17:10:07
13,Amendment: SEC Form 6-K/A filed by Orix Corp - Quantisnow,"... Park Aerospace Holdings Limited, a Cayman Islands exempted ... aircraft leasing company, announces a commitment to order 40 Boeing 737 MAX aircraft.",quantisnow.com,2024-06-18 16:11:35+00:00,2024-06-19 17:10:07
14,"Automotive and aerospace supplier takes 30,000 sq ft warehouse | TheBusinessDesk.com","On behalf of long-term clients, FHP property consultants has announced the lease agreement for a warehouse space at Sherwood Park.",www.thebusinessdesk.com,2024-06-18 15:59:21+00:00,2024-06-19 17:10:07
15,ESR India bets $33 mn to expand Chennai industrial park - VCCircle,"The industrial park counts electromechanical firm CUBIC and specialty labelling company CCL Industries among its tenants. ... aerospace, and defence.",www.vccircle.com,2024-06-18 13:45:46+00:00,2024-06-19 17:10:07
16,ESR acquires 27 acres in Chennai to expand industrial park - Projects Today,"The company will invest over Rs 276 crore for construction and development, including land cost, of the additional space. This latest expansion ...",www.projectstoday.com,2024-06-18 09:11:38+00:00,2024-06-19 17:10:07
17,"GE Aerospace's Larry Culp declines Boeing's request to take over as CEO, WSJ reports",Chief Executive Officer Larry Culp mingles with shareholders at the company's ... All residents of the mobile home park... The ...,www.msn.com,2024-06-18 06:55:55+00:00,2024-06-19 17:10:07
18,Joseph Armand Colford Jr Obituary - Ventura County Star,... Aircraft Company where he retired from in 1993. He married Judy Rickard ... Joe and Judy participated in the birth of Oak Park Unified School District.,www.vcstar.com,2024-06-18 05:35:29+00:00,2024-06-19 17:10:07
19,Boeing CEO admits company has been 'far from perfect' after a flood of safety lapses,Plane crashes in West Acres Trailer Park. The Federal Aviation Administration (FAA) told Fox News Digital that a twin-engine Cessna 421 crashed into ...,www.aol.com,2024-06-18 04:05:59+00:00,2024-06-19 17:10:07
20,Isar Aerospace Extends Series C Funding Round to €220M - European Spaceflight,... park near Munich. The company has stated that the new facility will be “the world's most modern production facility for orbital launch vehicles.,europeanspaceflight.com,2024-06-20 12:32:51+00:00,2024-06-20 14:09:58
21,Rob Smith takes up new role at Velocity Composites - Lancashire Telegraph,"A Burnley-based aerospace supplier has announced a new chief financial officer. Velocity Composites, based at AMS Technology Park in Billington Road, ...",www.lancashiretelegraph.co.uk,2024-06-20 07:42:28+00:00,2024-06-20 14:09:58
22,radar warning receiver antennas electronic warfare (EW) - Military Aerospace,"On this contract Randtron Antenna will do the work in Menlo Park, Calif., and should be finished by March 2027. ... Company Logo. Privacy Preference ...",www.militaryaerospace.com,2024-06-20 05:38:40+00:00,2024-06-20 14:09:58
23,Nathan Diller Joins Divergent Technologies as Company's First Chief Strategy Officer for ...,"... Park- FOX21 News: Breckenridge ... Nathan will scale Divergent's aerospace and defense business, as well as lead the company's government affairs.",www.fox21news.com,2024-06-20 02:31:42+00:00,2024-06-20 14:09:58
24,SAF facility to be built at Saltend - ADS Advance,"The company is headquartered in the UK, with operations at Begbroke Science Park, Oxford and London Oxford Airport. The px Group is backed by Ara ...",www.adsadvance.co.uk,2024-06-19 23:00:52+00:00,2024-06-20 14:09:58
