,Heading,Subheading,Publisher,Published,Found
0,Park-Ohio Holdings Corp. (NASDAQ:PKOH) is largely controlled by institutional ...,Park-Ohio Holdings is not owned by hedge funds. The company's CEO Matthew Crawford is the largest shareholder with 23% of shares outstanding.,finance.yahoo.com,2024-06-21 14:54:16+00:00,2024-06-23 06:10:08
1,"Los Angeles Capital Management LLC Sells 4,660 Shares of Park-Ohio Holdings Corp ...","Covestor Ltd now owns 2,817 shares of the industrial products company's stock worth $56,000 after buying an additional 2,772 shares during the last ...",www.defenseworld.net,2024-06-24 05:50:38+00:00,2024-06-25 06:09:53
2,Park-Ohio Holdings Corp. (NASDAQ:PKOH) Shares Sold by Quadrature Capital Ltd,"The institutional investor owned 22,632 shares of the industrial products company's stock after selling 8,451 shares during the period. Quadrature ...",www.defenseworld.net,2024-06-23 09:42:55+00:00,2024-06-25 06:09:53
3,Recent Analyst Ratings for Park-Ohio Holdings Corp. - Quantisnow,"Insider transactions reveal critical sentiment about the company from key stakeholders.- CEO, COB, President Crawford Matthew V was granted 90,000 ...",quantisnow.com,2024-06-27 15:49:01+00:00,2024-06-27 20:10:07
4,"CEO, COB, President Crawford Matthew V covered exercise/tax liability with 13,199 shares ...","Park-Ohio Holdings Corp (NASDAQ:PKOH) announced today that S&P Global (""S&P"") has upgraded the ratings of Park-Ohio Industries, Inc. (""ParkOhio ...",quantisnow.com,2024-06-28 15:26:52+00:00,2024-06-28 22:10:13
5,Park-Ohio (NASDAQ:PKOH) Shares Cross Above 200 Day Moving Average of $25.47,"The company has a current ratio of 2.25, a quick ratio of 1.16 and ... Park-Ohio Holdings Corp. provides supply chain management outsourcing ...",www.defenseworld.net,2024-07-02 12:26:32+00:00,2024-07-02 17:10:04
6,Analysts' Opinions Are Mixed on These Industrial Goods Stocks: Greenbrier (GBX) and ...,"The company's shares closed last Monday at $44.14. According to TipRanks ... Holdings, and Park-Ohio Holdings. The the analyst consensus on ...",markets.businessinsider.com,2024-07-09 14:10:29+00:00,2024-07-10 02:10:45
7,Form N-CSRS ADVISORS' INNER CIRCLE For: Apr 30 - StreetInsider,"Within Industrials, holdings in the Trading Companies & Distributors industry also detracted. ... Park-Ohio Holdings. 16,500, 421. Primoris Services.",www.streetinsider.com,2024-07-09 07:34:33+00:00,2024-07-10 02:10:45
8,Park-Ohio Holdings Corp. (NASDAQ:PKOH) Shares Sold by LSV Asset Management,"The business had revenue of $417.60 million for the quarter, compared to the consensus estimate of $439.00 million. Park-Ohio had a net margin of 0.70 ...",www.defenseworld.net,2024-07-14 11:07:16+00:00,2024-07-14 15:10:48
9,"LSV Asset Management Has $3.10 Million Position in REV Group, Inc. (NYSE:REVG)",... company in its most recent 13F filing with the Securities and Exchange Commission. ... You might be interested in: Park-Ohio Holdings Corp.,www.defenseworld.net,2024-07-14 11:03:12+00:00,2024-07-14 15:10:48
10,The Unappreciated Awesomeness at Park-Ohio Holdings - AOL.com,"It takes money to make money. Most investors know that, but with business media so focused on the ""how much,"" very few investors bother to ask, ...",www.aol.com,2024-07-15 01:46:54+00:00,2024-07-15 22:10:38
11,Genesco Inc. (NYSE:GCO) Shares Sold by LSV Asset Management - Defense World,... company in its most recent disclosure with the Securities and Exchange Commission. ... You might be interested in: Park-Ohio Holdings Corp.,www.defenseworld.net,2024-07-14 20:42:50+00:00,2024-07-15 22:10:38
12,"With A Return On Equity Of 12%, Has Park-Ohio Holdings Corp.'s (NASDAQ:PKOH ...",Many investors are still learning about the various metrics that can be useful when analysing a stock. This article is for those who would like to ...,simplywall.st,2024-07-17 14:45:31+00:00,2024-07-17 23:10:14
13,ParkOhio Announces Quarterly Dividend - Business Wire,The Board of Directors of Park-Ohio Holdings Corp. (NASDAQ: PKOH) has declared a quarterly cash dividend of $0.125 per share on the common stock ...,www.businesswire.com,2024-07-19 21:45:54+00:00,2024-07-19 23:10:13
14,ParkOhio Announces Quarterly Dividend - Yahoo Finance,"CLEVELAND, OHIO, July 19, 2024--(BUSINESS WIRE)--The Board of Directors of Park-Ohio Holdings Corp. (NASDAQ: PKOH) has declared a quarterly cash ...",finance.yahoo.com,2024-07-19 15:46:02+00:00,2024-07-19 23:10:13
15,ParkOhio Announces Quarterly Dividend | PKOH Stock News,"ParkOhio is a diversified international company ... CLEVELAND, OHIO --(BUSINESS WIRE)-- The Board of Directors of Park-Ohio Holdings Corp.",www.stocktitan.net,2024-07-19 15:40:04+00:00,2024-07-19 23:10:13
16,Global Gasoline Direct Injection System Market Size To - GlobeNewswire,"... Co., Ltd., Mitsubishi Electric Corporation, Hitachi, Ltd., Denso Corporation, Park-Ohio Holdings Corporation, Stanadyne LLC, and other key companies.",www.globenewswire.com,2024-07-19 12:00:12+00:00,2024-07-19 23:10:13
17,"Park-Ohio Holdings Corp. Announces Quarterly Cash Dividend, Payable on August 16, 2024","The Board of Directors of Park-Ohio Holdings Corp. has declared a quarterly cash dividend of $0.125 per share on the common stock outstanding, ...",www.marketscreener.com,2024-07-20 11:33:19+00:00,2024-07-20 16:10:09
18,Empowered Funds LLC Boosts Stock Position in Park-Ohio Holdings Corp. (NASDAQ:PKOH),"BNP Paribas Financial Markets now owns 10,831 shares of the industrial products company's stock worth $289,000 after buying an additional 2,036 shares ...",www.defenseworld.net,2024-07-22 09:48:00+00:00,2024-07-22 16:10:16
19,"Empowered Funds LLC Acquires 606 Shares of Zillow Group, Inc. (NASDAQ:Z)","Empowered Funds LLC Acquires Shares of 9,760 Avantor, Inc. Empowered Funds LLC Boosts Stock Position in Park-Ohio ...",www.defenseworld.net,2024-07-22 09:45:57+00:00,2024-07-22 16:10:16
20,"Jiayin Group, Physicians Realty Trust, Another 2 Companies Have A High Estimated Dividend Yield","PE Ratio. Park-Ohio Holdings Corp. has a trailing twelve months price to earnings ratio of 7.88. Meaning, the purchaser of the share is investing ...",via.news,2024-07-24 14:28:58+00:00,2024-07-24 16:10:58
21,Analysts Have Conflicting Sentiments on These Industrial Goods Companies: Graco (GGG ...,"Barger covers the Industrial Goods sector, focusing on stocks such as Lincoln Electric Holdings, Park-Ohio Holdings, and Trinity Industries.",markets.businessinsider.com,2024-07-25 14:48:05+00:00,2024-07-25 23:10:51
22,El Pollo Loco (LOCO) to Release Quarterly Earnings on Thursday - Defense World,Investors that wish to listen to the company's earnings conference call can do so using this link. ... Park-Ohio Holdings Corp. (NASDAQ:PKOH) Shares ...,www.defenseworld.net,2024-07-25 08:56:18+00:00,2024-07-25 23:10:51
23,Park-Ohio Holdings Corp. (NASDAQ:PKOH) Shares Purchased by BNP Paribas Financial Markets,Get Park-Ohio alerts: Several other institutional investors and hedge funds have also recently modified their holdings of the company. Tower Research ...,www.defenseworld.net,2024-07-25 08:56:12+00:00,2024-07-25 23:10:51
24,Four Days Left Until Park-Ohio Holdings Corp. (NASDAQ:PKOH) Trades Ex-Dividend,"The company's next dividend payment will be US$0.125 per share. Last year, in total, the company distributed US$0.50 to shareholders. Based on the ...",finance.yahoo.com,2024-07-28 12:59:32+00:00,2024-07-28 15:10:40
