,Heading,Subheading,Publisher,Published,Found
0,Preformed Line Products (NASDAQ:PLPC) Sees Large Volume Increase - MarketBeat,"Preformed Line Products Company, together with its subsidiaries, designs and manufactures products and systems that are used in the construction and ...",www.marketbeat.com,2024-06-17 11:57:56,2024-06-18 15:20:09
1,"Indexes Are Inching Higher With A Narrowing Set Of Stocks, What Now? | Seeking Alpha",I have no business relationship with any company whose stock is mentioned in this article. ... Preformed Line Products: Downgrading Shares On New ...,seekingalpha.com,2024-06-16 21:31:49,2024-06-18 15:20:09
2,Preformed Line Products Company declares $0.20 dividend (NASDAQ:PLPC),"Preformed Line Products Company (PLPC) declares $0.20/share quarterly dividend, in line with previous. Forward yield 0.61%.",seekingalpha.com,2024-06-19 21:27:08+00:00,2024-06-19 22:10:30
3,PREFORMED LINE PRODUCTS ANNOUNCES QUARTERLY DIVIDEND | | kilgorenewsherald.com,"... Company's common shares, payable July 19, 2024, to shareholders of record at the close of business on July 1, 2024. ABOUT PLP. PLP protects the ...",www.kilgorenewsherald.com,2024-06-19 21:02:37+00:00,2024-06-19 22:10:30
4,PREFORMED LINE PRODUCTS ANNOUNCES QUARTERLY DIVIDEND,"... Company's common shares, payable July 19, 2024, to shareholders of ...",finance.yahoo.com,2024-06-19 20:54:13+00:00,2024-06-19 22:10:30
5,Pavion Acquires Signet - IT News Online,"The firm targets investments in the consumer products, industrial products and business services sectors. ... PREFORMED LINE PRODUCTS ANNOUNCES ...",www.itnewsonline.com,2024-06-19 20:48:43+00:00,2024-06-19 22:10:30
6,TomTom Applauded by Frost &amp; Sullivan for Helping Drivers Navigate Complex Roadway ...,The company is a trailblazer in developing location technology and digital mapping solutions. ... PREFORMED LINE PRODUCTS ANNOUNCES QUARTERLY DIVIDEND.,www.itnewsonline.com,2024-06-19 20:48:43+00:00,2024-06-19 22:10:30
7,PREFORMED LINE PRODUCTS ANNOUNCES QUARTERLY DIVIDEND - MarketScreener,"Preformed Line Products Company is a designer and manufacturer of products and systems employed in the construction and maintenance of overhead, ...",www.marketscreener.com,2024-06-19 20:35:07+00:00,2024-06-19 22:10:30
8,PREFORMED LINE PRODUCTS ANNOUNCES QUARTERLY DIVIDEND - PR Newswire,PLP protects the world's most critical connections by creating stronger and more reliable networks. The company's precision-engineered solutions are ...,www.prnewswire.com,2024-06-19 20:31:13+00:00,2024-06-19 22:10:30
9,Preformed Line Products (NASDAQ:PLPC) Sees Unusually-High Trading Volume,"Preformed Line Products Company, together with its subsidiaries, designs and manufactures products and systems that are used in the construction ...",www.defenseworld.net,2024-06-19 13:20:03+00:00,2024-06-19 22:10:30
10,"Bundled Micro Duct Market [Top Players ] Corning Inc., Hexatronic Group, Fujikura Ltd.",Dura-Line Corporation Emtelle UK Limited Hexatel Opterna Preformed Line Products Belden OFS Fitel Anixter International Inc. PCC Group Universal ...,.google.com,2024-06-19 07:59:51+00:00,2024-06-19 22:10:30
