,Heading,Subheading,Publisher,Published,Found
0,Freight Company Sued Over Alleged Trailer Malfunction Leading To Severe Injury,A Harris County resident has filed a lawsuit against SAIA Motor Freight Line alleging severe injuries due to a malfunctioning trailer door ...,setexasrecord.com,2024-06-18 09:56:46,2024-06-18 15:21:04
1,"$1000 Invested In This Stock 10 Years Ago Would Be Worth $10,000 Today By Benzinga",Company News- Analysis. Analysis. Market Overview- Currencies- Stock Markets ... Saia (NASDAQ:SAIA) has outperformed the market over the past 10 ...,uk.investing.com,2024-06-20 02:23:49+00:00,2024-06-20 10:11:14
2,"Teachers Retirement System of The State of Kentucky Trims Position in Saia, Inc. (NASDAQ:SAIA)","Saia, Inc, together with its subsidiaries, operates as a transportation company in North America. The company provides less-than-truckload services ...",www.defenseworld.net,2024-06-19 08:27:11+00:00,2024-06-20 10:11:14
3,"Saia, Inc. Share Price Target '$521.44', now 14.9% Upside Potential","The company is not paying dividends at this time. Other points of data to note are a P/E ratio of 33.35, revenue per share of $111.66 and a 11.98% ...",www.directorstalkinterviews.com,2024-06-21 22:56:58+00:00,2024-06-22 10:11:19
4,"Newly created public company Proficient reports improved Q1 OR, EBITDA - FreightWaves","Richard O'Dell, the former Saia (NASDAQ: SAIA) executive who is CEO of Proficient, said on the company's earnings call that there are several cost ...",www.freightwaves.com,2024-06-21 22:07:16+00:00,2024-06-22 10:11:19
5,WHO pledges close cooperation across health sector in Cambodia | The Star,... Saia Ma'u Piukala during a June 20 meeting at the Peace Palace in Phnom ... Company Info. About Us- Job Opportunities- Investor Relations. Help.,www.thestar.com.my,2024-06-21 16:58:54+00:00,2024-06-22 10:11:19
6,Saia's (NASDAQ:SAIA) 25% CAGR outpaced the company's earnings growth over the same ...,"When you buy shares in a company, it's worth keeping in mind the possibility that it could fail, and you could lose...",au.sports.yahoo.com,2024-06-21 10:46:23+00:00,2024-06-22 10:11:19
7,Country's top auctioneers recognised - Engineering News,"In the biggest news of the evening well-known veteran auctioneer, Clive Lazarus, was inducted into the SAIA Hall of Fame, a recognition of his ...",www.engineeringnews.co.za,2024-06-20 23:20:29+00:00,2024-06-22 10:11:19
8,SAIA Quantitative Stock Analysis - Peter Lynch - Nasdaq,SAIA INC (SAIA) is a large-cap growth stock in the Trucking industry. The rating using this strategy is 72% based on the firm's underlying ...,www.nasdaq.com,2024-06-23 00:09:19+00:00,2024-06-23 09:11:17
9,"Noteworthy Tuesday Option Activity: OXY, SAIA, JACK | Nasdaq","Saia Inc (Symbol: SAIA) options are showing a volume of 3,081 ... Company Logo. Do Not Sell or Share My Personal Data. When you visit our ...",www.nasdaq.com,2024-06-26 07:30:55+00:00,2024-06-26 10:11:12
10,"Houston Office Demand Nose-Dived In May, And Weather Is The Likely Culprit - Bisnow","“Having a weak May is not super typical,” said Max Saia, director of investor research for VTS. ... Benefit Company Halves HQ Footprint In West ...",www.bisnow.com,2024-06-26 04:52:03+00:00,2024-06-26 10:11:12
11,10 Best Logistics Stocks to Buy Now - Insider Monkey,"Saia, Inc. (NASDAQ:SAIA) is a less-than-truckload trucking company that was established in 1924 in Houma, LA. The company also specializes in non ...",www.insidermonkey.com,2024-06-26 03:13:33+00:00,2024-06-26 10:11:12
12,"Saia reopens Yellow terminals in Texas, California, Minnesota | Trucking Dive","Saia previously opened facilities in Montana, New Jersey, Texas and Utah, and the company plans to open up to 16 terminals this year. Reopened former ...",www.truckingdive.com,2024-06-26 03:05:39+00:00,2024-06-26 10:11:12
13,"Saia adds terminals in Southern California, Minnesota - FreightWaves","The Owatonna location is part of the company's larger growth plans for the western U.S, including the Great Plains. Earlier this month, Saia ...",www.freightwaves.com,2024-06-25 23:22:51+00:00,2024-06-26 10:11:12
14,FedEx's DRIVE initiative and expected cost savings key to FQ4 results - Seeking Alpha,"... Saia (SAIA) by 4% to 11%. Taking a closer look at FedEx (FDX), which reports FQ4 Tuesday (6/25), Brown sees the company's upcoming FQ4 results and ...",seekingalpha.com,2024-06-25 21:21:11+00:00,2024-06-26 10:11:12
15,"Saia stock price target lifted, keeps Outperform rating on earnings weakness - Investing.com",The firm has maintained an Outperform rating on the company's shares. This revision follows a period of earnings weakness for Saia after the first ...,www.investing.com,2024-06-25 20:48:44+00:00,2024-06-26 10:11:12
16,"Saia, Inc. Enhances Footprint with New Terminals in California and Minnesota",The Company provides less-than-truckload (LTL) services through a single integrated organization. It also offers customers a range of other value- ...,www.marketscreener.com,2024-06-25 13:38:19+00:00,2024-06-26 10:11:12
17,"Saia, Inc. (SAIA): Did This Logistics Stock Get a Good Rating from Analysts?","Private equity flows in digital logistics startups since 2011 have surpassed $150 million, whereas funding from legacy logistics companies is less ...",finance.yahoo.com,2024-06-25 07:21:53+00:00,2024-06-26 10:11:12
18,FedEx's DRIVE initiative and expected cost savings key to FQ4 results - MSN,"Raymond James trimmed its price target for the major less-than-truckload (LTL) freight carriers (FDX, SAIA, XPO, ODFL) but maintained a bullish ...",www.msn.com,2024-06-25 04:56:01+00:00,2024-06-26 10:11:12
19,Saia Enhances Footprint with New Terminals in California and Minnesota - Quantisnow,"Saia is also a multi-year recipient of Women In Trucking's ""Top Companies for Women to Work for in Transportation."" For more information on Saia Inc., ...",www.quantisnow.com,2024-06-25 04:22:34+00:00,2024-06-26 10:11:12
20,When (SAIA) Moves Investors should Listen - Stock traders daily,"How do we know what is going on #behindthescenes of a company? According to Stock Traders Daily, a 20-year #financialindustry innovator, the best ...",news.stocktradersdaily.com,2024-06-25 02:55:12+00:00,2024-06-26 10:11:12
21,Saia Enhances Footprint with New Terminals in California and Minnesota | Morningstar,"Saia is also a multi-year recipient of Women In Trucking's “Top Companies for Women to Work for in Transportation.” For more information on Saia Inc., ...",www.morningstar.com,2024-06-24 16:36:03+00:00,2024-06-26 10:11:12
22,Here are the Reasons to Invest in Saia (SAIA) - Yahoo Finance,"ClearBridge Investments, an investment management company, released its “ClearBridge Select Strategy” first quarter 2024 investor letter.",finance.yahoo.com,2024-06-24 15:41:57+00:00,2024-06-26 10:11:12
23,Auto &amp; Transport Roundup: Market Talk - WSJ,"... companies including Old Dominion Freight Line, Saia and XPO Logistics. They add that FedEx's cost reduction efforts and delivery of improving ...",www.wsj.com,2024-06-26 19:55:58+00:00,2024-06-27 01:11:37
24,ZimVie's (ZIMV) “Buy” Rating Reaffirmed at Needham &amp; Company LLC - Defense World,Read ZimVie's (ZIMV) “Buy” Rating Reaffirmed at Needham & Company LLC at Defense World. ... Saia (NASDAQ:SAIA) Given New $566.00 Price Target at ...,www.defenseworld.net,2024-06-26 18:58:39+00:00,2024-06-27 01:11:37
25,Illinois Tool Works (ITW) Receives a Sell from Wells Fargo | Markets Insider,"O'Dea covers the Industrials sector, focusing on stocks such as Acuity Brands, Emerson Electric Company, and Johnson Controls. ... Saia (SAIA).",markets.businessinsider.com,2024-06-26 17:33:42+00:00,2024-06-27 01:11:37
26,FedEx: Potential For $30 Billion Value Being Unlocked Via Cost Savings And Volume Recovery,"... SAIA, XPO, UPS, UPS:CA ... However, strong volume growth and pricing from the rest of the business should help the company offset this headwind.",seekingalpha.com,2024-06-26 14:24:02+00:00,2024-06-27 01:11:37
27,Why Saia and Old Dominion Stocks Are in the Fast Lane Today - The Globe and Mail,Trucking specialist Saia (NASDAQ: Saia) said shipments were up 18 ... The company said less-than-truckload shipments per workday increased by ...,www.theglobeandmail.com,2024-06-26 11:13:33+00:00,2024-06-27 01:11:37
28,FedEx (FDX) Receives a Buy from UBS | Markets Insider,"Wadewitz covers the Industrials sector, focusing on stocks such as Old Dominion Freight, FedEx, and Saia. ... The company offers integrated business ...",markets.businessinsider.com,2024-06-26 09:32:57+00:00,2024-06-27 01:11:37
