,Heading,Subheading,Publisher,Published,Found
0,"Spirit Airlines is coming to Birmingham- Shuttlesworth International Airport, marking its first ...",Spirit Airlines will serve Alabama for the first time (Spirit Airlines) ... A Rushing Waters Media Company. All content on this site is Copyright ...,bhamnow.com,2024-06-18 13:33:20,2024-06-18 15:21:38
1,Boeing's CEO search is not going well - Quartz,... Spirit AeroSystems is still on even though he's leaving- Boeing's outgoing CEO Dave Calhoun has been reelected to the company's board- Boeing ...,qz.com,2024-06-18 13:12:26,2024-06-18 15:21:38
2,Dead Boeing whistleblower's family says company may not have 'pulled the trigger' but it's ...,"Spirit AeroSystems — not to be confused with Spirit Airlines — manufactures plane components, including fuselages and wing parts, and Boeing is ...",www.independent.co.uk,2024-06-18 12:44:30,2024-06-18 15:21:38
3,Looking Into Spirit Airlines's Recent Short Interest - Benzinga,Spirit Airlines Short Interest Graph (3 Months). short_fig. As you can ... A company's peer is another company that has similar characteristics to ...,www.benzinga.com,2024-06-18 12:38:47,2024-06-18 15:21:38
4,"Boeing will lose on Capitol Hill, how much is up to David Calhoun - The Air Current",... Spirit AeroSystemsTed Cruz. Share. Avatar photo- Jon Ostrower and Will ... business aviation. Related. Archer reveals details of plan to operate ...,theaircurrent.com,2024-06-18 12:14:59,2024-06-18 15:21:38
5,Spirit Airlines brings flight to BHM - Birmingham Business Journal,"The Birmingham airport will have a new airline this fall, and a new flight option to reach a popular Southeastern state.",www.bizjournals.com,2024-06-18 12:10:59,2024-06-18 15:21:38
6,10 Florida-based companies rank high on this best places to work list,SBA ranked among the best companies in the south and received recognition for top quality of pay. Spirit Airlines (Dania Beach) - Spirit Airlines ...,www.floridatoday.com,2024-06-18 12:07:45,2024-06-18 15:21:38
7,"Birmingham Travelers Gain New, Low-Fare Flights to South Florida with Spirit Airlines - PR Newswire","PRNewswire/ -- Low-fare travel will take flight at Birmingham-Shuttlesworth International Airport (BHM) starting this fall. Today, Spirit Airlines ...",www.prnewswire.com,2024-06-18 11:00:22,2024-06-18 15:21:38
8,Stocks With Rising Relative Price Strength: Spirit AeroSystems Cl A,"The company posted 0% EPS growth last quarter, while sales growth came ... Airline Industry News And Stocks To Watch. 6/17/2024 Airline stocks move ...",www.investors.com,2024-06-18 10:32:06,2024-06-18 15:21:38
9,Spirit To Halt Direct Flights From Cleveland To L.A. | 106.5 The Lake - iHeart,Spirit Airlines Airbus A319 aircraft taking off at LAX Airport. Photo ... Company Logo. Your Opt Out Preference Signal is Honored. Do Not Sell/Do ...,1065thelake.iheart.com,2024-06-18 08:51:22,2024-06-18 15:21:38
10,JetBlue's future is on the line in Spirit Airlines court case - MSN,"The 23 year-old company has $1.28 billion of cash on hand and around $4.5 billion in debt. Were it to lose the antitrust case, JetBlue would be ...",.google.com,2024-06-18 06:30:09,2024-06-18 15:21:38
11,Boeing CEO search ongoing as candidate field narrows - AeroTime,Business Aviation- Sustainability- Technology- Space- Aviation Events ... Spirit AeroSystems. Culp was considered a natural replacement for Boeing ...,www.aerotime.aero,2024-06-18 06:02:48,2024-06-18 15:21:38
12,Gateway - Quartz,Spirit Airlines CEO says the airline industry is a 'rigged game'. Ted Christie got a few things off his chest during the company's earnings call. By.,qz.com,2024-06-18 04:51:53,2024-06-18 15:21:38
13,'You can't beat it': MHT welcomes third new airline in three years - NH Business Review,"Mike Bailey of Charleston, a co-pilot flying to and from the South Carolina city to Manchester. ... Spirit Airlines suspended its service to the airport ...",www.nhbr.com,2024-06-18 03:47:19,2024-06-18 15:21:38
14,Air Lease Prices Public Offering Of $1.2 Bln Of Senior Notes | Markets Insider,"... (RTTNews) - Air Lease Corporation (AL), an aircraft leasing firm, said ... Spirit Airlines (SAVE), Air Lease (AL) and ZipRecruiter (ZIP). TipRanks ...",markets.businessinsider.com,2024-06-18 03:35:31,2024-06-18 15:21:38
15,JetBlue to Aquire Spirit Airlines in $3.8 Billion Deal Nobody Asked For - Gizmodo,"Spirit Airlines, the “budget” airline ... Peter Boneparth, the chair of JetBlue's board, said the deal would help the company deliver on its, “​​mission ...",gizmodo.com,2024-06-17 22:37:03,2024-06-18 15:21:38
