,Heading,Subheading,Publisher,Published,Found
0,Brazilian municipalities seek supreme court backing to pursue UK dam disaster lawsuit,Company: Sun Coke East Servicios de Coquelificaçäo Ltda. (SunCoke Energy Brasil); The description included in this profile was taken directly from ...,www.bnamericas.com,2024-06-18 12:46:49,2024-06-18 15:22:00
1,Brazilian municipalities seek supreme court backing to pursue UK dam disaster lawsuit,Company: Sun Coke East Servicios de Coquelificaçäo Ltda. (SunCoke Energy Brasil); The description included in this profile was taken directly from ...,www.bnamericas.com,2024-06-18 17:46:49+00:00,2024-06-19 17:12:19
2,SunCoke Energy (NYSE:SXC) shareholders have earned a 15% CAGR over the last three years,"SunCoke Energy, Inc. ( NYSE:SXC ) shareholders might be concerned after seeing the share price drop 14% in the last...",finance.yahoo.com,2024-06-20 13:07:34+00:00,2024-06-20 14:12:09
3,DIARY-U.S. MEETINGS/WEEK AHEAD - Reuters,... SunCoke Energy at Barclays CEO Energy Power Conf 02 Sep SunCoke ... TechnologycategorySoftBank's Son: will ramp up US power business for generative AI.,www.reuters.com,2024-06-20 03:50:52+00:00,2024-06-20 14:12:09
4,DIARY-U.S. MEETINGS/WEEK AHEAD - Reuters,... Electric Co. at Deutsche Bank Ind and Materials Conf 05 Jun 13:40 ... Suncoke Energy at Credit MLP & Energy Logistics Conf 10 Jun 16:05 AmTrust ...,www.reuters.com,2024-06-19 14:03:32+00:00,2024-06-20 14:12:09
5,"BUZZ-U.S. STOCKS ON THE MOVE-Coal stocks, First Niagara, Sharps | Reuters","Spanish renewable energy company Abengoa is close to a deal with creditor ... ** SUNCOKE ENERGY INC, $8.67, -10.53 pct. ** CLOUD PEAK ENERGY INC ...",www.reuters.com,2024-06-21 04:21:04+00:00,2024-06-21 13:12:12
6,"BUZZ-U.S. STOCKS ON THE MOVE-IBM, Skyworks, Bristol-Myers Squibb, GE - Reuters","** GENERAL ELECTRIC CO, $30.53, -2.19 pct. The maker of power plants ... SunCoke Energy Partner LP says IRS excludes cokemaking as a qualifying ...",www.reuters.com,2024-06-22 01:09:19+00:00,2024-06-22 14:12:21
7,Molson Coors Beverage (NYSE:TAP) Receives Consensus Recommendation of “Hold” from Analysts,"Los Angeles Capital Management LLC Purchases 34,622 Shares of SunCoke Energy, Inc. Daily Ratings & News for Molson Coors Beverage. Complete the form ...",www.defenseworld.net,2024-06-23 11:16:41+00:00,2024-06-23 13:12:18
8,"Los Angeles Capital Management LLC Sells 6622 Shares of Qifu Technology, Inc. (NASDAQ:QFIN)","Los Angeles Capital Management LLC Purchases 34,622 Shares of SunCoke Energy, Inc. Daily Ratings & News for Qifu Technology. Complete the form below ...",www.defenseworld.net,2024-06-23 13:34:19+00:00,2024-06-24 14:12:16
9,"Los Angeles Capital Management LLC Sells 181 Shares of Cal-Maine Foods, Inc. (NASDAQ:CALM)","Los Angeles Capital Management LLC Purchases 34,622 Shares of SunCoke Energy, Inc. Daily Ratings & News for Cal-Maine Foods. Complete the form below ...",www.defenseworld.net,2024-06-23 12:31:33+00:00,2024-06-24 14:12:16
10,(SXC) Technical Pivots with Risk Controls - Stock traders daily,Technical analysis for Suncoke Energy Inc. SXC including support levels resistance levels and stop losses for SXC.,news.stocktradersdaily.com,2024-06-25 10:41:05+00:00,2024-06-25 13:12:27
11,SunCoke Energy Inc (SXC) receives a Neutral rating from B. Riley Securities - Knox Daily,"In a filing, SunCoke Energy Inc revealed its Chief Technology Officer Quanci John F unloaded Company's shares for reported $48356.0 on May 24 '24.",knoxdaily.com,2024-06-25 00:15:35+00:00,2024-06-25 13:12:27
12,Mastercard Incorporated (NYSE:MA) Shares Purchased by AdvisorNet Financial Inc,"... company in its most recent filing with the SEC. The fund owned 4,542 shares ... Critical Analysis: SunCoke Energy (NYSE:SXC) and Metallus (NYSE:MTUS) ...",www.defenseworld.net,2024-06-25 13:20:09+00:00,2024-06-26 14:12:32
13,Critical Analysis: SunCoke Energy (NYSE:SXC) and Metallus (NYSE:MTUS),"SunCoke Energy, Inc. operates as an independent producer of coke in the Americas and Brazil. The company operates through three segments: Domestic ...",www.defenseworld.net,2024-06-25 12:16:23+00:00,2024-06-26 14:12:32
14,"Granite City Plant owners to idle steelmaking at plant indefinitely, additional 600 layoffs likely - MSN","The company blamed the then-ongoing United Auto Workers strike for the decision. ... Suncoke Energy, which would've cut nearly 2/3 of the Granite ...",.google.com,2024-06-27 02:41:15+00:00,2024-06-27 18:12:18
15,SunCoke Energy (NYSE:SXC) Upgraded to &quot;Strong-Buy&quot; at StockNews.com - MarketBeat,"SunCoke Energy, Inc operates as an independent producer of coke in the Americas and Brazil. The company operates through three segments: Domestic Coke ...",www.marketbeat.com,2024-06-27 02:21:15+00:00,2024-06-27 18:12:18
16,Tennant Company Publishes 2024 (FY23) Sustainability Report - Quantisnow,"Barb Balinski will provide dedicated executive oversight to the Company's business ... SunCoke Energy, Inc. West replaces Thomas Paulson, who has served ...",quantisnow.com,2024-06-28 08:37:09+00:00,2024-06-28 22:12:25
17,Fluor Secures EPCM Services Contract For Phase One Of Northvolt's Lithium-ion Battery ...,"Fluor Corporation (NYSE:FLR) and longstanding client SunCoke Energy, Inc. (SunCoke) have announced a seven-year contract extension at its five ...",quantisnow.com,2024-06-28 08:13:51+00:00,2024-06-28 22:12:25
18,Analysts review SunCoke Energy Inc's rating - Knox Daily,SunCoke Energy Inc's filing revealed that its Chief Technology Officer Quanci John F unloaded Company's shares for reported $48356.0 on May 24 '24.,knoxdaily.com,2024-07-01 17:10:38+00:00,2024-07-01 20:12:56
19,"EU “green” funds invest millions in expanding coal giants in China, India",Huaneng Power. Huadian Power. China Resources Power Holdings. Jastrzebska Spolka Weglowa SA. Shanxi Meijin Energy Co Ltd. SunCoke Energy Inc. Warrior ...,www.climatechangenews.com,2024-07-01 15:23:54+00:00,2024-07-01 20:12:56
20,StockNews.com Begins Coverage on S&amp;W Seed (NASDAQ:SANW) - Defense World,... companies with MarketBeat.com's FREE daily email newsletter. « PREVIOUS HEADLINE. SunCoke Energy (NYSE:SXC) Rating Lowered to Buy at StockNews.com ...,www.defenseworld.net,2024-07-04 11:27:15+00:00,2024-07-04 18:13:02
21,SunCoke Energy (SXC) Shares Cross Above 200 DMA - Nasdaq,"In trading on Wednesday, shares of SunCoke Energy Inc (Symbol: SXC) crossed above their 200 day moving average of $10.19, changing hands as high ...",www.nasdaq.com,2024-07-03 16:32:59+00:00,2024-07-04 18:13:02
22,"Insiders At SunCoke Energy Sold US$5.3m In Stock, Alluding To Potential Weakness","Many SunCoke Energy, Inc. ( NYSE:SXC ) insiders ditched their stock over the past year, which may be of interest to the...",simplywall.st,2024-07-03 11:50:48+00:00,2024-07-04 18:13:02
23,Objective long/short (SXC) Report - Stock traders daily,Trading Report for Suncoke Energy Inc. SXC With Buy and Sell Signals.,news.stocktradersdaily.com,2024-07-05 12:18:53+00:00,2024-07-06 03:13:11
24,Unveiling Three Premier Dividend Stocks With Yields Up To 3.9% - Simply Wall St News,"Overview: Synovus Financial Corp., a bank holding company for Synovus ... Overview: SunCoke Energy, Inc., an independent producer of coke ...",simplywall.st,2024-07-05 12:01:54+00:00,2024-07-06 03:13:11
25,Selling Buzz: SunCoke Energy Inc [SXC] Chief Technology Officer Quanci John F sells ...,"Investors can speculate about the future of a stock by watching how its insiders buy and sell stocks. SunCoke Energy Inc shares valued at $48,356 ...",knoxdaily.com,2024-07-05 08:33:20+00:00,2024-07-06 03:13:11
26,Asia Dragon (LON:DGN) Reaches New 1-Year High at $419.00 - Defense World,"Jennison Associates LLC Has $1.30 Million Stock Holdings in SunCoke Energy, Inc.",www.defenseworld.net,2024-07-10 20:10:56+00:00,2024-07-12 03:13:12
27,"Trading Day Triumph: SunCoke Energy Inc (SXC) Ends at 10.14, a 3.36 Surge/Plunge","Trading Day Triumph: SunCoke Energy Inc (SXC) Ends at 10.14, a 3.36 Surge/Plunge ... Investors seeking to outperform the market often focus on hand- ...",dwinnex.com,2024-07-12 16:41:45+00:00,2024-07-12 19:13:15
28,"Market Recap Check: G-III Apparel Group Ltd. (GIII)'s Positive Finish at 26.83, Up/Down 2.64","Insiders hold about 13.54% of the company's shares, while institutions hold 100.47% stake in the company. ... Trading Day Triumph: SunCoke Energy Inc ( ...",dwinnex.com,2024-07-12 16:41:37+00:00,2024-07-12 19:13:15
29,"Sunoco seeks coking coal, gives hope to producers - Reuters","SunCoke Energy Inc, Sunoco's &lt;SUN.N&gt; coke-making division, wants to buy about 950000 tons per year of metallurgical coal beginning in the third ...",www.reuters.com,2024-07-13 10:18:09+00:00,2024-07-14 04:13:08
30,Global X Renewable Energy Producers ETF (NASDAQ:RNRG) Sees Significant Decrease in ...,Global X Renewable Energy Producers ETF Company Profile. (Get Free ... SunCoke Energy ...,www.defenseworld.net,2024-07-14 13:19:09+00:00,2024-07-14 19:13:04
31,"Data centers, proliferating statewide, could soon be built on mined lands in Southwest Virginia","... companies for doing so. SunCoke Energy, a coal processer, in Buchanan County. (Charlie Paullin/Virginia Mercury). A Data Center Ridge site has been ...",virginiamercury.com,2024-07-16 01:55:02+00:00,2024-07-16 04:13:18
32,"Data centers, proliferating statewide, could soon be built on mined lands in Southwest Virginia","SunCoke Energy, a coal processor, in Buchanan County. Charlie Paullin ... SINGH MANAGEMENT COMPANY LLC ...",www.loudountimes.com,2024-07-15 22:33:27+00:00,2024-07-16 04:13:18
33,(SXC) On The My Stocks Page - Stock traders daily,How to use Suncoke Energy Inc. SXC as a Forecasting Tool.,news.stocktradersdaily.com,2024-07-15 10:52:39+00:00,2024-07-16 04:13:18
34,"Allspring Global Investments Holdings LLC Invests $34000 in Advance Auto Parts, Inc. (NYSE:AAP)","... company's stock, valued at approximately $34,000. ... You might be interested in: SunCoke Energy, Inc.",www.defenseworld.net,2024-07-14 19:38:11+00:00,2024-07-16 04:13:18
35,"Susquehanna Fundamental Investments LLC Takes $528,000 Position in Jumia ... - Defense World","46,771 Shares in SunCoke Energy, Inc. Purchased by ...",www.defenseworld.net,2024-07-16 18:54:01+00:00,2024-07-16 20:12:37
36,"Data centers, proliferating statewide, could soon be built on mined lands in Southwest Virginia","... companies for doing so. coal processor. SunCoke Energy, a coal processer, in Buchanan County. Charlie Paullin/Virginia Mercury. A Data Center Ridge ...",www.princewilliamtimes.com,2024-07-16 02:39:59+00:00,2024-07-16 20:12:37
37,NL Industries (NYSE:NL) Shares Cross Below Two Hundred Day Moving Average of $6.50,"The company's 50 day simple moving average is $6.81 and its 200 day simple ... 46,771 Shares in SunCoke Energy, Inc. (NYSE:SXC) Purchased by ...",www.defenseworld.net,2024-07-17 01:12:38+00:00,2024-07-18 05:12:33
38,"Susquehanna Fundamental Investments LLC Buys New Shares in Trupanion, Inc. (NASDAQ:TRUP)","The company operates in two segments, Subscription Business and Other Business. ... 46,771 Shares in SunCoke Energy, Inc. (NYSE:SXC) Purchased by ...",www.defenseworld.net,2024-07-16 21:25:31+00:00,2024-07-18 05:12:33
39,"SunCoke Energy, Inc. Announces Second Quarter 2024 Earnings Date - MarketScreener","SunCoke Energy, Inc. is an independent producer of coke. The Companyâ€™s segments include Domestic Coke, Brazil Coke, and Logistics. The Domestic Coke ...",www.marketscreener.com,2024-07-18 11:06:19+00:00,2024-07-18 20:12:19
40,NASA scraps its VIPER project that aimed to look for ice on the moon - Yahoo Finance,"Driven Brands Holdings Inc. to host second quarter earnings conference call on August 1, 2024. 6 minutes ago. Business Wire. SunCoke Energy, Inc.",au.finance.yahoo.com,2024-07-18 11:05:40+00:00,2024-07-18 20:12:19
41,"SunCoke Energy, Inc. Announces Second Quarter 2024 Earnings Date - Yahoo Finance","SunCoke Energy, Inc. (NYSE: SXC) supplies high-quality coke to domestic and international customers. Our coke is used in the blast furnace production ...",finance.yahoo.com,2024-07-18 11:03:58+00:00,2024-07-18 20:12:19
42,Tellurian Inc. (NYSEAMERICAN:TELL) Shares Bought by BNP Paribas Financial Markets,"Quantbot Technologies LP Makes New Investment in SunCoke Energy, Inc.",www.defenseworld.net,2024-07-20 01:57:17+00:00,2024-07-20 05:12:33
43,Top 3 Materials Stocks That May Implode This Month,The company's stock gained around 8% over the past month and has a ... SunCoke Energy Inc (NYSE:SXC). SunCoke Energy will release its second ...,quantisnow.com,2024-07-20 00:05:36+00:00,2024-07-20 05:12:33
44,Top 3 Materials Stocks That May Implode This Month - Sherwin-Williams (NYSE:SHW),"SunCoke Energy will release its second quarter financial results on Wednesday, July 31, before the opening bell. The company's stock gained around 13% ...",www.benzinga.com,2024-07-19 23:54:56+00:00,2024-07-20 05:12:33
45,Form N-CSRS EXCHANGE TRADED CONCEPTS For: May 31 - StreetInsider,"A copy of the report transmitted to stockholders pursuant to Rule 30e-1 under the Investment Company ... SunCoke Energy. 16,620. 175,341. Warrior Met ...",www.streetinsider.com,2024-07-19 23:28:36+00:00,2024-07-20 05:12:33
