,Heading,Subheading,Publisher,Published,Found
0,Wind Energy Is Starting to Revive. The Election Could Throw a Wrench in the Works.,"TPI Composites / TPIC, $4.47, 8.0, 0.2, N/A. Vestas Wind Systems / VWS ... Copyright © 2024 Dow Jones & Company, Inc. All Rights Reserved.",www.barrons.com,2024-06-18 13:27:45,2024-06-18 15:22:33
1,Ameresco inaugurates 42-MW Hawaiian solar park with storage - Renewables Now,"US renewables company Ameresco Inc (NYSE:AMRC) has officially launched ... TPI Composites to sell automotive ops to focus on wind. Jun 18, 2024 11 ...",renewablesnow.com,2024-06-18 12:24:02,2024-06-18 15:22:33
2,"Composites Market Outlook, Size, Demand, Insights, and Overview 2024-2033","Press release - The Business research company - Composites Market Outlook ... Corporation LLC, SGL Carbon SE, TPI Composites Inc., Gurit Holding AG",www.openpr.com,2024-06-18 11:28:36,2024-06-18 15:22:33
3,TPI Composites to sell automotive ops to focus on wind - Renewables Now,US composite wind blades maker TPI Composites Inc (NASDAQ:TPIC) has agreed to sell its automotive business to local investment firm Clear Creek ...,renewablesnow.com,2024-06-18 10:56:55,2024-06-18 15:22:33
4,"TPI Composites (TPIC) Inks Deal to Sell Automotive Business - June 18, 2024 - Zacks.com",TPI Composites (TPIC) agrees to sell its automotive business to focus its resources on growing its core wind blade business.,www.zacks.com,2024-06-18 09:34:09,2024-06-18 15:22:33
5,"Skechers (SKX) Stays Ahead of the Industry Curve: Here's Why - June 18, 2024 - Zacks",TPI Composites (TPIC) Inks Deal to Sell Automotive Business. Most Read ... Each of the company logos represented herein are trademarks of Microsoft ...,www.zacks.com,2024-06-18 09:34:08,2024-06-18 15:22:33
6,Sigmatex achieves prestigious IATF 16949 certification for UK Operations - JEC Composites,... TPI Composites announces agreement to divest automotive business unit as a part of continued focus on windRead through; Announcement 18.06.2024 ...,www.jeccomposites.com,2024-06-18 07:58:33,2024-06-18 15:22:33
7,TPI Composites to divest automotive business unit to focus on wind - Windtech International,TPI Composites (TPI) announced it has entered into a definitive agreement to divest its automotive business to Clear Creek Investments (CCI).,.google.com,2024-06-18 02:48:03,2024-06-18 15:22:33
8,TPI Composites Announces Agreement to Divest Automotive Business Unit as a Part ... - Stock Titan,"TPI Composites (NASDAQ: TPIC) divests its automotive unit to Clear Creek Investments, boosting monthly cash flow by $1.7M in 2024.",www.stocktitan.net,2024-06-17 22:10:10,2024-06-18 15:22:33
9,TPI Composites in Deal to Divest Automotive Business - MarketWatch,TPI Composites said it has signed a deal to sell its automotive business to asset manager Clear Creek Investments as it looks to reach ...,www.marketwatch.com,2024-06-17 21:27:24,2024-06-18 15:22:33
10,TPI Composites in Deal to Divest Automotive Business - MarketWatch,By Sabela Ojea TPI Composites said it has signed a deal to sell its automotive business to asset manager Clear Creek Investments as it looks to ...,www.marketwatch.com,2024-06-17 20:22:02,2024-06-18 15:22:33
11,TPI Composites Divests Automotive Subsidiary Amidst Leadership Changes - TipRanks.com,"An announcement from TPI Composites (TPIC) is now available. Composite Solutions, Inc., a subsidiary of TPI Composites, Inc., has agreed to sell ...",www.tipranks.com,2024-06-17 16:06:40,2024-06-18 15:22:33
12,TPI Composites Announces Agreement to Divest Automotive Business Unit as a Part of ...,"SCOTTSDALE, Ariz., June 17, 2024 (GLOBE NEWSWIRE) -- TPI Composites, Inc., (TPI) (Nasdaq: TPIC) announced it has entered into a definitive ...",finance.yahoo.com,2024-06-17 15:06:51,2024-06-18 15:22:33
13,Credit Acceptance Announces Extension of Revolving Secured Line of Credit Facility,"TPI Composites Announces Agreement to Divest Automotive Business Unit as a Part of Continued Focus on Wind. Monday, June 17, 2024 04:02 PM ...",www.investorsobserver.com,2024-06-17 15:05:54,2024-06-18 15:22:33
14,"GE Aerospace's Larry Culp declined Boeing's request to take over as CEO, WSJ reports","Board chair Larry Kellner and Stan Deal, head of the company's commercial planes business, were also set to leave. ... TPI Composites Announces ...",sg.finance.yahoo.com,2024-06-17 15:05:24,2024-06-18 15:22:33
15,Wind Energy Is Starting to Revive. The Election Could Throw a Wrench in the Works.,"TPI Composites / TPIC, $4.47, 8.0, 0.2, N/A. Vestas Wind Systems / VWS ... Copyright © 2024 Dow Jones & Company, Inc. All Rights Reserved.",www.barrons.com,2024-06-18 18:27:45+00:00,2024-06-19 17:12:48
16,Ameresco inaugurates 42-MW Hawaiian solar park with storage - Renewables Now,"US renewables company Ameresco Inc (NYSE:AMRC) has officially launched ... TPI Composites to sell automotive ops to focus on wind. Jun 18, 2024 11 ...",renewablesnow.com,2024-06-18 17:24:02+00:00,2024-06-19 17:12:48
17,"Composites Market Outlook, Size, Demand, Insights, and Overview 2024-2033","Press release - The Business research company - Composites Market Outlook ... Corporation LLC, SGL Carbon SE, TPI Composites Inc., Gurit Holding AG",www.openpr.com,2024-06-18 16:28:36+00:00,2024-06-19 17:12:48
18,TPI Composites to sell automotive ops to focus on wind - Renewables Now,US composite wind blades maker TPI Composites Inc (NASDAQ:TPIC) has agreed to sell its automotive business to local investment firm Clear Creek ...,renewablesnow.com,2024-06-18 15:56:55+00:00,2024-06-19 17:12:48
19,"TPI Composites (TPIC) Inks Deal to Sell Automotive Business - June 18, 2024 - Zacks.com",TPI Composites (TPIC) agrees to sell its automotive business to focus its resources on growing its core wind blade business.,www.zacks.com,2024-06-18 14:34:09+00:00,2024-06-19 17:12:48
20,"Skechers (SKX) Stays Ahead of the Industry Curve: Here's Why - June 18, 2024 - Zacks",TPI Composites (TPIC) Inks Deal to Sell Automotive Business. Most Read ... Each of the company logos represented herein are trademarks of Microsoft ...,www.zacks.com,2024-06-18 14:34:08+00:00,2024-06-19 17:12:48
21,Sigmatex achieves prestigious IATF 16949 certification for UK Operations - JEC Composites,... TPI Composites announces agreement to divest automotive business unit as a part of continued focus on windRead through; Announcement 18.06.2024 ...,www.jeccomposites.com,2024-06-18 12:58:33+00:00,2024-06-19 17:12:48
22,TPI Composites to divest automotive business unit to focus on wind - Windtech International,TPI Composites (TPI) announced it has entered into a definitive agreement to divest its automotive business to Clear Creek Investments (CCI).,.google.com,2024-06-18 07:48:03+00:00,2024-06-19 17:12:48
23,TPI Composites Announces Agreement to Divest Automotive Business Unit as a Part ... - Stock Titan,"TPI Composites (NASDAQ: TPIC) divests its automotive unit to Clear Creek Investments, boosting monthly cash flow by $1.7M in 2024.",www.stocktitan.net,2024-06-18 03:10:10+00:00,2024-06-19 17:12:48
24,TPI Composites in Deal to Divest Automotive Business - MarketWatch,TPI Composites said it has signed a deal to sell its automotive business to asset manager Clear Creek Investments as it looks to reach ...,www.marketwatch.com,2024-06-18 02:27:24+00:00,2024-06-19 17:12:48
25,TPI Composites in Deal to Divest Automotive Business - MarketWatch,By Sabela Ojea TPI Composites said it has signed a deal to sell its automotive business to asset manager Clear Creek Investments as it looks to ...,www.marketwatch.com,2024-06-18 01:22:02+00:00,2024-06-19 17:12:48
26,TPI Composites Divests Automotive Subsidiary Amidst Leadership Changes - TipRanks.com,"An announcement from TPI Composites (TPIC) is now available. Composite Solutions, Inc., a subsidiary of TPI Composites, Inc., has agreed to sell ...",www.tipranks.com,2024-06-17 21:06:40+00:00,2024-06-19 17:12:48
27,TPI Composites Announces Agreement to Divest Automotive Business Unit as a Part of ...,"SCOTTSDALE, Ariz., June 17, 2024 (GLOBE NEWSWIRE) -- TPI Composites, Inc., (TPI) (Nasdaq: TPIC) announced it has entered into a definitive ...",finance.yahoo.com,2024-06-17 20:06:51+00:00,2024-06-19 17:12:48
28,Credit Acceptance Announces Extension of Revolving Secured Line of Credit Facility,"TPI Composites Announces Agreement to Divest Automotive Business Unit as a Part of Continued Focus on Wind. Monday, June 17, 2024 04:02 PM ...",www.investorsobserver.com,2024-06-17 20:05:54+00:00,2024-06-19 17:12:48
29,"GE Aerospace's Larry Culp declined Boeing's request to take over as CEO, WSJ reports","Board chair Larry Kellner and Stan Deal, head of the company's commercial planes business, were also set to leave. ... TPI Composites Announces ...",sg.finance.yahoo.com,2024-06-17 20:05:24+00:00,2024-06-19 17:12:48
30,Hecate Grid banks USD 125m to advance energy storage pipeline in US - Renewables Now,"The company, advised by Macquarie Capital, has signed a four-year letter ... TPI Composites to sell automotive ops to focus on wind. Jun 18, 2024 11 ...",renewablesnow.com,2024-06-20 01:01:53+00:00,2024-06-20 07:13:02
31,US Growth Companies With High Insider Ownership To Watch In June 2024,Operations: The company generates $11.82 billion in revenue from its high ... TPI Composites (TPIC) Inks Deal to Sell Automotive Business. Zacks• 1d ...,finance.yahoo.com,2024-06-19 19:13:30+00:00,2024-06-20 07:13:02
32,USANA Athlete Natalie Spooner Wins Inaugural PWHL MVP Award - Yahoo Finance,"... company and her sport. On behalf of USANA, I want to congratulate ... TPI Composites (TPIC) Inks Deal to Sell Automotive Business. Zacks• 18h ...",finance.yahoo.com,2024-06-19 09:22:05+00:00,2024-06-20 07:13:02
33,TPI Composites gets grant for automated system for wind turbine blade fabrication,Revolutionize wind turbine blade fabrication with TPI Composites Inc's innovative system using laser projection and synchronized layup segments.,www.power-technology.com,2024-06-22 03:49:46+00:00,2024-06-22 07:13:13
34,Weekly renewables M&amp;A round-up (Jun 17-21),US composite wind blades maker TPI Composites Inc has agreed to sell its automotive business ... Dutch composite pipe technology company Strohm Holding ...,renewablesnow.com,2024-06-22 03:14:42+00:00,2024-06-22 07:13:13
35,Automotive Composites Market Size Worth USD 14.01 Billion - openPR.com,16.UFP Technologies Ltd. (US 17.Huntsman Corporation (US) 18.Hexion (US) 19.TPI Composites 20.GMS Composites 21.IDI Composites International 22 ...,www.openpr.com,2024-06-21 22:02:48+00:00,2024-06-22 07:13:13
36,Roth MKM Sticks to Their Buy Rating for Ormat Techno (ORA) | Markets Insider,"... TPI Composites. According to TipRanks, Clare has an average return of ... Ormat Technologies, Inc. is a holding company, which engages in the provision ...",markets.businessinsider.com,2024-06-21 20:04:02+00:00,2024-06-22 07:13:13
37,St. Cloud Capital invests in Superior Huntingdon Composites - JEC,... TPI Composites announces agreement to divest automotive business unit ... The Company was formerly a portfolio company of Stonewood Capital Management.,www.jeccomposites.com,2024-06-21 09:09:44+00:00,2024-06-22 07:13:13
38,ACS invests 4 million for the opening of a second plant in Tortoreto - JEC Composites,"ACS (Advanced Composites Solutions) Srl, an Italian company specialised ... TPI Composites announces agreement to divest automotive business unit ...",www.jeccomposites.com,2024-06-21 08:38:19+00:00,2024-06-22 07:13:13
39,Form N-CSR/A Investment Managers Seri For: Mar 31 - StreetInsider,"... Company Act of 1940, as amended (the ... The biggest detractors from performance were Pacific Biosciences of California Inc, TPI Composites Inc ...",www.streetinsider.com,2024-06-21 06:51:07+00:00,2024-06-22 07:13:13
40,CEO Appointment &amp; Board Changes - Sharecast.com,... Company. Steve brings 40 years of experience in global operations and business development leadership to the Board. As CEO of TPI Composites Inc ...,www.sharecast.com,2024-06-24 06:21:40+00:00,2024-06-24 07:13:00
41,Composites to target indirection emissions reduction in U.K. rail sector | CompositesWorld,... company's achievements and capabilities through years of composites R&D programs. ... TPI manufactures all-composite Kenworth SuperTruck 2 cab. Class 8 ...,www.compositesworld.com,2024-06-25 05:56:14+00:00,2024-06-25 07:12:45
42,Composites Market Poised for Strong Growth Driven by Lightweighting Demands and ... - EIN News,"TPI Composites, Inc. Veplas Group. Weyerhaeuser Company. Segments Covered in Report. For the purpose of this report, Emergen Research has segmented ...",www.einnews.com,2024-06-25 02:33:36+00:00,2024-06-25 07:12:45
43,TPI Composites Inc (TPIC) stock analysis: A simple moving average approach,"While TPI Composites Inc has underperformed by -5.26%, investors are advised to look at stock chart patterns for technical insight.",www.uspostnews.com,2024-06-25 01:02:20+00:00,2024-06-25 07:12:45
44,Cathay Biotech launches bio-based thermoplastic composites project for photovoltaics - JEC,... TPI Composites announces agreement to divest automotive business unit ... Process & Manufacturing.,www.jeccomposites.com,2024-06-24 12:31:32+00:00,2024-06-25 07:12:45
45,TPI Composites Inc: Navigating Market Volatility with a 1.79 Debt-to-Equity Ratio,"TPI Composites Inc's stock has seen a rocky market performance. The company's stock achieved a 1-year high of $11.05 on 07/26/23, and the lowest ...",investchronicle.com,2024-06-26 03:42:59+00:00,2024-06-26 07:13:14
46,Taking the lead: TPI Composites Inc (TPIC) - Sete News,Taking the lead: TPI Composites Inc (TPIC)- Price Performance and Earnings:- Float and Shares Shorts:- Institutional Ownership:- An Overview of Recent ...,www.setenews.com,2024-06-26 23:08:34+00:00,2024-06-27 01:13:00
47,Credit Acceptance Co. (NASDAQ:CACC) Shares Sold by PNC Financial Services Group Inc.,"TPI ... Quadrature Capital Ltd Has $246,000 Holdings in The Manitowoc Company, Inc.",www.defenseworld.net,2024-06-27 14:51:12+00:00,2024-06-27 19:12:39
48,"TPI Composites, Inc. (NASDAQ:TPIC) Shares Sold by Quadrature Capital Ltd",Get TPI Composites alerts: Other hedge funds and other institutional investors have also modified their holdings of the company. Peoples Bank KS ...,www.defenseworld.net,2024-06-27 14:10:36+00:00,2024-06-27 19:12:39
49,Shares of companies in the broader utilities sector are trading higher amid overall market ...,"Image for Edward Hall Nominated to Join the Board of Directors of TPI Composites, Inc. SCOTTSDALE, Ariz., April 09, 2024 (GLOBE NEWSWIRE) -- TPI ...",quantisnow.com,2024-06-27 09:19:13+00:00,2024-06-27 19:12:39
50,Shares of several companis in the broader industrials space are trading higher ... - Quantisnow,Transportation company FedEx Corporation (NYSE:FDX) was sized up by ... Image for SEC Form SC 13G filed by TPI Composites Inc. SC 13G - TPI ...,quantisnow.com,2024-06-27 09:04:12+00:00,2024-06-27 19:12:39
51,"PNC Financial Services Group Inc. Has $589000 Holdings in DoubleVerify Holdings, Inc. (NYSE:DV)","Quadrature Capital Ltd Acquires New Shares in Cambridge Bancorp- TPI Composites, Inc.",www.defenseworld.net,2024-06-27 15:56:37+00:00,2024-06-28 01:12:43
52,Gatron to deliver composite seats for 22 Alstom trains | CompositesWorld,... company's achievements and capabilities through years of composites R&D programs. ... TPI manufactures all-composite Kenworth SuperTruck 2 cab.,www.compositesworld.com,2024-06-28 02:19:27+00:00,2024-06-28 08:12:57
53,Q1 Earnings Highs And Lows: EnerSys (NYSE:ENS) Vs The Rest Of The Renewable Energy Stocks,"It was a strong quarter for the company, with an impressive beat of analysts' revenue and volume estimates. ... TPI Composites reported revenues of ...",www.barchart.com,2024-06-28 18:08:25+00:00,2024-06-28 19:12:59
54,"All-composite Cab Design 20% Lighter, More Aerodynamic Than Conventional Models",TPI Composites Inc. (TPI) is pushing the boundaries of weight reduction and aerodynamics via an all-composite cab design adopted in the next ...,www.plasticstoday.com,2024-06-28 16:21:30+00:00,2024-06-28 19:12:59
55,"Los Angeles Capital Management LLC Makes New Investment in TPI Composites, Inc ...","Read Los Angeles Capital Management LLC Makes New Investment in TPI Composites, Inc. (NASDAQ:TPIC) at Defense World.",www.defenseworld.net,2024-06-28 15:26:29+00:00,2024-06-28 19:12:59
56,Tekmar Group announces CEO appointment and board changes | 4C Offshore News,"Lockard brings 40 years of global operations and business development experience, notably transforming TPI Composites Inc. into a major wind blade ...",www.4coffshore.com,2024-06-28 14:25:56+00:00,2024-06-28 19:12:59
57,Los Angeles Capital Management LLC Cuts Stock Position in Grab Holdings Limited ...,"... company in its most recent filing with the Securities and ... Los Angeles Capital Management LLC Makes New Investment in TPI Composites, Inc.",www.defenseworld.net,2024-06-28 11:31:53+00:00,2024-06-28 19:12:59
58,Vanguard Group Inc. Sells 382535 Shares of Skyline Champion Co. (NYSE:SKY),"Company insiders own 6.90% of the company's stock. Skyline ... Los Angeles Capital Management LLC Makes New Investment in TPI Composites, Inc.",www.defenseworld.net,2024-06-28 21:27:35+00:00,2024-06-29 01:12:48
59,TPI Composites Could Be A Bad Idea (NASDAQ:TPIC) | Seeking Alpha,"Previous article aimed to predict business recovery, but price dropped 30% shortly after publication.- TPI Composites hit low of $1.63 in November ...",seekingalpha.com,2024-06-30 16:05:36+00:00,2024-06-30 19:12:45
