,Heading,Subheading,Publisher,Published,Found
0,1 year since Titan Submersible went missing | WANE 15,"After the Titan sub lost contact with the Polar Prince, a massive international ... The company, which charged $250,000 per person for a voyage aboard ...",www.wane.com,2024-06-18 13:17:10,2024-06-18 15:22:24
1,US residential installer Titan Solar Power shuts down business - PV Tech,"Global solar installations increased by 87% year-on-year in 2023 as China continued to dominate growth, according to SolarPower Europe. the Pike Solar ...",www.pv-tech.org,2024-06-18 12:50:57,2024-06-18 15:22:24
2,Titan Disaster Forces Global Rethinking of Deep Sea Exploration - The New York Times,"One year later, the company he worked for as director of underwater research is preparing a July expedition that will employ a pair of robots instead ...",www.nytimes.com,2024-06-18 12:45:08,2024-06-18 15:22:24
3,"A year after the Titan tragedy, a sub is planning to go back to the Titanic to make a point",... international media attention. And last year was also an especially ... Company. All Rights Reserved. CNN Sans ™ & © 2016 Cable News Network. CNN ...,www.cnn.com,2024-06-18 12:39:25,2024-06-18 15:22:24
4,Patchi founder and chocolate industry titan Nizar Choucair dies - Arab News,Nuri stated: “The launch of Patchi's new identity embodies the company's dedication to its customers in Saudi Arabia and highlights our commitment to ...,www.arabnews.com,2024-06-18 12:37:32,2024-06-18 15:22:24
5,OceanGate Titan Submersible Lawsuits Face Problems - Newsweek,"... international waters,"" Rahmani said. OceanGate, which was previously sued, is no longer in business. Its website reads: ""OceanGate has suspended ...",www.newsweek.com,2024-06-18 12:25:55,2024-06-18 15:22:24
6,One year later: Unanswered questions remain after Titan submersible disaster - CBS12,... Titan victims this week in Portugal at the annual Global Exploration Summit. The tragedy won't stop deep-sea exploration. The Georgia-based company ...,cbs12.com,2024-06-18 12:11:32,2024-06-18 15:22:24
7,What the Titan failure has taught us about exploring the deep ocean - BBC,"... company that owned the Titan. Virtually every deep ocean engineering ... Simply signing a waiver, skirting the law by operating in international ...",www.bbc.com,2024-06-18 11:47:20,2024-06-18 15:22:24
8,"A year after the Titan's tragic dive, deep-sea explorers vow to pursue ocean's mysteries","OceanGate, a company co ... Garriott said there will be a remembrance celebration for the Titan victims this week in Portugal at the annual Global ...",www.newsandsentinel.com,2024-06-18 11:40:24,2024-06-18 15:22:24
9,Another U.S. residential installer announces business closure - PV Magazine,An email informed the employees of U.S. residential installer Titan Solar that the company had ended operations ... Global- Germany- Spain- France ...,www.pv-magazine.com,2024-06-18 11:09:14,2024-06-18 15:22:24
10,Titan submersible disaster: Things to know one year later - KCCI,"The Titan was owned by a company called OceanGate, which suspended its operations last July, not long after the tragedy. OceanGate declined to ...",www.kcci.com,2024-06-18 10:18:06,2024-06-18 15:22:24
11,Titan International - CropLife,"Titan International, Inc. is a leading global manufacturer and supplier of wheels, tires, and undercarriage products for a wide variety of ...",www.croplife.com,2024-06-18 09:38:10,2024-06-18 15:22:24
12,"Titan Continues Flags Over Harvest Campaign, Raising $20,000 for Farm Rescue - CropLife",Titan International Inc. has announced the continuation of its fourth annual Flags Over Harvest campaign. Titan will once again be giving away ...,www.croplife.com,2024-06-18 09:38:10,2024-06-18 15:22:24
13,Undersea explorers mark a tragic day. Things to know about the Titan disaster anniversary,... Titan victims this week in Portugal at the annual Global Exploration Summit. The Georgia-based company that owns the salvage rights to the Titanic ...,abcnews.go.com,2024-06-18 09:35:13,2024-06-18 15:22:24
14,"Titan MD Paid ₹12.50 Cr In FY24, Director Noel Tata Made... - Benzinga","He serves as the chairman of Trent, Tata International, Voltas, and Tata Investment Corporation. Read Next: Britannia Ordered To Pay ₹55,000 To ...",in.benzinga.com,2024-06-18 09:28:29,2024-06-18 15:22:24
15,Co-founder of company behind Titan submersible disaster claims he can 'safely' send ...,"... International Space Station in the Kravis Center's Gimelstob Ballroom in the Cohen Pavilion on June 4, 2024 in West Palm Beach, Florida. More. “You ...",www.aol.com,2024-06-18 09:23:13,2024-06-18 15:22:24
16,"One year ago OceanGate's Titan sub imploded, taking 5 lives with it | The Independent","Founded in 2009 to make “deep-sea exploration possible for commercial, scientific, and exploration travel expeditions,” the company recorded the 8,000 ...",www.independent.co.uk,2024-06-18 08:39:58,2024-06-18 15:22:24
17,Map shows where the remains of the Titan submersible were located - AS USA - Diario AS,"Once the extent of the tragedy was known, the company RMS Titanic Inc published a map in which it placed the remains of the OceanGate submarine.",en.as.com,2024-06-18 08:30:48,2024-06-18 15:22:24
18,OceanGate: 'I was due to be onboard the doomed Titan submersible' - BBC,"A major international ... The 62-year-old said he had reached out to Kyle Bingham, director of operations at OceanGate, the expedition company that had ...",www.bbc.com,2024-06-18 08:29:45,2024-06-18 15:22:24
19,Co-founder of company behind Titan submersible disaster claims he can 'safely' send ...,Co-founder of company behind Titan submersible disaster claims he can 'safely' send humans to Venus ... International editions- Independent en Español ...,www.independent.co.uk,2024-06-18 07:41:08,2024-06-18 15:22:24
20,1 year since Titan Submersible went missing | WANE 15,"After the Titan sub lost contact with the Polar Prince, a massive international ... The company, which charged $250,000 per person for a voyage aboard ...",www.wane.com,2024-06-18 18:17:10+00:00,2024-06-19 17:12:41
21,US residential installer Titan Solar Power shuts down business - PV Tech,"Global solar installations increased by 87% year-on-year in 2023 as China continued to dominate growth, according to SolarPower Europe. the Pike Solar ...",www.pv-tech.org,2024-06-18 17:50:57+00:00,2024-06-19 17:12:41
22,Titan Disaster Forces Global Rethinking of Deep Sea Exploration - The New York Times,"One year later, the company he worked for as director of underwater research is preparing a July expedition that will employ a pair of robots instead ...",www.nytimes.com,2024-06-18 17:45:08+00:00,2024-06-19 17:12:41
23,"A year after the Titan tragedy, a sub is planning to go back to the Titanic to make a point",... international media attention. And last year was also an especially ... Company. All Rights Reserved. CNN Sans ™ & © 2016 Cable News Network. CNN ...,www.cnn.com,2024-06-18 17:39:25+00:00,2024-06-19 17:12:41
24,Patchi founder and chocolate industry titan Nizar Choucair dies - Arab News,Nuri stated: “The launch of Patchi's new identity embodies the company's dedication to its customers in Saudi Arabia and highlights our commitment to ...,www.arabnews.com,2024-06-18 17:37:32+00:00,2024-06-19 17:12:41
25,OceanGate Titan Submersible Lawsuits Face Problems - Newsweek,"... international waters,"" Rahmani said. OceanGate, which was previously sued, is no longer in business. Its website reads: ""OceanGate has suspended ...",www.newsweek.com,2024-06-18 17:25:55+00:00,2024-06-19 17:12:41
26,One year later: Unanswered questions remain after Titan submersible disaster - CBS12,... Titan victims this week in Portugal at the annual Global Exploration Summit. The tragedy won't stop deep-sea exploration. The Georgia-based company ...,cbs12.com,2024-06-18 17:11:32+00:00,2024-06-19 17:12:41
27,What the Titan failure has taught us about exploring the deep ocean - BBC,"... company that owned the Titan. Virtually every deep ocean engineering ... Simply signing a waiver, skirting the law by operating in international ...",www.bbc.com,2024-06-18 16:47:20+00:00,2024-06-19 17:12:41
28,"A year after the Titan's tragic dive, deep-sea explorers vow to pursue ocean's mysteries","OceanGate, a company co ... Garriott said there will be a remembrance celebration for the Titan victims this week in Portugal at the annual Global ...",www.newsandsentinel.com,2024-06-18 16:40:24+00:00,2024-06-19 17:12:41
29,Another U.S. residential installer announces business closure - PV Magazine,An email informed the employees of U.S. residential installer Titan Solar that the company had ended operations ... Global- Germany- Spain- France ...,www.pv-magazine.com,2024-06-18 16:09:14+00:00,2024-06-19 17:12:41
30,Titan submersible disaster: Things to know one year later - KCCI,"The Titan was owned by a company called OceanGate, which suspended its operations last July, not long after the tragedy. OceanGate declined to ...",www.kcci.com,2024-06-18 15:18:06+00:00,2024-06-19 17:12:41
31,Titan International - CropLife,"Titan International, Inc. is a leading global manufacturer and supplier of wheels, tires, and undercarriage products for a wide variety of ...",www.croplife.com,2024-06-18 14:38:10+00:00,2024-06-19 17:12:41
