,Heading,Subheading,Publisher,Published,Found
0,"Wood Plastic Composite Market Size, Share Analysis, Growth Rate - openPR.com","... UFP Industries Inc., Fiberon LLC, TAMKO Building Products Inc ... Ltd., The Dow Chemical Company, The AZEK Company Inc., Geolam Inc., CPG ...",www.openpr.com,2024-06-18 11:18:01,2024-06-18 15:23:07
1,"ICA Group Wealth Management LLC Takes $94000 Position in UFP Industries, Inc. (NASDAQ:UFPI)","The firm bought 750 shares of the construction company's stock, valued at approximately $94,000. Get UFP Industries alerts: A number of other ...",www.defenseworld.net,2024-06-18 05:23:18,2024-06-18 15:23:07
2,"American International Group Inc. Sells 3894 Shares of MetLife, Inc. (NYSE:MET)","ICA Group Wealth Management LLC Takes $94,000 Position in UFP ...",www.defenseworld.net,2024-06-18 05:13:24,2024-06-18 15:23:07
3,EY names Entrepreneur Of The Year award winners for 2024 | Crain's Detroit Business,"Matt Missad, UFP Industries Inc., Grand Rapids; loy Garza, Garza and Sons Labor Contractors LLC, Wyoming; Greg Herbruck, Herbruck's Poultry Ranch, ...",www.crainsdetroit.com,2024-06-21 08:12:24+00:00,2024-06-21 10:13:10
4,"3534 Shares in UFP Industries, Inc. (NASDAQ:UFPI) Purchased by Integrated Advisors Network LLC","Kayne Anderson Rudnick Investment Management LLC now owns 1,561,285 shares of the construction company's stock worth $159,876,000 after buying an ...",www.defenseworld.net,2024-06-20 12:39:08+00:00,2024-06-21 10:13:10
5,"Fisher Asset Management LLC Sells 3314 Shares of UFP Industries, Inc. (NASDAQ:UFPI)","Kestra Advisory Services LLC now owns 9,805 shares of the construction company's stock worth $1,004,000 after acquiring an additional 103 shares ...",www.defenseworld.net,2024-06-20 12:35:19+00:00,2024-06-21 10:13:10
6,"UFP Industries, Inc. (NASDAQ:UFPI) Shares Sold by Goldman Sachs Group Inc.","Kayne Anderson Rudnick Investment Management LLC now owns 1,561,285 shares of the construction company's stock valued at $159,876,000 after purchasing ...",www.marketbeat.com,2024-06-20 03:23:22+00:00,2024-06-21 10:13:10
7,June 11: Harris County Civil Court docket for &quot;contract - consumer/commercial/debt&quot; cases,"... UFP Industrial, LLC; Universal Pipe & Steel Supply, LLC; Wolverine Mat, LLC ... Company, Inc.; World Telecom & Services Consulting Group, Inc.",setexasrecord.com,2024-06-20 00:09:46+00:00,2024-06-21 10:13:10
8,PalletOne Launches Automated Pallet Assembly Machine Redeployment Program Nationwide,"A part of the UFP Industries, Inc., family of companies, UFP Packaging provides full-service, customized packaging solutions and related services to a ...",www.prnewswire.com,2024-06-20 00:02:57+00:00,2024-06-21 10:13:10
9,"Confluence Investment Management LLC Purchases New Shares in UFP Technologies, Inc ...","Osterweis Capital Management Inc. now owns 26,999 shares of the industrial products company's stock worth $4,645,000 after acquiring an additional ...",www.marketbeat.com,2024-06-19 22:41:52+00:00,2024-06-21 10:13:10
10,Meta Title: &quot;UFP Industries Inc Patent: Shipping Container for Personal Watercraft,"According to GlobalData's company profile on UFP Industries, Clamshell-type preformed packaging was a key innovation area identified from patents. UFP ...",www.worldconstructionnetwork.com,2024-06-19 21:33:45+00:00,2024-06-21 10:13:10
11,Multiple Factors Drove UFP Technologies (UFPT) in Q1 - Yahoo Finance,"... business due to lower margins. Instead, the company acquired businesses serving the medical industry. We projected that soon after the Covid-19 ...",finance.yahoo.com,2024-06-19 19:19:56+00:00,2024-06-21 10:13:10
12,Looking Into UFP Industries's Recent Short Interest - Benzinga,... UFP Industries's. UFPI. short percent of float has fallen 18.18% since its last report. The company recently reported that it has 646 thousand ...,www.benzinga.com,2024-06-22 08:37:44+00:00,2024-06-22 10:13:14
13,Looking Into UFP Industries's Recent Short Interest By Benzinga - Investing.com UK,UFP Industries's (NYSE:UFPI) short percent of float has fallen ... A company's peer is another company that has similar characteristics to ...,uk.investing.com,2024-06-22 03:56:36+00:00,2024-06-22 10:13:14
14,Form N-CSRS FIDELITY CAPITAL TRUST For: Apr 30 - StreetInsider,"... Companies, Inc. and have been licensed for use by Fidelity Distributors Corporation. ... UFP Industries, Inc. 338,400. 38,138. 216,159. Commercial ...",www.streetinsider.com,2024-06-22 03:00:46+00:00,2024-06-22 10:13:14
15,Teachers Retirement System of The State of Kentucky Decreases Position in UFP Industries ...,"Kayne Anderson Rudnick Investment Management LLC now owns 1,561,285 shares of the construction company's stock worth $159,876,000 after acquiring an ...",www.defenseworld.net,2024-06-21 15:24:52+00:00,2024-06-22 10:13:14
16,"Los Angeles Capital Management LLC Buys 1425 Shares of UFP Industries, Inc. (NASDAQ:UFPI)","now owns 287 shares of the construction company's stock worth $36,000 after acquiring an additional 197 shares in the last quarter. Eagle Bay Advisors ...",www.defenseworld.net,2024-06-21 14:22:17+00:00,2024-06-22 10:13:14
17,"Vanguard Group Inc. Decreases Stock Position in UFP Industries, Inc. (NASDAQ:UFPI)",A number of other large investors also recently bought and sold shares of the business. HighTower Advisors LLC lifted its holdings in shares of UFP ...,www.marketbeat.com,2024-06-22 22:18:51+00:00,2024-06-23 09:13:15
