,Heading,Subheading,Publisher,Published,Found
0,"6,453 Shares in Viad Corp (NYSE:VVI) Acquired by Virtu Financial LLC - Defense World","The fund acquired 6,453 shares of the business services provider's stock, valued at approximately $234,000. Get Viad alerts: Several other ...",www.defenseworld.net,2024-06-23 20:36:39+00:00,2024-06-24 04:13:36
1,"Los Angeles Capital Management LLC Acquires 22,210 Shares of Viad Corp (NYSE:VVI)","increased its stake in Viad by 0.9% during the 4th quarter. Charles Schwab Investment Management Inc. now owns 171,332 shares of the business services ...",www.marketbeat.com,2024-06-24 10:00:36+00:00,2024-06-26 04:13:46
2,Viad to acquire Jasper SkyTram attraction (NYSE:VVI) | Seeking Alpha,"The company will pay C$25 million for the Jasper SkyTram, and expects the Jasper SkyTram to add revenue of ~$4 million. More on Viad. Viad Corp (VVI) ...",seekingalpha.com,2024-06-26 17:40:27+00:00,2024-06-26 20:13:56
3,Pursuit to purchase SkyTram for $25M - News - The Jasper Local,"The Jasper SkyTram will be sold to Pursuit. Viad Corp, parent company of Pursuit Banff/Jasper Collection, today announced it has entered into an ...",www.jasperlocal.com,2024-06-26 17:14:44+00:00,2024-06-26 20:13:56
4,Viad Corp to Expand Pursuit's Collection of Attractions With Acquisition of Jasper SkyTram,"--(BUSINESS WIRE)-- Viad Corp (NYSE: VVI), a leading global provider ... Viad is an S&P SmallCap 600 company. Pursuit is a global attractions ...",www.stocktitan.net,2024-06-26 13:30:15+00:00,2024-06-26 20:13:56
5,Viad Corp Set to Acquire Jasper SkyTram Amidst Approval - TipRanks.com,An announcement from Viad (VVI) is now available. Viad Corp has announced ... Company Announcements. Viad Corp Set to Acquire Jasper SkyTram Amidst ...,www.tipranks.com,2024-06-26 13:21:54+00:00,2024-06-26 20:13:56
6,Viad Corp to Expand Pursuit's Collection of Attractions With Acquisition of Jasper SkyTram,"SCOTTSDALE, Ariz., June 26, 2024--(BUSINESS WIRE)--Viad Corp (NYSE: VVI), a leading global provider of extraordinary experiences, ...",finance.yahoo.com,2024-06-26 13:08:58+00:00,2024-06-26 20:13:56
7,"Global Shared Mobility Predictions and Outlook 2024: Partnerships, Business Model ...","Company Logo. Dublin, June 26, 2024 (GLOBE NEWSWIRE) ... Viad Corp to Expand Pursuit's Collection of Attractions With Acquisition of Jasper SkyTram.",uk.finance.yahoo.com,2024-06-26 13:04:05+00:00,2024-06-26 20:13:56
8,Quadrature Capital Ltd Takes Position in Viad Corp (NYSE:VVI) - Defense World,Get Viad alerts: Other hedge funds and other institutional investors have also recently modified their holdings of the company. AJOVista LLC bought a ...,www.defenseworld.net,2024-06-26 09:01:10+00:00,2024-06-26 20:13:56
9,PNC Financial Services Group Inc. Buys 779 Shares of Vanguard International Dividend ...,"Paladin Advisory Group LLC now owns 3,026 shares of the company's stock valued at ... Quadrature Capital Ltd Takes Position in Viad Corp (NYSE:VVI) ...",www.defenseworld.net,2024-06-26 08:58:39+00:00,2024-06-26 20:13:56
