,Heading,Subheading,Publisher,Published,Found
0,Flight Lease Fund Management secures widebody financing | News - Airfinance Journal,... finance company specialising in leasing and financing aircraft equipment. ... Willis Lease buys 737NG. Most Popular. Aegean cuts net debt/EBITDA ...,www.airfinancejournal.com,2024-06-18 08:53:37,2024-06-18 15:24:19
1,Flight Lease Fund Management secures widebody financing | News - Airfinance Journal,... finance company specialising in leasing and financing aircraft equipment. ... Willis Lease buys 737NG. Most Popular. Aegean cuts net debt/EBITDA ...,www.airfinancejournal.com,2024-06-18 13:53:37+00:00,2024-06-19 17:14:15
2,Cargo Aircraft Management buys 767-300ER | News - Airfinance Journal,"US leasing company Cargo Aircraft Management has purchased one Boeing 767 ... Willis Lease | A/c purchase | 06-24 | 1x737-700, Financial close. Air ...",www.airfinancejournal.com,2024-06-20 03:52:23+00:00,2024-06-20 06:14:10
3,FTAI Aviation extends tender offer | News | Airfinance Journal,"Willis Lease | A/c purchase | 06-24 | 1x737-700, Financial close. Air ... Some Air | Finance lease (RFP) | 03-23 | $1.35bn (est.) | 21xA/c, RFP.",www.airfinancejournal.com,2024-06-20 03:20:21+00:00,2024-06-20 06:14:10
4,Sun Country expands 737F capacity | News - Airfinance Journal,"Financial close. National Airlines | A/c purchase | 06-24 | 1xA330-200, Financial close. Willis Lease | A/c purchase | 06-24 | 1x737-700, Financial ...",www.airfinancejournal.com,2024-06-20 16:25:52+00:00,2024-06-21 07:14:10
5,AMCK/Carlyle to pay Frontier in long-running suit | News - Airfinance Journal,"Financial close. Flight Lease | Commercial loan | 06-24 | 1xA/c, Financial close. Willis Lease | A/c purchase | 06-24 | 1x737-700, Financial close.",www.airfinancejournal.com,2024-06-22 05:50:35+00:00,2024-06-22 07:14:39
6,WLFC finalises new engine PLB | News - Airfinance Journal,Willis Lease Finance Corporation (WLFC) has closed a deal with Pratt & Whitney for the purchase and leaseback of up to 15 PW1100G-JM geared ...,www.airfinancejournal.com,2024-06-26 03:52:15+00:00,2024-06-26 06:14:11
7,Willis Lease Finance Corporation Strikes Deal with Pratt &amp; Whitney for up to 15 New Engine ...,"Willis Lease Finance Corporation leases large and regional spare commercial aircraft engines, auxiliary power units and aircraft to airlines, aircraft ...",finance.yahoo.com,2024-06-25 23:53:05+00:00,2024-06-26 06:14:11
8,MIL-OSI: Terranet selected by MobilityXlab for collaboration with leading companies in the ...,"MIL-OSI: Willis Lease Finance Corporation Strikes Deal with Pratt & Whitney for up to... MIL-OSI Publisher - June 26, 2024. MIL-OSI: Pythian ...",foreignaffairs.co.nz,2024-06-25 21:56:39+00:00,2024-06-26 06:14:11
9,Should You Consider Buying Boeing as Air Travel Rebounds? - TradingView,"... Willis Lease Finance Corporation WLFC, Lockheed Martin Corporation LMT, and Elbit Systems Ltd. ESLT. To explore more A-rated Air/Defense Services ...",www.tradingview.com,2024-06-25 20:10:25+00:00,2024-06-26 06:14:11
