,Heading,Subheading,Publisher,Published,Found
0,Core &amp; Main Earnings: What To Look For From CNM - The Globe and Mail,"Watsco posted flat year-on-year revenue, missing analysts' expectations ... The Financing represents an opportunity for the Company to bolster its ...",www.theglobeandmail.com,2024-06-18 07:02:42,2024-06-18 15:23:55
1,"Creekmur Asset Management LLC Makes New $32,000 Investment in Invesco NASDAQ ...","... company in its most recent disclosure with the Securities and Exchange Commission. ... Wellington Management Group LLP Sells 12,704 Shares of Watsco, ...",www.defenseworld.net,2024-06-18 04:42:49,2024-06-18 15:23:55
2,"Virtu Financial LLC Purchases New Holdings in Watsco, Inc. (NYSE:WSO) - MarketBeat","Institutional investors and hedge funds own 89.71% of the company's stock. Insider Activity at Watsco. In related news, EVP Barry S. Logan sold 774 ...",www.marketbeat.com,2024-06-17 19:25:46,2024-06-18 15:23:55
3,Watsco (NYSE:WSO.B) Sets New 1-Year High at $473.32 - MarketBeat,"Watsco Increases Dividend. The company also recently announced a quarterly dividend, which was paid on Tuesday, April 30th. Shareholders of record on ...",www.marketbeat.com,2024-06-17 18:47:07,2024-06-18 15:23:55
4,Watsco (NYSE:WSO) Hits New 12-Month High at $493.65 - MarketBeat,Insiders own 12.86% of the company's stock. Institutional Investors Weigh In On Watsco. A number of hedge funds and other institutional investors have ...,www.marketbeat.com,2024-06-18 18:38:31,2024-06-19 13:30:36
5,Watsco (NYSE:WSO.B) Shares Gap Up to $424.75 | MarketBeat,"Watsco Stock Performance. The firm has a market cap of $17.94 billion, a PE ratio of 34.24 and a beta of 0.57. The company has a current ratio of ...",www.marketbeat.com,2024-06-18 17:40:44,2024-06-19 13:30:36
6,Watsco (NYSE:WSO) Hits New 12-Month High at $493.65 - MarketBeat,Insiders own 12.86% of the company's stock. Institutional Investors Weigh In On Watsco. A number of hedge funds and other institutional investors have ...,www.marketbeat.com,2024-06-18 23:38:31+00:00,2024-06-19 17:13:56
7,Watsco (NYSE:WSO.B) Shares Gap Up to $424.75 | MarketBeat,"Watsco Stock Performance. The firm has a market cap of $17.94 billion, a PE ratio of 34.24 and a beta of 0.57. The company has a current ratio of ...",www.marketbeat.com,2024-06-18 22:40:44+00:00,2024-06-19 17:13:56
8,"Watsco, Inc.'s (NYSE:WSO) Stock Is Going Strong: Is the Market Following Fundamentals?","Particularly, we will be paying attention to Watsco's ROE today. Return on equity or ROE is a key measure used to assess how efficiently a company's ...",simplywall.st,2024-06-21 06:08:00+00:00,2024-06-21 09:13:58
9,"B. Riley Wealth Advisors Inc. Sells 600 Shares of Watsco, Inc. (NYSE:WSO) - Defense World","Franklin Resources Inc. now owns 44,737 shares of the construction company's stock worth $19,168,000 after buying an additional 1,650 shares in the ...",www.defenseworld.net,2024-06-20 16:37:58+00:00,2024-06-21 09:13:58
10,Watsco (NYSE:WSO.B) Shares Gap Up to $424.75 - Defense World,"The business had revenue of $1.56 billion during the quarter. Watsco Increases Dividend. The company also recently declared a quarterly dividend, ...",www.defenseworld.net,2024-06-20 16:25:51+00:00,2024-06-21 09:13:58
11,Watsco Inc. Inc. (WSO) Price Performance: A Fundamental Analysis Perspective,"Watsco Inc. experienced a somewhat steady performance in the stock market. The company's stock reached a 1-year high of $491.90 on 06/18/24, while ...",investchronicle.com,2024-06-20 00:29:58+00:00,2024-06-21 09:13:58
12,Here's How Much $100 Invested In Watsco 5 Years Ago Would Be Worth Today,Company News- Analysis. Analysis. Market Overview- Currencies- Stock Markets ... Watsco (NYSE:WSO) has outperformed the market over the past 5 years ...,uk.investing.com,2024-06-22 01:25:56+00:00,2024-06-22 09:13:53
13,"American National Bank Buys 2,169 Shares of Watsco, Inc. (NYSE:WSO) - MarketBeat","CWM LLC now owns 957 shares of the construction company's stock valued at $413,000 after buying an additional 265 shares during the last quarter.",www.marketbeat.com,2024-06-21 21:42:52+00:00,2024-06-22 09:13:53
14,"Running Oak Capital LLC Acquires 2,737 Shares of Watsco, Inc. (NYSE:WSO) - MarketBeat","The fund owned 25,915 shares of the construction company's stock after purchasing an additional 2,737 shares during the quarter. Watsco makes up ...",www.marketbeat.com,2024-06-23 02:51:59+00:00,2024-06-23 09:13:54
15,"Mather Group LLC. Invests $114,000 in Watsco, Inc. (NYSE:WSO) - Defense World","The institutional investor purchased 266 shares of the construction company's stock, valued at approximately $114,000. Get Watsco alerts: A number of ...",www.defenseworld.net,2024-06-22 22:29:18+00:00,2024-06-23 09:13:54
16,"Cwm LLC Has $413,000 Position in Watsco, Inc. (NYSE:WSO) - Defense World",The firm owned 957 shares of the construction company's stock after buying an additional 265 shares during the period. Cwm LLC's holdings in Watsco ...,www.defenseworld.net,2024-06-22 10:00:31+00:00,2024-06-23 09:13:54
17,Global Building Material and Garden Equipment and Supplies Dealers Market - openPR.com,"... Watsco Inc., GMS Inc., L&W Supply Corporation, US LBM Holdings Inc ... LinkedIn: https://in.linkedin.com/company/the-business-research-company",www.openpr.com,2024-06-24 04:29:24+00:00,2024-06-24 09:13:53
18,"HighPoint Advisor Group LLC Buys Shares of 467 Watsco, Inc. (NYSE:WSO)","The fund acquired 467 shares of the construction company's stock, valued at approximately $201,000. Get Watsco alerts: Other hedge funds also recently ...",www.defenseworld.net,2024-06-23 13:40:29+00:00,2024-06-24 09:13:53
19,"107 Shares in Watsco, Inc. (NYSE:WSO) Purchased by Opal Wealth Advisors LLC","Hartford Financial Management Inc. now owns 75 shares of the construction company's stock worth $32,000 after purchasing an additional 26 shares in ...",www.defenseworld.net,2024-06-25 01:46:39+00:00,2024-06-25 09:14:01
20,Watsco (NYSE:WSO.B) Sets New 12-Month High at $445.15 - MarketBeat,"The firm had revenue of $1.56 billion during the quarter. Watsco Increases Dividend. The business also recently announced a quarterly dividend, which ...",www.marketbeat.com,2024-06-24 23:44:29+00:00,2024-06-25 09:14:01
21,"Lloyd Advisory Services LLC. Has $1.15 Million Stake in Watsco, Inc. (NYSE:WSO)","The institutional investor owned 2,655 shares of the construction company's stock after buying an additional 2,181 shares during the quarter. Lloyd ...",www.marketbeat.com,2024-06-24 19:06:44+00:00,2024-06-25 09:14:01
22,"Watsco, Inc. (NYSE:WSO) Given Consensus Recommendation of &quot;Hold&quot; by Brokerages","In other news, Director John Alexander Macdonald sold 5,334 shares of the company's stock in a transaction on Thursday, May 9th. The stock was sold at ...",www.marketbeat.com,2024-06-26 06:55:42+00:00,2024-06-26 09:13:52
23,"Comfort Systems (FIX) Up 56% YTD: Should You Buy Now? - June 26, 2024 - Zacks.com","Watsco, Inc. ( WSO Quick Quote WSO - Free Report) , AAON ... Each of the company logos represented herein are trademarks of Microsoft Corporation ...",www.zacks.com,2024-06-26 16:01:55+00:00,2024-06-26 19:14:00
24,"Watsco, Inc. (NYSE:WSO) Given Consensus Rating of “Hold” by Analysts - Defense World",... company. The average 1-year price target among brokerages that have issued ratings on the stock in the last year is $404.25. Get Watsco alerts: A ...,www.defenseworld.net,2024-06-26 05:42:59+00:00,2024-06-26 19:14:00
25,Comfort Systems (FIX) Up 56% YTD: Should You Buy Now? - Yahoo Finance,"... companies including Watsco, Inc. WSO, AAON, Inc. AAON, and EMCOR Group ... Given the positive business outlook, valuation, and impressive performance of ...",finance.yahoo.com,2024-06-26 18:18:35+00:00,2024-06-27 04:13:55
